game,team,difficulty,formation,lineup
Kayserispor vs. Konyaspor - Saturday May 18 - 2024,Kayserispor,hard,4-2-3-1,PIRI;SAZDAGI;JEANVIER;KOLOVETSIOS;CAROLE;BOURABIA;YILMAZ;MORTE;CARDOSO;MANE;NAZON
Kayserispor vs. Konyaspor - Saturday May 18 - 2024,Konyaspor,hard,4-2-3-1,SLOWIK;YAZGILI;DEMIRBAG;HADEBE;SITYA;NZONZI;DIKMEN;NDAO;ULGUN;ETHEMI;CIKALLESHI
Istanbul Basaksehir vs. Fenerbahce - Sunday September 19 - 2021,Basaksehir,easy,4-1-4-1,BABACAN;OZBAYRAKLI;NDAYISHIMIYE;DUARTE;LIMA;CIGERCI;VISCA;TEKDEMIR;ALEKSIC;TURUC;OKAKA
Istanbul Basaksehir vs. Fenerbahce - Sunday September 19 - 2021,Fenerbahce,easy,3-4-3,BAYINDIR;AZIZ;MIN-JAE;SZALAI;OSAYI-SAMUEL;MEYER;GUSTAVO;KADIOGLU;GUMUSKAYA;PELKAS;BERISHA
Giresunspor vs. Altay - Friday December 17 - 2021,Giresunspor,hard,4-2-3-1,KOCUK;BILAZER;DIARRA;PEREZ;BEHICH;TRAORE;PELUPESSY;SULEYMANOV;DIABATE;JUNIOR;BALDE
Giresunspor vs. Altay - Friday December 17 - 2021,Altay,hard,5-4-1,LIS;KARAYEL;THIAM;OZTURK;AKCA;NADERI;ERDOGAN;POKO;PINARES;RODRIGUEZ;RAYAN
Konyaspor vs. Istanbulspor - Thursday February 2 - 2023,Konyaspor,hard,4-2-3-1,SEHIC;OGUZ;DEMIRBAG;CALVO;SITYA;DIKMEN;PAZ;MURIC;CEKICI;MICHALAK;DIOUF
Konyaspor vs. Istanbulspor - Thursday February 2 - 2023,Istanbulspor,hard,4-1-4-1,JENSEN;DUHANEY;ERDOGAN;YESIL;AKSU;BA;LOKILO;SARIKAYA;RROCA;ETHEMI;EZE
Trabzonspor vs. Fatih Karagumruk - Friday April 15 - 2022,Trabzonspor,easy,4-2-3-1,CAKIR;PERES;TURKMEN;HUGO;DENSWIL;HAMSIK;TOKOZ;VISCA;BAKASETAS;DJANINY;CORNELIUS
Trabzonspor vs. Fatih Karagumruk - Friday April 15 - 2022,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BIRASCHI;BEKAROGLU;LUCKASSEN;ERKIN;BIGLIA;MUSA;BISTROVIC;MERCAN;KARAMOH;PESIC
Trabzonspor vs. Istanbul Basaksehir - Saturday January 14 - 2023,Trabzonspor,easy,4-1-4-1,CAKIR;PERES;BARTRA;DENSWIL;ELMALI;SIOPIS;DJANINY;OMUR;BAKASETAS;TREZEGUET;GOMEZ
Trabzonspor vs. Istanbul Basaksehir - Saturday January 14 - 2023,Basaksehir,easy,4-1-4-1,BABACAN;SAHINER;DUARTE;TOUBA;LIMA;TEKDEMIR;TURUC;NDAYISHIMIYE;OZCAN;GURLER;OKAKA
Antalyaspor vs. Fatih Karagumruk - Sunday November 6 - 2022,Antalyaspor,hard,5-4-1,UYSAL;BALCI;SARI;LUYINDAMA;KUDRYASHOV;VURAL;NAKAJIMA;FERNANDO;AKYOL;LARSSON;WRIGHT
Antalyaspor vs. Fatih Karagumruk - Sunday November 6 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;BIRASCHI;BANIYA;DRESEVIC;ERKIN;DURMAZ;SHUKUROV;OZDOYEV;COLLEY;DIAGNE;KOUASSI
Gaziantep FK vs. Ankaragucu - Sunday August 14 - 2022,Gaziantep FK,hard,4-1-4-1,GUVENC;KITSIOU;ERSOY;DJILOBODJI;HANOUSEK;JEVTOVIC;MARKOVIC;SOYALP;MAXIM;ESKIHELLAC;FIGUEIREDO
Gaziantep FK vs. Ankaragucu - Sunday August 14 - 2022,Ankaragucu,hard,4-2-3-1,GUNGORDU;CEYLAN;CANKAYA;MUJAKIC;MARLON;MOREIRA;DURAK;CHATZIGIOVANNIS;ZAHID;BERIDZE;MACHEDA
Pendikspor vs. Fenerbahce - Sunday October 29 - 2023,Pendikspor,hard,4-4-2,CANPOLAT;OZGENC;SULUNGOZ;WELINTON;SEQUEIRA;AKBUNAR;VUKOVIC;AKDAG;CEKICI;KAYA;YARDIMCI
Pendikspor vs. Fenerbahce - Sunday October 29 - 2023,Fenerbahce,easy,4-2-3-1,LIVAKOVIC;OSAYI-SAMUEL;AKAYDIN;BECAO;KADIOGLU;YUKSEK;FRED;KAHVECI;SZYMANSKI;TADIC;DZEKO
Giresunspor vs. Kasimpasa - Saturday August 20 - 2022,Giresunspor,hard,4-2-3-1,PIRI;BILAZER;ARIAS;PEREZ;ULUDAG;TRAORE;MEJIA;JUNIOR;SAVICEVIC;SAINZ;BAJIC
Giresunspor vs. Kasimpasa - Saturday August 20 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;HADERGJONAJ;GRAOVAC;CIFTPINAR;PETRETTA;GEMICIBASI;FALL;HAJRADINOVIC;EYSSERIC;ENGIN;BAHOKEN
Kasimpasa vs. Rizespor - Monday December 25 - 2023,Kasimpasa,hard,4-2-3-1,GIANNIOTIS;WINCK;OMERUO;CIFTPINAR;OZCAN;GUL;KARA;FALL;HAJRADINOVIC;OUANNES;COSTA
Kasimpasa vs. Rizespor - Monday December 25 - 2023,Rizespor,hard,4-2-3-1,AKKAN;SAHIN;ALIQULOV;TOPCU;NIELSEN;SHELVEY;OLAWOYIN;KESER;VARESANOVIC;ZEQIRI;GAICH
Konyaspor vs. Rizespor - Saturday September 16 - 2023,Konyaspor,hard,4-2-3-1,BERNARDONI;OGUZ;YAZGILI;CALVO;SITYA;DIKMEN;NZONZI;MURIC;CICALDAU;MORENO;CIKALLESHI
Konyaspor vs. Rizespor - Saturday September 16 - 2023,Rizespor,hard,4-2-3-1,AKKAN;SAHIN;MOCSI;TOPCU;PEHLIVAN;PALA;OLAWOYIN;SAUER;VARESANOVIC;ZEQIRI;KESER
Galatasaray vs. Istanbulspor - Thursday January 25 - 2024,Galatasaray,easy,4-2-3-1,MUSLERA;YILMAZ;NELSSON;SANCHEZ;AYHAN;TORREIRA;DEMIRBAY;TETE;MERTENS;AKTURKOGLU;ZAHA
Galatasaray vs. Istanbulspor - Thursday January 25 - 2024,Istanbulspor,hard,5-4-1,ARDA;SAMBISSA;ERDOGAN;YESIL;DELI;YASAR;SARIKAYA;VOROBJOVAS;LOSHAJ;NDAO;GULTEKIN
Adana Demirspor vs. Konyaspor - Saturday October 28 - 2023,Adana Demirspor,hard,4-2-3-1,OZBIR;SVENSSON;GULER;GRAVILLON;RODRIGUES;NDIAYE;AKBABA;ERDOGAN;BELHANDA;ZENELI;NIANG
Adana Demirspor vs. Konyaspor - Saturday October 28 - 2023,Konyaspor,hard,4-2-3-1,BERNARDONI;YAZGILI;DEMIRBAG;CALVO;SITYA;DIKMEN;NZONZI;PRIP;CICALDAU;MORENO;CIKALLESHI
Goztepe vs. Giresunspor - Saturday October 2 - 2021,Goztepe,hard,4-2-3-1,EGRIBAYAT;ALICI;ARSLANAGIC;DEMIRTAPA;EMIR;NWOBODO;TIJANIC;AKBUNAR;KAYAN;BAKU;NDIAYE
Goztepe vs. Giresunspor - Saturday October 2 - 2021,Giresunspor,hard,4-1-4-1,KOCUK;YAVRU;DIARRA;PEREZ;BEHICH;TRAORE;SULEYMANOV;FLAVIO;SANKHARE;JUNIOR;DIABATE
Goztepe vs. Hatayspor - Wednesday September 22 - 2021,Goztepe,hard,4-3-3,EGRIBAYAT;ALICI;ARSLANAGIC;ANGEL;EMIR;AYDOGDU;NWOBODO;AKBUNAR;KAYAN;NDIAYE;LOURENCY
Goztepe vs. Hatayspor - Wednesday September 22 - 2021,Hatayspor,hard,4-2-3-1,MUNIR;COREKCI;KURUCUK;OKSUZ;ADEKUGBE;SACKEY;RIBEIRO;LOBZHANIDZE;TRAORE;KAABI;DIOUF
Ankaragucu vs. Istanbulspor - Saturday April 8 - 2023,Ankaragucu,hard,4-2-3-1,AKKAN;UZUM;RADAKOVIC;MUJAKIC;HANOUSEK;DIACK;ANTALYALI;CHATZIGIOVANNIS;ZAHID;KILINC;SOWE
Ankaragucu vs. Istanbulspor - Saturday April 8 - 2023,Istanbulspor,hard,4-1-4-1,ARDA;DUHANEY;ERDOGAN;YESIL;AKSU;BA;LOKILO;SARIKAYA;SEN;ETHEMI;EZE
Pendikspor vs. Sivasspor - Saturday October 7 - 2023,Pendikspor,hard,4-2-3-1,CANPOLAT;ASAN;SULUNGOZ;AKCA;SEQUEIRA;VUKOVIC;LUSAMBA;AKBUNAR;MIDTSJO;CEKICI;THURAM
