game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Fenerbahce vs. Genclerbirligi - Friday February 2 - 2007,Genclerbirligi,hard,4-4-2,TOKGOZ;AYDIN;UZUMCU;TRAORE;GUVEN;CAKIR;SERAS;NAS;BAYTAR;PROMISE;MENDONCA,99;34;35;5;44;10;61;7;38;14;83,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;1,61588
Antalyaspor vs. Sakaryaspor - Saturday February 3 - 2007,Antalyaspor,hard,4-4-2,CORDOBA;YAMAN;BIENIUK;ASLAN;KAVUK;CAN;KARTOP;BILGIN;GURSEL;STRAKA;ZITOUNI,1;74;7;4;67;13;6;17;39;25;81,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;1;0,0;0;0;0;0;0;0;0;1;1;1,61586
Antalyaspor vs. Sakaryaspor - Saturday February 3 - 2007,Sakaryaspor,hard,4-4-2,MARTINEZ;ERDOGAN;BAHADIR;USTA;DUMAN;DEMIR;OZMERT;TURHAN;AYDIN;GRAF;KARAKAYA,55;33;25;61;51;5;8;6;7;27;52,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,61586
Konyaspor vs. Denizlispor - Saturday February 3 - 2007,Denizlispor,hard,4-4-2,KUCUK;CAGIRAN;CELIK;KRATOCHVIL;GURACAR;ABRAHAM;EGE;SIMSEK;TEKIN;KROUPA;KARAKOC,1;5;3;7;22;4;25;9;24;37;27,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;1;0;1,0;0;1;0;0;0;1;0;0;1;0,61591
Konyaspor vs. Denizlispor - Saturday February 3 - 2007,Konyaspor,hard,4-4-2,ONGUN;KAUE;EL SAKA;GUNDOSTU;SEKMAN;OZGUR;ER;NECA;ERGIN;TURKMEN;SEN,1;11;5;4;6;19;13;99;8;33;18,0;0;0;0;0;0;0;1;0;2;1,1;1;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;1,0;0;0;0;0;0;0;1;0;1;1,61591
Manisaspor vs. Trabzonspor - Saturday February 3 - 2007,Manisaspor,hard,3-5-2,TUNCAY;KALABANE;BOZKURT;OZSARAC;BALTA;INCEMAN;INAN;BORBICONI;REINALDO;MARQUES;HOLOSKO,48;28;4;3;16;10;18;5;15;11;14,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;1;0;1;0;0;0;0;1;0,61593
Ankaraspor vs. Ankaragucu - Sunday February 4 - 2007,Ankaragucu,hard,4-4-2,KIRINTILI;OCAK;BAYRAK;GUNGOR;DERELI;ANDRE SILVA;VIDUSLU;YESILKAYA;AYHAN;AGALI;BEBBE,1;55;3;2;61;88;28;25;99;9;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;1;0;0;1;0;0;0;0,0;1;0;0;0;1;0;0;1;0;0,61585
Ankaraspor vs. Ankaragucu - Sunday February 4 - 2007,Ankaraspor,hard,4-4-2,ARIKAN;WEDERSON;BATAK;BAHTIYAROGLU;YOLDAS;KISA;GUCER;PETROUS;HURMACI;JABA;HACIOGLU,84;6;3;16;4;19;50;2;20;10;53,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;1;1;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,61585
Bursaspor vs. Kayseri Erciyesspor - Sunday February 4 - 2007,Bursaspor,hard,4-4-2,CATKIC;BEKIROGLU;KORKMAZ;ERDOGAN;YIGIT;FRASINEANU;SUMULIKOSKI;BOZACI;ACAR;AKDIS;KALOGLU,1;47;16;4;22;10;18;5;8;54;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,61587
Bursaspor vs. Kayseri Erciyesspor - Sunday February 4 - 2007,Kayseri Erciyesspor,hard,4-4-2,USAK;OZKAYNAK;BAYER;KOK;OZBAY;LAZAROV;SARP;TORAMAN;DJALOVIC;BOYRAZ;ISLER,54;39;30;19;66;11;15;5;9;26;21,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;1;1;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;1;1,61587
