game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Trabzonspor vs. Antalyaspor - Friday August 11 - 2023,Antalyaspor,hard,4-2-3-1,LEITE;VURAL;TOPRAK;OZTURK;BALCI;RAKIP;KALUZINSKI;BYTYQI;LARSSON;YESILYURT;BUKSA,1;11;21;3;7;6;18;77;10;17;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,4126780
Trabzonspor vs. Antalyaspor - Friday August 11 - 2023,Trabzonspor,easy,4-3-3,CAKIR;ELMALI;DENSWIL;BENKOVIC;STRYGER;OMUR;KOURBELIS;BAKASETAS;TREZEGUET;BOZOK;VISCA,1;18;24;32;19;10;21;11;27;9;7,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;1,4126780
Kasimpasa vs. Ankaragucu - Saturday August 12 - 2023,Ankaragucu,hard,3-4-2-1,GIKIEWICZ;CANKAYA;MUJAKIC;RADAKOVIC;HANOUSEK;DJOKANOVIC;CIGERCI;KITSIOU;BERIDZE;BEKIROGLU;SOWE,1;4;18;26;5;16;30;70;17;10;22,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;1;1;1;0;1;0;0,4126776
Kasimpasa vs. Ankaragucu - Saturday August 12 - 2023,Kasimpasa,hard,4-2-3-1,GIANNIOTIS;AKSU;OZCAN;OMERUO;WINCK;GUL;KARA;GOMIS;HAJRADINOVIC;BEN OUANES;FALL,1;3;58;4;2;6;35;97;10;12;7,0;0;0;0;0;0;1;0;0;1;1,0;0;0;0;0;0;0;0;2;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;0;0;0,4126776
Kayserispor vs. Galatasaray - Saturday August 12 - 2023,Galatasaray,easy,4-2-3-1,MUSLERA;DUBOIS;BARDAKCI;NELSSON;BOEY;OLIVEIRA;KUTLU;AKTURKOGLU;MERTENS;YILMAZ;BAKAMBU,1;2;42;25;93;27;22;7;10;53;94,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;1;0,0;1;0;0;0;1;0;0;1;1;1,4126774
Kayserispor vs. Galatasaray - Saturday August 12 - 2023,Kayserispor,hard,4-2-3-1,BAYAZIT;CAROLE;KOCAMAN;ATTAMAH;UZODIMMA;GEZEK;KEMEN;THIAM;KARIMI;CARDOSO;SAZDAGI,25;23;54;3;17;26;10;9;6;7;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0,0;0;1;0;1;1;0;0;1;1;0,4126774
Konyaspor vs. Istanbulspor - Saturday August 12 - 2023,Istanbulspor,hard,4-2-3-1,JENSEN;YASAR;YESIL;ERDOGAN;DUHANEY;SARIKAYA;LOSHAJ;ETHEMI;JACKSON KENIO;NDAO;YILMAZ,1;66;4;23;21;24;34;27;99;18;9,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;2;1;1;0;0;1;0;0;0;1,0;0;0;0;0;0;0;1;1;1;1,4126783
Konyaspor vs. Istanbulspor - Saturday August 12 - 2023,Konyaspor,hard,4-2-3-1,BERNARDONI;GUILHERME;DEMIRTAS;DEMIRBAG;OGUZ;PAZ;DIKMEN;MORENO;MALLI;MURIC;CIKALLESHI,61;12;20;4;22;23;6;70;10;7;17,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;1;1;1;0;0;0;0;0;1,0;0;0;0;0;1;0;0;1;1;0,4126783
Pendikspor vs. Hatayspor - Saturday August 12 - 2023,Hatayspor,hard,4-3-3,KARDESLER;AKSOY;KILAMA;BEKAROGLU;COREKCI;DELE-BASHIRU;ABURJANIA;SAGLAM;FERNANDES;YILDIRIM;STRANDBERG,1;57;3;86;2;17;29;5;77;99;10,0;0;0;0;0;2;0;1;0;1;1,0;0;0;0;0;0;1;3;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;1;0;1;1;1;1;0,4126775
Pendikspor vs. Hatayspor - Saturday August 12 - 2023,Pendikspor,hard,4-4-2,OGUR;SEQUEIRA;TZAVELLAS;WELINTON;RASSOUL;AKBUNAR;VUKOVIC;AOSMAN;KAYA;THURAM;BITIN,35;6;31;23;14;11;4;15;58;34;9,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;1;0;1;0;0;1,4126775
Adana Demirspor vs. Rizespor - Sunday August 13 - 2023,Adana Demirspor,hard,4-2-3-1,OZBIR;RODRIGUES;GULER;GRAVILLON;SVENSSON;STAMBOULI;AKBABA;NANI;BELHANDA;SARI;NDIAYE,25;77;4;5;22;90;8;30;10;7;99,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;1,0;1;1;0;1;0;1;0;1;0;0,0;1;0;0;0;0;1;1;0;1;1,4126778
Adana Demirspor vs. Rizespor - Sunday August 13 - 2023,Rizespor,hard,4-2-3-1,AKKAN;PEHLIVAN;TOPCU;ALIKULOV;KORKMAZ;PALA;OLAWOYIN;KESER;PINCHI;ZEQIRI;DIOUF,23;3;53;2;27;54;10;7;21;77;19,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;1;0;0;1;1;0,0;1;0;1;1;0;0;0;1;0;1,4126778
Fenerbahce vs. Gaziantep FK - Sunday August 13 - 2023,Fenerbahce,easy,4-3-3,BAYINDIR;KADIOGLU;DJIKU;RODRIGO BECAO;OSAYI-SAMUEL;YANDAS;YUKSEK;SZYMANSKI;TADIC;DZEKO;KENT,1;7;6;50;21;8;80;53;10;9;11,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;1;0;1;0;0;1,4126781
Fenerbahce vs. Gaziantep FK - Sunday August 13 - 2023,Gaziantep FK,hard,4-2-3-1,SEN;KHACEF;DJILOBODJI;KIZILDAG;M'BAKATA;JEVTOVIC;SOYALP;GRADEL;MAXIM;ESKIHELLAC;MARKOVIC,19;24;3;4;22;8;5;10;44;11;50,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;1;2;1;1,0;0;0;0;0;0;1;1;0;1;1,4126781
Sivasspor vs. Samsunspor - Sunday August 13 - 2023,Samsunspor,hard,3-1-4-2,KOCUK;OZTURK;RICK VAN DRONGELEN;YAVRU;ANTALYALI;BOLA;NTCHAM;KILINC;SCHINDLER;MOUANDILMADJI;FOFANA,1;5;4;18;48;16;21;11;17;9;7,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;1;1;1;0;0;1;1,4126782
Sivasspor vs. Samsunspor - Sunday August 13 - 2023,Sivasspor,hard,4-1-4-1,VURAL;CIFTCI;CAMARA;OSMANPASA;OKUMUS;KONAK;MUSA;SAIZ;ARSLAN;BASSAN;N'JIE,35;3;14;88;23;72;7;24;37;17;10,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;0;1;0;0;1;0;0;0;0;0,0;0;0;0;0;1;1;1;1;0;1,4126782
Alanyaspor vs. Basaksehir - Monday August 14 - 2023,Alanyaspor,hard,4-3-3,TASKIRAN;OZDEMIR;ALITI;BAYIR;AUGUSTO;JANVIER;RICHARD;NOVAIS;CARLOS EDUARDO;ANDERSON SILVA;KARACA,1;88;5;4;27;17;25;10;28;33;7,0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;1;0;0;0;0;0;0,0;1;1;1;0;0;1;0;0;0;1,0;0;0;0;0;1;0;1;0;1;1,4126777
Alanyaspor vs. Basaksehir - Monday August 14 - 2023,Basaksehir,hard,4-3-3,SENGEZER;TOUBA;DUARTE;IE;OZBAYRAKLI;PELKAS;KARZEV;SAHINER;FIGUEIREDO;PIATEK;GURLER,16;59;5;32;2;14;72;42;25;9;7,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;2;0;0,0;1;0;0;1;1;0;1;0;1;0,4126777
Fatih Karagumruk vs. Besiktas - Monday August 14 - 2023,Besiktas,easy,4-3-3,GUNOK;MASUAKU;COLLEY;UYSAL;ROSIER;FERNANDES;HADZIAHMETOVIC;UCAN;MULEKA;ABOUBAKAR;BULUT,34;26;6;20;24;83;19;8;40;10;4,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;1;0,4126779
Fatih Karagumruk vs. Besiktas - Monday August 14 - 2023,Fatih Karagumruk,hard,4-2-3-1,DITURO;MERCAN;DRESEVIC;BANIYA;VESELI;FEGHOULI;UGUR;LJAJIC;ROHDEN;KELES;DURSUN,1;18;5;99;3;8;77;10;6;7;54,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;1;0;0;0;0;0;1,0;0;0;0;0;0;1;1;1;1;0,4126779
Antalyaspor vs. Konyaspor - Friday August 18 - 2023,Antalyaspor,hard,4-2-3-1,LEITE;VURAL;TOPRAK;SARI;BALCI;FREDY;KALUZINSKI;BYTYQI;LARSSON;YESILYURT;ASSOMBALONGA,1;11;21;89;7;16;18;77;10;17;97,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;1;1;1;0,4126790
Antalyaspor vs. Konyaspor - Friday August 18 - 2023,Konyaspor,hard,4-2-3-1,BERNARDONI;GUILHERME;CALVO;YAZGILI;OGUZ;ULGUN;DIKMEN;MORENO;MALLI;MICHALAK;CIKALLESHI,61;12;15;5;22;35;6;70;10;77;17,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;1;0;1;1;1;0,4126790
Istanbulspor vs. Kayserispor - Friday August 18 - 2023,Istanbulspor,hard,4-2-3-1,JENSEN;TEMEL;COLY;YESIL;DUHANEY;RROCA;LOSHAJ;ETHEMI;JACKSON KENIO;NDAO;YILMAZ,1;8;13;4;21;10;34;27;99;18;9,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,4126785
Istanbulspor vs. Kayserispor - Friday August 18 - 2023,Kayserispor,hard,4-2-3-1,BAYAZIT;ATTAMAH;KOCAMAN;KOLOVETSIOS;UZODIMMA;ACKAH;KEMEN;THIAM;KARIMI;CARDOSO;SAZDAGI,25;3;54;4;17;89;10;9;6;7;11,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,4126785
Galatasaray vs. Trabzonspor - Saturday August 19 - 2023,Galatasaray,easy,4-2-3-1,MUSLERA;ANGELINO;BARDAKCI;NELSSON;BOEY;TORREIRA;OLIVEIRA;AKTURKOGLU;MERTENS;YILMAZ;ICARDI,1;3;42;25;93;34;27;7;10;53;9,0;0;0;0;0;0;0;0;0;0;2,0;0;0;0;0;0;0;1;0;0;0,1;1;0;0;0;0;1;0;0;0;1,0;0;0;0;0;1;1;1;1;1;0,4126786
