game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Kayserispor vs. Ankaraspor - Sunday October 2 - 2005,Kayserispor,hard,4-4-2,IVANKOV;TEBER;SADYQOV;JOHNSON;YOLDAS;ALEKSANDROV;ARSLAN;BOLUKBASI;TOPUZ;RODIC;UNAL,27;41;14;15;4;10;38;3;66;32;9,0;0;0;0;0;0;0;0;0;0;2,0;0;0;0;0;0;0;1;1;0;0,0;0;0;1;1;1;0;0;0;1;0,0;0;0;0;0;1;0;0;1;1;0,37385
Malatyaspor vs. Diyarbakirspor - Sunday October 2 - 2005,Diyarbakirspor,hard,4-4-2,YIGITER;DEMIRCIOGLU;DOGANTEZ;SEDLOSKI;CAGIRAN;KAHRAMAN;BOZACI;JUPI;ESER;OZER;YANIK,21;61;14;4;5;10;53;8;27;9;13,0;0;0;0;0;1;0;0;0;1;0,0;0;0;0;0;0;1;0;0;0;0,1;0;0;0;1;1;1;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,37387
Malatyaspor vs. Diyarbakirspor - Sunday October 2 - 2005,Malatyaspor,hard,4-4-2,KORK;KAHYA;AYDIN;ERDOGAN;KORKMAZ;ALBAYRAK;TOTH;JOHANSSON;BENSOL;YILMAZ;OZKAN,35;8;34;3;44;20;26;24;99;10;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;0;1;0;0,0;0;1;0;0;0;0;1;0;1;0,37387
Ankaraspor vs. Konyaspor - Saturday October 15 - 2005,Ankaraspor,hard,4-2-3-1,JEVRIC;WEDERSON;BATAK;TUNC;YIGIT;GUCER;MOLNAR;ERDOGAN;OZGUR;BUYUK;JABA,1;30;3;5;22;50;77;10;7;6;20,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;1;0;0;0,37390
Ankaraspor vs. Konyaspor - Saturday October 15 - 2005,Konyaspor,hard,3-4-1-2,ONGUN;EL SAKA;BOZKURT;GUNDOSTU;ALBAYRAK;BATISTA;ER;CELIK;ERGIN;BELAL;HACIOGLU,1;5;14;4;77;2;13;42;21;11;53,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;1;0;0;1;0;0,0;0;0;0;0;1;0;0;0;1;0,37390
Diyarbakirspor vs. Gaziantepspor - Saturday October 15 - 2005,Diyarbakirspor,hard,4-4-2,YIGITER;CAGIRAN;SEDLOSKI;TOPRAK;DOGANTEZ;DEMIRCIOGLU;JUPI;KAHRAMAN;AKINCI;OZER;YANIK,21;5;4;3;14;61;8;10;77;9;13,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;1;1;0;0,37393
Diyarbakirspor vs. Gaziantepspor - Saturday October 15 - 2005,Gaziantepspor,hard,3-4-1-2,HASAGIC;IRTEGUN;GURACAR;YURT;BAYAR;GUNES;KORKMAZ;AGCAY;YILDIRIM;IVANOV;LAZAROV,1;4;99;38;26;15;27;7;36;69;11,0;0;0;0;0;0;0;1;0;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;1;1;1;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;1,37393
Fenerbahce vs. Ankaragucu - Saturday October 15 - 2005,Ankaragucu,hard,4-2-3-1,USAK;ZENGUE;KUTLU;BAYRAK;GUNEY;CORIDON;KARADUMAN;BULUT;ROBSON;EVREN;MANSIZ,34;20;4;3;12;32;38;10;8;14;26,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,37395
Fenerbahce vs. Ankaragucu - Saturday October 15 - 2005,Fenerbahce,easy,4-2-3-1,DEMIREL;OZAT;LUCIANO;TURACI;BALCI;MEHMET AURELIO;SAHIN;ANELKA;ALEX;APPIAH;NOBRE,1;5;2;19;30;15;21;39;20;4;11,0;0;1;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;1;0;0,0;1;0;1;0;0;0;0;0;0;0,0;0;0;0;1;0;1;0;0;0;1,37395
Kayseri Erciyesspor vs. Galatasaray - Saturday October 15 - 2005,Galatasaray,easy,4-4-2,MONDRAGON;AK;SONG;TOMAS;UCAR;HEINZ;SAIDOU;KARAN;HASPOLATLI;SUKUR;ATES,1;5;4;2;33;8;7;99;19;9;10,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,0;0;1;0;1;0;0;0;0;0;1,37394
Kayseri Erciyesspor vs. Galatasaray - Saturday October 15 - 2005,Kayseri Erciyesspor,hard,4-4-2,FADHEL;ATES;KARGIN;BOUAZIZI;KOK;BAYAZIT;TORAMAN;DIE;AYHAN;JULIO CESAR;ISLER,1;3;45;13;19;10;5;6;72;11;21,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;0;0;1,0;0;0;0;0;0;0;0;1;0;1,37394
