game,team,difficulty,formation,lineup
Adanaspor vs. Bursaspor - Friday August 19 - 2016,Adanaspor,hard,4-2-3-1,AKYUZ;RENAN DINIZ;VIERA;DILAVER;DIGAO;OZDEMIR;YILMAZ;ALTINDAG;KOMAN;RONI;GUEYE
Adanaspor vs. Bursaspor - Friday August 19 - 2016,Bursaspor,hard,4-2-3-1,TEKIN;ERSOY;KONUK;BEHICH;KURTULUS;YUCE;JORQUERA;KISA;BATALLA;DEL VALLE;NECID
Besiktas vs. Alanyaspor - Saturday August 20 - 2016,Alanyaspor,hard,4-2-3-1,YILMAZ;GARCIA;SULEY;EMIR;KARTAL;SACKEY;VURAL;AKBABA;AISSATI;CANDEIAS;AYITE
Besiktas vs. Alanyaspor - Saturday August 20 - 2016,Besiktas,easy,4-2-3-1,ZENGIN;MARCELO;TOSIC;ADRIANO;BECK;HUTCHINSON;OZYAKUP;ARSLAN;SAHAN;QUARESMA;TOSUN
Rizespor vs. Konyaspor - Saturday August 20 - 2016,Konyaspor,hard,4-4-2,KIRINTILI;TURAN;VUKOVIC;FINDIKLI;USLU;SKUBIC;SAHINER;HADZIAHMETOVIC;MILOSEVIC;BAJIC;RANGELOV
Rizespor vs. Konyaspor - Saturday August 20 - 2016,Rizespor,hard,4-4-2,AKKAN;YALCIN;SAADANE;OBOABONA;KURT;FAEZ;ISMAIL;OVACIKLI;BASSAN;OZEK;TUSZYNSKI
Trabzonspor vs. Kasimpasa - Saturday August 20 - 2016,Kasimpasa,hard,4-2-3-1,BIRNICAN;BOZHIKOV;OTIGBA;SARI;TITI;POPOV;PAVELKA;CASTRO;TORUN;BUYUK;KOITA
Trabzonspor vs. Kasimpasa - Saturday August 20 - 2016,Trabzonspor,easy,4-2-3-1,KIVRAK;DEMIROK;DURICA;VURAL;YAVRU;YOKUSLU;ONAZI;EKICI;ERDOGAN;CASTILLO;DEMIR
Antalyaspor vs. Osmanlispor Fk - Sunday August 21 - 2016,Antalyaspor,hard,4-1-4-1,FORNEZZI;DIEGO ANGELO;CELUSTKA;RAMON;SIMSEK;CHARLES;MAKOUN;YILDIRIM;KURTULUS;DANILO;ETAME
Antalyaspor vs. Osmanlispor Fk - Sunday August 21 - 2016,Osmanlispor Fk,hard,4-2-3-1,KARCEMARSKAS;CURUKSU;PROCHAZKA;PINTO;VRSAJEVIC;CAGIRAN;NDIAYE;GUVEN;KILICASLAN;DELARGE;WEBO
Basaksehir vs. Fenerbahce - Sunday August 21 - 2016,Basaksehir,hard,4-2-3-1,BABACAN;AYHAN;EPUREANU;ALBAYRAK;UCAR;TEKDEMIR;BELOZOGLU;MARCIO MOSSORO;VISCA;UNDER;CIKALLESHI
Basaksehir vs. Fenerbahce - Sunday August 21 - 2016,Fenerbahce,easy,4-2-3-1,DEMIREL;NEUSTADTER;SKRTEL;KALDIRIM;VAN DER WIEL;TOPAL;TUFAN;UCAN;SEN;POTUK;EMENIKE
Genclerbirligi vs. Gaziantepspor - Sunday August 21 - 2016,Gaziantepspor,hard,4-2-3-1,DEGIRMENCI;SUME;CAN;VAN HINTUM;YARDIMCI;KISLYAK;KAYALI;PUTILO;KANGWA;LARSSON;PARLAK
Genclerbirligi vs. Gaziantepspor - Sunday August 21 - 2016,Genclerbirligi,hard,4-2-3-1,HOPF;CALIK;POLITEVICH;CIFTCI;OGUZ;SAHIN;LANDEL;KAHVECI;MATEI;GURLER;STANCU
Kayserispor vs. Akhisar Belediyespor - Sunday August 21 - 2016,Akhisar Belediyespor,hard,4-2-3-1,OZTURK;DOUGLAO;OSMANPASA;KELES;LOPES;CUSTODIO;N'GUEMO;AYDOGDU;SAMI;VAZ TE;RODALLEGA
Kayserispor vs. Akhisar Belediyespor - Sunday August 21 - 2016,Kayserispor,hard,4-2-3-1,AHAMADA;RESMEN;MABIALA;KANA-BIYIK;BUDAK;MIJAILOVIC;SOW;SONMEZ;TURUC;NAKOULMA;WELLITON
