game,team,difficulty,formation,lineup
Istanbulspor vs. Trabzonspor - Friday August 5 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;YESIL;AKSU;YASAR;BERBER;YAZGAN;KABASAKAL;TOPALLI;ABAZAJ;YILMAZ
Kayserispor vs. Istanbulspor - Saturday August 13 - 2022,Kayserispor,hard,4-2-3-1,BAYAZIT;HOSSEINI;KOLOVETSIOS;CAROLE;BULUT;SAZDAGI;CAMPANHARO;BERTOLACCI;CARDOSO;BASSAN;GAVRANOVIC
Alanyaspor vs. Besiktas - Sunday August 14 - 2022,Alanyaspor,hard,3-4-2-1,KARAGOZ;AKSOY;BAYIR;BALKOVEC;TARGHALLINE;FER;BEKIROGLU;EDUARDO;BINGOL;FERHAT;CANDEIAS
Alanyaspor vs. Besiktas - Sunday August 14 - 2022,Besiktas,easy,4-1-4-1,DESTANOGLU;SAISS;UZUNHAN;MASUAKU;ROSIER;VARDAR;FERNANDES;UCAN;N'KOUDOU;GHEZZAL;WEGHORST
Gaziantep FK vs. Ankaragucu - Sunday August 14 - 2022,Ankaragucu,hard,4-2-3-1,GUNGORDU;MUJAKIC;CANKAYA;MARLON;CEYLAN;PEDRINHO;DURAK;ZAHID;BERIDZE;CHATZIGIOVANNIS;MACHEDA
Gaziantep FK vs. Ankaragucu - Sunday August 14 - 2022,Gaziantep FK,hard,4-1-4-1,GUVENC;DJILOBODJI;ERSOY;HANOUSEK;ESKIHELLAC;KITSIOU;JEVTOVIC;SOYALP;MAXIM;MARKOVIC;FIGUEIREDO
Umraniyespor vs. Antalyaspor - Sunday August 14 - 2022,Antalyaspor,hard,4-2-3-1,BOFFIN;TOPRAK;KUDRYASHOV;VURAL;BALCI;FERNANDO;AYDOGDU;NDAO;GHACHA;LUIZ ADRIANO;WRIGHT
Umraniyespor vs. Antalyaspor - Sunday August 14 - 2022,Umraniyespor,hard,4-1-4-1,KIRINTILI;GLUMAC;ALLYSON;LENJANI;GURBULAK;MRSIC;AVOUNOU;GOKSU;BETTAIEB;AYIK;GERALDO
Kasimpasa vs. Fenerbahce - Monday August 15 - 2022,Fenerbahce,easy,4-1-3-2,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;KADIOGLU;OSAYI-SAMUEL;ARAO;ZAJC;LINCOLN;MOR;VALENCIA;KING
Kasimpasa vs. Fenerbahce - Monday August 15 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;GRAOVAC;PETRETTA;YESILYURT;KARA;HADERGJONAJ;CELINA;EYSSERIC;HAJRADINOVIC;FALL;BAHOKEN
Konyaspor vs. Basaksehir - Monday August 15 - 2022,Basaksehir,hard,4-1-4-1,BABACAN;EPUREANU;DUARTE;NDAYISHIMIYE;LIMA;JUNIOR CAICARA;TEKDEMIR;SZYSZ;ALEKSIC;CHOUIAR;TURUC
Konyaspor vs. Basaksehir - Monday August 15 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;RAHMANOVIC;MICHALAK;BYTYQI;DEMIR
Umraniyespor vs. Galatasaray - Friday August 19 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;VAN AANHOLT;BOEY;TORREIRA;OLIVEIRA;AKGUN;AKBABA;AKTURKOGLU;SEFEROVIC
Umraniyespor vs. Galatasaray - Friday August 19 - 2022,Umraniyespor,hard,4-1-4-1,KIRINTILI;ALLYSON;GLUMAC;LENJANI;GURBULAK;MRSIC;GOKSU;AVOUNOU;BETTAIEB;DEL VALLE;AYIK
Antalyaspor vs. Trabzonspor - Saturday August 20 - 2022,Antalyaspor,hard,4-4-2,BOFFIN;SARI;KUDRYASHOV;VURAL;BALCI;FERNANDO;FREDY;LARSSON;NDAO;LUIZ ADRIANO;WRIGHT
Antalyaspor vs. Trabzonspor - Saturday August 20 - 2022,Trabzonspor,easy,4-1-4-1,CAKIR;VITOR HUGO;DENSWIL;ELMALI;STRYGER;HASPOLAT;TOKOZ;BAKASETAS;TREZEGUET;CORNELIUS;DJANINY
Giresunspor vs. Kasimpasa - Saturday August 20 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PEREZ;ARIAS;ULUDAG;BILAZER;MEJIA;TRAORE;SAVICEVIC;SERGINHO;SAINZ;BAJIC
Giresunspor vs. Kasimpasa - Saturday August 20 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;GRAOVAC;PETRETTA;GEMICIBASI;HADERGJONAJ;EYSSERIC;HAJRADINOVIC;ENGIN;FALL;BAHOKEN
Hatayspor vs. Gaziantep FK - Saturday August 20 - 2022,Gaziantep FK,hard,4-1-4-1,GUVENC;DJILOBODJI;ERSOY;ESKIHELLAC;HANOUSEK;KITSIOU;JEVTOVIC;SOYALP;MAXIM;MARKOVIC;FIGUEIREDO
Hatayspor vs. Gaziantep FK - Saturday August 20 - 2022,Hatayspor,hard,4-1-4-1,KARDESLER;FALETTE;VRANJES;ADEKUGBE;COREKCI;CAGIRAN;AABID;RIBEIRO;SAINT-LOUIS;LOBJANIDZE;EL KAABI
Basaksehir vs. Kayserispor - Sunday August 21 - 2022,Basaksehir,hard,4-1-4-1,SENGEZER;NDAYISHIMIYE;TOUBA;LIMA;JUNIOR CAICARA;BIGLIA;OZCAN;SZYSZ;ALEKSIC;CHADLI;TURUC
Basaksehir vs. Kayserispor - Sunday August 21 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;HOSSEINI;KOLOVETSIOS;CAROLE;BULUT;KARIMI;BERTOLACCI;CARDOSO;BASSAN;PEKTEMEK;THIAM
Besiktas vs. Fatih Karagumruk - Sunday August 21 - 2022,Besiktas,easy,4-1-4-1,DESTANOGLU;SAISS;MASUAKU;ROSIER;VARDAR;UYSAL;FERNANDES;UCAN;N'KOUDOU;WEGHORST;MULEKA
Besiktas vs. Fatih Karagumruk - Sunday August 21 - 2022,Fatih Karagumruk,hard,4-2-3-1,VIVIANO;DRESEVIC;BEKAROGLU;BIRASCHI;ERKIN;MERCAN;OZDOEV;SHUKUROV;MUSA;DIAGNE;BORINI
Fenerbahce vs. Adana Demirspor - Monday August 22 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;RAKITSKYI;AKAYDIN;RODRIGUES;SVENSSON;NDIAYE;INLER;BELHANDA;ONYEKURU;AKINTOLA;DZYUBA
Fenerbahce vs. Adana Demirspor - Monday August 22 - 2022,Fenerbahce,easy,3-4-3,BAYINDIR;LEMOS;LUAN PERES;SZALAI;KADIOGLU;ARAO;ZAJC;LINCOLN;MOR;DURSUN;VALENCIA
Istanbulspor vs. Konyaspor - Monday August 22 - 2022,Istanbulspor,hard,5-4-1,JENSEN;YESIL;ERDOGAN;AKSU;YASAR;BERBER;KABASAKAL;SARIKAYA;ETHEMI;TOPALLI;YILMAZ
Istanbulspor vs. Konyaspor - Monday August 22 - 2022,Konyaspor,hard,4-1-4-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;PAVICIC;CEKICI;BYTYQI;MURIC;DEMIR
Sivasspor vs. Alanyaspor - Monday August 22 - 2022,Alanyaspor,hard,4-1-4-1,RUNARSSON;BAYIR;AKSOY;BALKOVEC;PEREIRA;FER;LUSAMBA;BEKIROGLU;EDUARDO;FERHAT;CANDEIAS
Sivasspor vs. Alanyaspor - Monday August 22 - 2022,Sivasspor,hard,4-1-4-1,VURAL;OSMANPASA;APPINDANGOYE;CIFTCI;PALULI;KEITA;ARSLAN;CHARISIS;GRADEL;N'JIE;YATABARE
Gaziantep FK vs. Antalyaspor - Friday August 26 - 2022,Antalyaspor,hard,4-2-3-1,BOFFIN;SARI;KUDRYASHOV;VURAL;BALCI;FERNANDO;FREDY;LARSSON;BAYRAKDAR;LUIZ ADRIANO;WRIGHT
Gaziantep FK vs. Antalyaspor - Friday August 26 - 2022,Gaziantep FK,hard,4-1-4-1,GUVENC;DJILOBODJI;ERSOY;HANOUSEK;KITSIOU;JEVTOVIC;SOYALP;MAXIM;CIHAN;MARKOVIC;FIGUEIREDO
Adana Demirspor vs. Umraniyespor - Saturday August 27 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;SANUC;AKAYDIN;RODRIGUES;SVENSSON;STAMBOULI;NDIAYE;BJARNASON;ONYEKURU;AKINTOLA;DZYUBA
Adana Demirspor vs. Umraniyespor - Saturday August 27 - 2022,Umraniyespor,hard,5-3-2,KIRINTILI;GLUMAC;ALLYSON;LENJANI;SACKEY;GOKSU;AVOUNOU;GURBULAK;MRSIC;MIMAROGLU;BETTAIEB
Alanyaspor vs. Istanbulspor - Saturday August 27 - 2022,Alanyaspor,hard,4-1-4-1,RUNARSSON;BAYIR;BALKOVEC;PEREIRA;FER;LUSAMBA;OZDEMIR;BEKIROGLU;EDUARDO;CANDEIAS;FERHAT
Alanyaspor vs. Istanbulspor - Saturday August 27 - 2022,Istanbulspor,hard,5-4-1,JENSEN;YESIL;ERDOGAN;AKSU;YASAR;BERBER;KABASAKAL;SARIKAYA;ETHEMI;TOPALLI;YILMAZ
Fatih Karagumruk vs. Ankaragucu - Saturday August 27 - 2022,Ankaragucu,hard,4-2-3-1,GUNGORDU;MUJAKIC;OSMANOGLU;MARLON;CEYLAN;PEPE;PEDRINHO;ZAHID;JESE;BERIDZE;MACHEDA
Fatih Karagumruk vs. Ankaragucu - Saturday August 27 - 2022,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;DRESEVIC;BANIYA;DURSUN;ERKIN;OZDOEV;SHUKUROV;DURMAZ;COLLEY;BORINI;DIAGNE
Kasimpasa vs. Hatayspor - Sunday August 28 - 2022,Hatayspor,hard,4-1-4-1,KARDESLER;FALETTE;VRANJES;ADEKUGBE;COREKCI;BOUDJEMAA;AABID;RIBEIRO;LOBJANIDZE;BAS;EL KAABI
Kasimpasa vs. Hatayspor - Sunday August 28 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;GRAOVAC;GEMICIBASI;HADERGJONAJ;EYSSERIC;HAJRADINOVIC;CELINA;BEN OUANES;FALL;BAHOKEN
Kayserispor vs. Giresunspor - Sunday August 28 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PEREZ;ARIAS;ULUDAG;BILAZER;MEJIA;AKPINAR;SAVICEVIC;SERGINHO;SAINZ;BAJIC
Kayserispor vs. Giresunspor - Sunday August 28 - 2022,Kayserispor,hard,4-3-3,BAYAZIT;KOLOVETSIOS;HOSSEINI;CAROLE;BULUT;CAMPANHARO;CARDOSO;CIVELEK;MANE;THIAM;PARLAK
Trabzonspor vs. Galatasaray - Sunday August 28 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;VAN AANHOLT;BOEY;TORREIRA;OLIVEIRA;AKGUN;AKTURKOGLU;MERTENS;SEFEROVIC
Trabzonspor vs. Galatasaray - Sunday August 28 - 2022,Trabzonspor,easy,4-2-3-1,TEPE;BARTRA;VITOR HUGO;ELMALI;STRYGER;TOKOZ;SIOPIS;BARDHI;TREZEGUET;CORNELIUS;DJANINY
Besiktas vs. Sivasspor - Monday August 29 - 2022,Besiktas,easy,4-2-3-1,DESTANOGLU;SAISS;MASUAKU;ROSIER;UYSAL;FERNANDES;UCAN;ALLI;N'KOUDOU;WEGHORST;MULEKA
