game,team,difficulty,formation,lineup
Istanbulspor vs. Trabzonspor - Friday August 5 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;YESIL;AKSU;YASAR;BERBER;YAZGAN;KABASAKAL;TOPALLI;ABAZAJ;YILMAZ
Galatasaray vs. Konyaspor - Friday September 16 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BAYRAM;NELSSON;VAN AANHOLT;BOEY;TORREIRA;OLIVEIRA;AKGUN;AKTURKOGLU;MERTENS;GOMIS
Galatasaray vs. Konyaspor - Friday September 16 - 2022,Konyaspor,hard,4-1-4-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;PAZ;DIKMEN;CEKICI;BYTYQI;DEMIR
Hatayspor vs. Kayserispor - Friday September 16 - 2022,Hatayspor,hard,4-1-4-1,KARDESLER;YILMAZ;OKSUZ;ADEKUGBE;ERGUN;BOUDJEMAA;RIBEIRO;SAINT-LOUIS;LOBJANIDZE;BAS;EL KAABI
Hatayspor vs. Kayserispor - Friday September 16 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;KOCAMAN;KOLOVETSIOS;CAROLE;BULUT;CAMPANHARO;MENSAH;CARDOSO;CIVELEK;THIAM;PARLAK
Antalyaspor vs. Adana Demirspor - Saturday September 17 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;RAKITSKYI;AKAYDIN;RODRIGUES;SVENSSON;INLER;NDIAYE;BELHANDA;AKBABA;ONYEKURU;SARI
Antalyaspor vs. Adana Demirspor - Saturday September 17 - 2022,Antalyaspor,hard,4-2-3-1,BOFFIN;SARI;KUDRYASHOV;VURAL;BALCI;FREDY;AYDOGDU;NDAO;GHACHA;LUIZ ADRIANO;WRIGHT
Istanbulspor vs. Besiktas - Saturday September 17 - 2022,Besiktas,easy,4-3-3,DESTANOGLU;SANUC;SAISS;MASUAKU;ROSIER;SOUZA;FERNANDES;UCAN;N'KOUDOU;MULEKA;WEGHORST
Istanbulspor vs. Besiktas - Saturday September 17 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;YESIL;AKSU;YASAR;BERBER;KABASAKAL;SARIKAYA;TOPALLI;GULTEKIN;YILMAZ
Umraniyespor vs. Kasimpasa - Saturday September 17 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;BRUMA;TIRPAN;HADERGJONAJ;HAJRADINOVIC;EYSSERIC;CELINA;BEN OUANES;FALL;BAHOKEN
Umraniyespor vs. Kasimpasa - Saturday September 17 - 2022,Umraniyespor,hard,4-1-4-1,OZDEMIR;GLUMAC;LENJANI;YILMAZ;SACKEY;AVOUNOU;GURBULAK;GOKSU;GHEORGHE;GERALDO;NAYIR
Ankaragucu vs. Sivasspor - Sunday September 18 - 2022,Ankaragucu,hard,4-2-3-1,AKKAN;MUJAKIC;RADAKOVIC;MARLON;CEYLAN;CIGERCI;PEDRINHO;ANTALYALI;BERIDZE;KILINC;SOWE
Ankaragucu vs. Sivasspor - Sunday September 18 - 2022,Sivasspor,hard,4-2-3-1,VURAL;GOUTAS;APPINDANGOYE;CIFTCI;PALULI;ULVESTAD;CHARISIS;SABA;MUSA;GRADEL;ANGIELSKI
Basaksehir vs. Fatih Karagumruk - Sunday September 18 - 2022,Basaksehir,hard,4-3-3,BABACAN;NDAYISHIMIYE;DUARTE;LIMA;SAHINER;BIGLIA;TEKDEMIR;CHOUIAR;TRAORE;TURUC;KENY
Basaksehir vs. Fatih Karagumruk - Sunday September 18 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;DRESEVIC;BANIYA;DURSUN;ERKIN;OZDOEV;DURMAZ;SHUKUROV;KOUASSI;DIAGNE;BORINI
Fenerbahce vs. Alanyaspor - Sunday September 18 - 2022,Alanyaspor,hard,4-2-3-1,RUNARSSON;AKSOY;BAYIR;BALKOVEC;PEREIRA;FER;BEKIROGLU;KARACA;CANDEIAS;FERHAT;AHMED HASSAN
Fenerbahce vs. Alanyaspor - Sunday September 18 - 2022,Fenerbahce,easy,4-4-2,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;ALIOSKI;KADIOGLU;ARAO;CRESPO;ROSSI;MOR;JOAO PEDRO;VALENCIA
Trabzonspor vs. Gaziantep FK - Sunday September 18 - 2022,Gaziantep FK,hard,4-2-3-1,GUVENC;DJILOBODJI;ERSOY;HANOUSEK;KITSIOU;JEVTOVIC;SOYALP;MAXIM;SAGAL;MARKOVIC;FIGUEIREDO
Trabzonspor vs. Gaziantep FK - Sunday September 18 - 2022,Trabzonspor,easy,4-2-3-1,CAKIR;VITOR HUGO;BARTRA;ELMALI;STRYGER;SIOPIS;HAMSIK;BAKASETAS;TREZEGUET;BOZOK;DJANINY
Adana Demirspor vs. Galatasaray - Saturday October 1 - 2022,Adana Demirspor,hard,4-4-2,OZBIR;AKAYDIN;GULER;RODRIGUES;SVENSSON;STAMBOULI;NDIAYE;BELHANDA;AKBABA;ONYEKURU;SARI
Adana Demirspor vs. Galatasaray - Saturday October 1 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;BOEY;DUBOIS;TORREIRA;MIDTSJØ;AKGUN;AKTURKOGLU;MERTENS;GOMIS
Ankaragucu vs. Basaksehir - Saturday October 1 - 2022,Ankaragucu,hard,4-2-3-1,AKKAN;MUJAKIC;RADAKOVIC;GURELER;CEYLAN;CIGERCI;ANTALYALI;PEDRINHO;BERIDZE;KILINC;SOWE
Ankaragucu vs. Basaksehir - Saturday October 1 - 2022,Basaksehir,hard,4-3-3,BABACAN;NDAYISHIMIYE;TOUBA;KALDIRIM;SAHINER;BIGLIA;OZCAN;ALEKSIC;CHOUIAR;TRAORE;OKAKA
Kasimpasa vs. Gaziantep FK - Saturday October 1 - 2022,Gaziantep FK,hard,4-2-3-1,GUVENC;ERSOY;TOSCA;HANOUSEK;KITSIOU;JEVTOVIC;SOYALP;MAXIM;SAGAL;MARKOVIC;PEKHART
Kasimpasa vs. Gaziantep FK - Saturday October 1 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;BRUMA;CIFTPINAR;TIRPAN;HADERGJONAJ;EYSSERIC;CELINA;HAJRADINOVIC;BEN OUANES;FALL;BAHOKEN
Kayserispor vs. Trabzonspor - Saturday October 1 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;KOLOVETSIOS;HOSSEINI;CAROLE;BULUT;CAMPANHARO;MENSAH;CARDOSO;CIVELEK;THIAM;GAVRANOVIC
Kayserispor vs. Trabzonspor - Saturday October 1 - 2022,Trabzonspor,easy,4-2-3-1,CAKIR;VITOR HUGO;BARTRA;ELMALI;STRYGER;SIOPIS;HAMSIK;BAKASETAS;OMUR;TREZEGUET;GOMEZ
Alanyaspor vs. Giresunspor - Sunday October 2 - 2022,Alanyaspor,hard,3-4-2-1,RUNARSSON;BAYIR;AKSOY;RASSOUL;BALKOVEC;PEREIRA;TARGHALLINE;DOUMBIA;GUNES;KARACA;AHMED HASSAN
Alanyaspor vs. Giresunspor - Sunday October 2 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PEREZ;ARIAS;ULUDAG;BILAZER;CAMPUZANO;SAGLAM;AKPINAR;SERGINHO;SAINZ;BAJIC
Besiktas vs. Fenerbahce - Sunday October 2 - 2022,Besiktas,easy,4-2-3-1,DESTANOGLU;SAISS;SANUC;MASUAKU;ROSIER;SOUZA;UCAN;ALLI;REDMOND;WEGHORST;MULEKA
Besiktas vs. Fenerbahce - Sunday October 2 - 2022,Fenerbahce,easy,3-4-3,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;AZIZ;KADIOGLU;ARAO;CRESPO;KAHVECI;LINCOLN;JOAO PEDRO;VALENCIA
Konyaspor vs. Umraniyespor - Sunday October 2 - 2022,Konyaspor,hard,4-1-4-1,ERENTURK;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;PAZ;MICHALAK;BYTYQI;DEMIR
Konyaspor vs. Umraniyespor - Sunday October 2 - 2022,Umraniyespor,hard,4-1-4-1,OZDEMIR;GLUMAC;ALLYSON;LENJANI;POPOV;YILMAZ;GOKSU;MRSIC;MIMAROGLU;BETTAIEB;AYIK
Sivasspor vs. Hatayspor - Sunday October 2 - 2022,Hatayspor,hard,4-3-3,KARDESLER;OKSUZ;VRANJES;KANAK;ALICI;ERGUN;BOUDJEMAA;RIBEIRO;LOBJANIDZE;YILDIRIM;EL KAABI
Sivasspor vs. Hatayspor - Sunday October 2 - 2022,Sivasspor,hard,4-2-3-1,VURAL;APPINDANGOYE;GOUTAS;YALCIN;CIFTCI;YESILYURT;ULVESTAD;KEITA;SABA;GRADEL;YATABARE
Fatih Karagumruk vs. Istanbulspor - Monday October 3 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;CAULKER;BIRASCHI;DURSUN;DRESEVIC;ERKIN;OZDOEV;DURMAZ;COLLEY;KOUASSI;DIAGNE
Fatih Karagumruk vs. Istanbulspor - Monday October 3 - 2022,Istanbulspor,hard,3-4-3,JENSEN;MEHREMIC;ERDOGAN;AKSU;YASAR;BERBER;KABASAKAL;SARIKAYA;TOPALLI;GURI;GULTEKIN
Gaziantep FK vs. Adana Demirspor - Friday October 7 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;GULER;AKAYDIN;RODRIGUES;SVENSSON;NDIAYE;BELHANDA;AKBABA;ONYEKURU;AKINTOLA;ASSOMBALONGA
Gaziantep FK vs. Adana Demirspor - Friday October 7 - 2022,Gaziantep FK,hard,3-4-3,GUVENC;TOSCA;ERSOY;DJILOBODJI;KITSIOU;JEVTOVIC;SOYALP;MAXIM;SAGAL;PEKHART;FIGUEIREDO
Antalyaspor vs. Konyaspor - Saturday October 8 - 2022,Antalyaspor,hard,4-4-2,UYSAL;TOPRAK;LUYINDAMA;VURAL;BALCI;FERNANDO;AKYOL;NDAO;GUMUS;LUIZ ADRIANO;WRIGHT
Antalyaspor vs. Konyaspor - Saturday October 8 - 2022,Konyaspor,hard,4-1-4-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;PAZ;BYTYQI;MURIC;DEMIR
Giresunspor vs. Besiktas - Saturday October 8 - 2022,Besiktas,easy,4-2-3-1,DESTANOGLU;SAISS;SANUC;MASUAKU;ROSIER;SOUZA;FERNANDES;ALLI;BINGOL;REDMOND;WEGHORST
Giresunspor vs. Besiktas - Saturday October 8 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PEREZ;ARIAS;ULUDAG;BILAZER;CAMPUZANO;AKPINAR;SAGLAM;SAINZ;KUWAS;BAJIC
Istanbulspor vs. Ankaragucu - Saturday October 8 - 2022,Ankaragucu,hard,4-2-3-1,AKKAN;MUJAKIC;RADAKOVIC;GURELER;CEYLAN;CIGERCI;ANTALYALI;PEDRINHO;BERIDZE;KILINC;SOWE
Istanbulspor vs. Ankaragucu - Saturday October 8 - 2022,Istanbulspor,hard,3-4-3,JENSEN;MEHREMIC;YESIL;ERDOGAN;AKSU;BERBER;RROCA;SARIKAYA;ETHEMI;TOPALLI;YILMAZ
Fenerbahce vs. Fatih Karagumruk - Sunday October 9 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;DRESEVIC;BIRASCHI;DURSUN;ERKIN;OZDOEV;DURMAZ;SHUKUROV;COLLEY;KOUASSI;BORINI
Fenerbahce vs. Fatih Karagumruk - Sunday October 9 - 2022,Fenerbahce,easy,4-4-2,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;OSAYI-SAMUEL;YUKSEK;CRESPO;KAHVECI;LINCOLN;MOR;VALENCIA;JOAO PEDRO
Hatayspor vs. Alanyaspor - Sunday October 9 - 2022,Alanyaspor,hard,4-2-3-1,RUNARSSON;AKSOY;BAYIR;BALKOVEC;PEREIRA;DOUMBIA;GUNES;KARACA;BEKIROGLU;CANDEIAS;AHMED HASSAN
Hatayspor vs. Alanyaspor - Sunday October 9 - 2022,Hatayspor,hard,4-3-3,KARDESLER;OKSUZ;VRANJES;KANAK;ALICI;ERGUN;BOUDJEMAA;AABID;LOBJANIDZE;YILDIRIM;EL KAABI
Umraniyespor vs. Kayserispor - Sunday October 9 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;KOLOVETSIOS;HOSSEINI;CAROLE;BULUT;KEMEN;CAMPANHARO;MENSAH;CARDOSO;CIVELEK;GAVRANOVIC
Umraniyespor vs. Kayserispor - Sunday October 9 - 2022,Umraniyespor,hard,4-1-4-1,OZDEMIR;GLUMAC;ALLYSON;LENJANI;SACKEY;YILMAZ;AVOUNOU;GOKSU;AYIK;GERALDO;NAYIR
Basaksehir vs. Sivasspor - Monday October 10 - 2022,Basaksehir,hard,4-1-4-1,SENGEZER;EPUREANU;NDAYISHIMIYE;LIMA;SAHINER;BIGLIA;OZCAN;CHOUIAR;TURUC;TRAORE;KENY
Basaksehir vs. Sivasspor - Monday October 10 - 2022,Sivasspor,hard,4-2-3-1,VURAL;OSMANPASA;GOUTAS;YALCIN;CIFTCI;PALULI;YESILYURT;ULVESTAD;SABA;N'JIE;YATABARE
Trabzonspor vs. Kasimpasa - Monday October 10 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;BRUMA;TIRPAN;HADERGJONAJ;CELINA;EYSSERIC;HAJRADINOVIC;BEN OUANES;FALL;BAHOKEN
Trabzonspor vs. Kasimpasa - Monday October 10 - 2022,Trabzonspor,easy,4-2-3-1,CAKIR;VITOR HUGO;BARTRA;ELMALI;STRYGER;SIOPIS;HAMSIK;YAZICI;BAKASETAS;TREZEGUET;GOMEZ
Alanyaspor vs. Antalyaspor - Friday October 14 - 2022,Alanyaspor,hard,4-3-3,RUNARSSON;RASSOUL;BAYIR;AKSOY;FER;LUSAMBA;OZDEMIR;BEKIROGLU;KARACA;CANDEIAS;AHMED HASSAN
Alanyaspor vs. Antalyaspor - Friday October 14 - 2022,Antalyaspor,hard,4-2-3-1,UYSAL;TOPRAK;LUYINDAMA;SERTEL;BALCI;AKYOL;FREDY;BAYRAKDAR;GHACHA;LUIZ ADRIANO;WRIGHT
Fatih Karagumruk vs. Hatayspor - Saturday October 15 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;CAULKER;BIRASCHI;DRESEVIC;ERKIN;OZDOEV;DURMAZ;LAWRENCE NICHOLAS;FREI;KOUASSI;BORINI
Fatih Karagumruk vs. Hatayspor - Saturday October 15 - 2022,Hatayspor,hard,4-3-3,KARDESLER;OKSUZ;VRANJES;KANAK;COREKCI;ERGUN;AABID;BOUDJEMAA;LOBJANIDZE;YILDIRIM;EL KAABI
Kasimpasa vs. Adana Demirspor - Saturday October 15 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;RAKITSKYI;AKAYDIN;RODRIGUES;SVENSSON;STAMBOULI;NDIAYE;AKBABA;BELHANDA;ONYEKURU;AKINTOLA
Kasimpasa vs. Adana Demirspor - Saturday October 15 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;BRUMA;TIRPAN;KARA;HADERGJONAJ;HAJRADINOVIC;CELINA;BEN OUANES;FALL;BAHOKEN
Kayserispor vs. Galatasaray - Saturday October 15 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;KARATAS;BOEY;TORREIRA;MIDTSJØ;MATA;AKGUN;MERTENS;ICARDI
Kayserispor vs. Galatasaray - Saturday October 15 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;HOSSEINI;KOLOVETSIOS;CAROLE;BULUT;CAMPANHARO;KEMEN;MENSAH;CARDOSO;CIVELEK;GAVRANOVIC
Konyaspor vs. Gaziantep FK - Saturday October 15 - 2022,Gaziantep FK,hard,3-4-3,GUVENC;KIZILDAG;TOSCA;KITSIOU;JEVTOVIC;PARMAK;SOYALP;MAXIM;SAGAL;FIGUEIREDO;PEKHART
Konyaspor vs. Gaziantep FK - Saturday October 15 - 2022,Konyaspor,hard,4-1-4-1,SEHIC;DEMIRBAG;DEMIRTAS;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;CEKICI;BYTYQI;MICHALAK;DEMIR
Basaksehir vs. Istanbulspor - Sunday October 16 - 2022,Basaksehir,hard,4-1-4-1,BABACAN;DUARTE;NDAYISHIMIYE;LIMA;SAHINER;TEKDEMIR;BIGLIA;OZCAN;GURLER;TURUC;TRAORE
Basaksehir vs. Istanbulspor - Sunday October 16 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;MEHREMIC;YESIL;YASAR;BERBER;RROCA;SARIKAYA;ETHEMI;TOPALLI;YILMAZ
Besiktas vs. Trabzonspor - Sunday October 16 - 2022,Besiktas,easy,4-2-3-1,DESTANOGLU;MONTERO;SANUC;MASUAKU;ROSIER;SOUZA;UCAN;ALLI;N'KOUDOU;GHEZZAL;WEGHORST
Besiktas vs. Trabzonspor - Sunday October 16 - 2022,Trabzonspor,easy,4-1-4-1,CAKIR;BARTRA;VITOR HUGO;GBAMIN;ELMALI;STRYGER;HAMSIK;OMUR;BAKASETAS;TREZEGUET;GOMEZ
Ankaragucu vs. Fenerbahce - Monday October 17 - 2022,Ankaragucu,hard,4-2-3-1,AKKAN;MUJAKIC;RADAKOVIC;GURELER;MALCUIT;CIGERCI;ANTALYALI;JESE;BERIDZE;KILINC;SOWE
Ankaragucu vs. Fenerbahce - Monday October 17 - 2022,Fenerbahce,easy,3-1-4-2,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;AZIZ;KADIOGLU;OSAYI-SAMUEL;CRESPO;KAHVECI;LINCOLN;BATSHUAYI;VALENCIA
Antalyaspor vs. Istanbulspor - Friday October 21 - 2022,Antalyaspor,hard,4-1-4-1,UYSAL;TOPRAK;LUYINDAMA;VURAL;BALCI;FERNANDO;AKYOL;LARSSON;NAKAJIMA;GUMUS;WRIGHT
Antalyaspor vs. Istanbulspor - Friday October 21 - 2022,Istanbulspor,hard,5-4-1,JENSEN;MEHREMIC;YESIL;ERDOGAN;YASAR;BERBER;RROCA;SARIKAYA;ETHEMI;TOPALLI;GULTEKIN
Fenerbahce vs. Basaksehir - Saturday October 22 - 2022,Basaksehir,hard,4-3-3,BABACAN;DUARTE;KALDIRIM;SAHINER;TEKDEMIR;BIGLIA;OZCAN;GURLER;TRAORE;TURUC;OKAKA
Fenerbahce vs. Basaksehir - Saturday October 22 - 2022,Fenerbahce,easy,3-5-2,BAYINDIR;SZALAI;AZIZ;GUSTAVO HENRIQUE;KADIOGLU;YUKSEK;CRESPO;LINCOLN;KAHVECI;BATSHUAYI;VALENCIA
Trabzonspor vs. Sivasspor - Saturday October 22 - 2022,Sivasspor,hard,4-2-3-1,VURAL;OSMANPASA;GOUTAS;CIFTCI;PALULI;YESILYURT;ARSLAN;CHARISIS;SABA;N'JIE;YATABARE
Trabzonspor vs. Sivasspor - Saturday October 22 - 2022,Trabzonspor,easy,4-2-3-1,CAKIR;VITOR HUGO;GBAMIN;BARTRA;ELMALI;STRYGER;HAMSIK;BAKASETAS;TREZEGUET;GOMEZ;BOZOK
Umraniyespor vs. Fatih Karagumruk - Saturday October 22 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;DRESEVIC;CAULKER;BIRASCHI;ERKIN;OZDOEV;DURMAZ;LAWRENCE NICHOLAS;KOUASSI;FREI;BORINI
Umraniyespor vs. Fatih Karagumruk - Saturday October 22 - 2022,Umraniyespor,hard,4-1-4-1,OZDEMIR;ESER;ALLYSON;LENJANI;POPOV;AVOUNOU;GOKSU;GURBULAK;GERALDO;AYIK;NAYIR
Adana Demirspor vs. Konyaspor - Sunday October 23 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;RAKITSKYI;AKAYDIN;RODRIGUES;SVENSSON;STAMBOULI;NDIAYE;BELHANDA;AKBABA;ONYEKURU;AKINTOLA
Adana Demirspor vs. Konyaspor - Sunday October 23 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;CEKICI;MICHALAK;BYTYQI;DIOUF
Galatasaray vs. Alanyaspor - Sunday October 23 - 2022,Alanyaspor,hard,4-1-4-1,RUNARSSON;RASSOUL;BAYIR;AKSOY;FER;LUSAMBA;OZDEMIR;KARACA;BEKIROGLU;CANDEIAS;AHMED HASSAN
Galatasaray vs. Alanyaspor - Sunday October 23 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;KARATAS;BOEY;TORREIRA;OLIVEIRA;AKTURKOGLU;RASHICA;MERTENS;ICARDI
Kasimpasa vs. Kayserispor - Sunday October 23 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;BRUMA;TIRPAN;HADERGJONAJ;HAJRADINOVIC;EYSSERIC;CELINA;BEN OUANES;FALL;BAHOKEN
Kasimpasa vs. Kayserispor - Sunday October 23 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;KOLOVETSIOS;HOSSEINI;CAROLE;BULUT;KEMEN;CAMPANHARO;MENSAH;CARDOSO;CIVELEK;THIAM
Giresunspor vs. Ankaragucu - Monday October 24 - 2022,Ankaragucu,hard,4-2-3-1,AKKAN;MUJAKIC;RADAKOVIC;GURELER;MALCUIT;CIGERCI;ANTALYALI;JESE;BERIDZE;KILINC;SOWE
Giresunspor vs. Ankaragucu - Monday October 24 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PEREZ;ARIAS;ULUDAG;BILAZER;CAMPUZANO;SAGLAM;AKPINAR;SAINZ;SERGINHO;BAJIC
Hatayspor vs. Besiktas - Monday October 24 - 2022,Besiktas,easy,4-2-3-1,DESTANOGLU;MONTERO;SANUC;MASUAKU;ROSIER;SOUZA;UCAN;ALLI;N'KOUDOU;WEGHORST;MULEKA
Hatayspor vs. Besiktas - Monday October 24 - 2022,Hatayspor,hard,4-3-3,KARDESLER;OKSUZ;VRANJES;ADEKUGBE;COREKCI;ERGUN;BOUDJEMAA;AABID;LOBJANIDZE;EL KAABI;ZE LUIS
Fatih Karagumruk vs. Galatasaray - Friday October 28 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;CAULKER;DRESEVIC;BIRASCHI;ERKIN;DURMAZ;UGUR;SHUKUROV;KOUASSI;DIAGNE;BORINI
Fatih Karagumruk vs. Galatasaray - Friday October 28 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;NELSSON;BAYRAM;TASDEMIR;DUBOIS;TORREIRA;OLIVEIRA;AKTURKOGLU;RASHICA;MERTENS;ICARDI
Alanyaspor vs. Gaziantep FK - Saturday October 29 - 2022,Alanyaspor,hard,4-1-4-1,RUNARSSON;BAYIR;AKSOY;BALKOVEC;PEREIRA;DOUMBIA;FER;GUNES;KARACA;FERHAT;AHMED HASSAN
Alanyaspor vs. Gaziantep FK - Saturday October 29 - 2022,Gaziantep FK,hard,3-4-3,GUVENC;DJILOBODJI;TOSCA;KIZILDAG;ARTAN;JEVTOVIC;SOYALP;MAXIM;SAGAL;MARKOVIC;FIGUEIREDO
Konyaspor vs. Kasimpasa - Saturday October 29 - 2022,Kasimpasa,hard,4-3-3,TASKIRAN;CIFTPINAR;GRAOVAC;TIRPAN;HADERGJONAJ;HAJRADINOVIC;EYSSERIC;BEN OUANES;FALL;ENGIN;DEMIREL
Konyaspor vs. Kasimpasa - Saturday October 29 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;ULGUN;CEKICI;MICHALAK;BYTYQI;DEMIR
Ankaragucu vs. Hatayspor - Sunday October 30 - 2022,Ankaragucu,hard,4-2-3-1,AKKAN;MUJAKIC;RADAKOVIC;GURELER;MALCUIT;CIGERCI;PEDRINHO;ANTALYALI;JESE;BERIDZE;SOWE
Ankaragucu vs. Hatayspor - Sunday October 30 - 2022,Hatayspor,hard,4-3-3,KARDESLER;OKSUZ;VRANJES;ADEKUGBE;ALICI;ERGUN;BOUDJEMAA;AABID;LOBJANIDZE;ZE LUIS;EL KAABI
Besiktas vs. Umraniyespor - Sunday October 30 - 2022,Besiktas,easy,4-1-4-1,GUNOK;SAISS;SANUC;MASUAKU;ROSIER;SOUZA;UCAN;FERNANDES;ALLI;WEGHORST;TOSUN
Besiktas vs. Umraniyespor - Sunday October 30 - 2022,Umraniyespor,hard,4-1-4-1,DEMIR;ESER;ALLYSON;ATASAYAR;POPOV;SACKEY;AVOUNOU;GOKSU;DEL VALLE;GERALDO;NAYIR
Istanbulspor vs. Fenerbahce - Sunday October 30 - 2022,Fenerbahce,easy,4-4-2,BAYINDIR;SZALAI;AZIZ;ALIOSKI;KADIOGLU;ARAO;ZAJC;KAHVECI;MOR;BATSHUAYI;JOAO PEDRO
Istanbulspor vs. Fenerbahce - Sunday October 30 - 2022,Istanbulspor,hard,4-1-4-1,JENSEN;MEHREMIC;YESIL;ERDOGAN;YASAR;BERBER;KABASAKAL;SARIKAYA;ETHEMI;TOPALLI;YILMAZ
Kayserispor vs. Adana Demirspor - Sunday October 30 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;GULER;AKAYDIN;RODRIGUES;SVENSSON;STAMBOULI;NDIAYE;AKBABA;BELHANDA;ONYEKURU;AKINTOLA
Kayserispor vs. Adana Demirspor - Sunday October 30 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;HOSSEINI;CAROLE;BULUT;KEMEN;CAMPANHARO;KARIMI;MENSAH;CIVELEK;THIAM;GAVRANOVIC
Basaksehir vs. Giresunspor - Monday October 31 - 2022,Basaksehir,hard,4-3-3,BABACAN;EPUREANU;DUARTE;NDAYISHIMIYE;KALDIRIM;JUNIOR CAICARA;SAHINER;OZCAN;GURLER;CHOUIAR;KENY
Basaksehir vs. Giresunspor - Monday October 31 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PICINCIOL;PEREZ;ARIAS;BILAZER;MEJIA;CAMPUZANO;SAGLAM;SERGINHO;SAINZ;BAJIC
Sivasspor vs. Antalyaspor - Monday October 31 - 2022,Antalyaspor,hard,3-4-3,UYSAL;LUYINDAMA;SARI;KUDRYASHOV;VURAL;BALCI;FERNANDO;AKYOL;NAKAJIMA;LARSSON;WRIGHT
Sivasspor vs. Antalyaspor - Monday October 31 - 2022,Sivasspor,hard,4-2-3-1,VURAL;OSMANPASA;GOUTAS;PALULI;YESILYURT;KEITA;ARSLAN;SABA;GRADEL;N'JIE;YATABARE
Kasimpasa vs. Ankaragucu - Friday November 4 - 2022,Ankaragucu,hard,4-1-4-1,AKKAN;MUJAKIC;RADAKOVIC;GURELER;MALCUIT;CIGERCI;PEDRINHO;ANTALYALI;JESE;BERIDZE;SOWE
Kasimpasa vs. Ankaragucu - Friday November 4 - 2022,Kasimpasa,hard,4-2-3-1,TASKIRAN;DONK;GRAOVAC;PETRETTA;TIRPAN;KARA;HADERGJONAJ;CELINA;ENGIN;FALL;DEMIREL
Umraniyespor vs. Alanyaspor - Friday November 4 - 2022,Alanyaspor,hard,4-2-3-1,RUNARSSON;AKSOY;BAYIR;BALKOVEC;PEREIRA;DOUMBIA;FER;KARACA;AYDIN;EDUARDO;AHMED HASSAN
Umraniyespor vs. Alanyaspor - Friday November 4 - 2022,Umraniyespor,hard,4-1-4-1,OZDEMIR;GLUMAC;ALLYSON;ATASAYAR;POPOV;SACKEY;GOKSU;AVOUNOU;DEL VALLE;GERALDO;NAYIR
Galatasaray vs. Besiktas - Saturday November 5 - 2022,Besiktas,easy,4-1-4-1,GUNOK;SAISS;SANUC;MERAS;ROSIER;SOUZA;FERNANDES;UCAN;N'KOUDOU;TOSUN;WEGHORST
