game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Eskisehirspor vs. Akhisar Belediyespor - Friday August 17 - 2012,Akhisar Belediyespor,hard,4-4-2,DAGLAROGLU;ATAN;DEMIROK;DUYMUS;CEBE;VARDAR;YUCE;ALADAG;EREN;BIKOKO;BRUNO MEZENGA,18;4;15;5;20;11;6;14;34;24;80,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;1,0;0;0;0;1;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,2243774
Eskisehirspor vs. Akhisar Belediyespor - Friday August 17 - 2012,Eskisehirspor,hard,4-4-2,BOFFIN;DEDE;DIEGO ANGELO;CETIN;SARI;ZENGIN;GUCER;POTUK;ESER;NUHIU;KAMARA,25;4;3;76;88;10;50;6;21;9;15,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;0,2243774
Elazigspor vs. Fenerbahce - Saturday August 18 - 2012,Elazigspor,hard,4-3-3,IVESA;ZEEGELAAR;BAYRAK;FABIO BILICA;ALKASI;KAYALI;ERTUGRUL;BADUR;YEDEK;TUM;FAUBERT,1;90;61;58;22;23;20;26;11;18;81,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;1,0;0;2;0;0;1;1;1;0;1;0,0;0;1;0;0;1;1;1;0;1;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,2243770
Elazigspor vs. Fenerbahce - Saturday August 18 - 2012,Fenerbahce,easy,4-2-3-1,GUNOK;ERKIN;KORKMAZ;IRTEGUN;SAM;TOPAL;SAHIN;STOCH;ALEX;KUYT;SOW,34;88;2;4;67;5;21;9;10;11;7,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;0;1;0;0,0;1;0;1;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;1;0;0;0;0,2243770
Gaziantepspor vs. Sivasspor - Saturday August 18 - 2012,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;IVAN;CAN;BINYA;KURTULUS;PEHLIVAN;HAS;SAHIN;IBRICIC;SOSA;DEMIR,1;6;3;28;16;55;8;7;10;18;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;0;1,2243767
Gaziantepspor vs. Sivasspor - Saturday August 18 - 2012,Sivasspor,hard,4-2-3-1,CELIKAY;ERDAL;NAVRATIL;GUVEN;KAVUK;KAYA;BEKMEZCI;GROSICKI;KILIC;PEDRIEL;ENERAMO,1;5;21;44;67;20;8;10;11;7;14,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0;0,0;1;1;0;1;0;0;0;0;0;0,0;1;1;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,2243767
Kardemir Dc Karabukspor vs. Trabzonspor - Saturday August 18 - 2012,Kardemir Dc Karabukspor,hard,4-2-3-1,TOMIC;SERIC;JAHIC;MABIALA;UCAR;HIKMET;SOYLER;KISA;CERNAT;TEBER;YILDIZ,19;20;81;25;3;5;68;8;10;30;58,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,2243768
Kardemir Dc Karabukspor vs. Trabzonspor - Saturday August 18 - 2012,Trabzonspor,easy,4-2-3-1,ZENGIN;CELUSTKA;KACAR;YUMLU;BALCI;ZOKORA;AYDOGDU;ADIN;SAPARA;SEN;VITTEK,29;28;23;22;30;15;14;92;27;80;7,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;1;0;0;0;0,0;0;1;1;0;0;0;0;0;0;0,0;0;1;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;1,2243768
Istanbul Buyuksehir Belediyespor vs. Besiktas - Sunday August 19 - 2012,Besiktas,easy,4-2-3-1,GONEN;BORAL;SIVOK;TORAMAN;HILBERT;KAVLAK;TURK;PEKTEMEK;FERNANDES;SAHAN;ALMEIDA,1;25;6;5;13;8;30;11;4;10;9,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;0;1;1;0;0;1;0;0;0,0;0;0;1;1;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;1;0;0;0,2243771
Istanbul Buyuksehir Belediyespor vs. Besiktas - Sunday August 19 - 2012,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,EDUARDO;EKSIOGLU;ARAT;DEPE;GERALDES;HASPOLATLI;TEKDEMIR;VISCA;HOLMEN;TOM;WEBO,1;17;2;3;18;20;5;13;23;88;9,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;1;1;0;0;1;0;1;0;1;0,0;1;1;0;0;1;0;1;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,2243771
Kayserispor vs. Bursaspor - Sunday August 19 - 2012,Bursaspor,hard,4-2-3-1,CARSON;ASLANTAS;AZIZ;OZTURK;CHRETIEN;N'DIAYE;CAGIRAN;IPEK;BATALLA;SESTAK;PINTO,17;42;23;38;20;8;35;33;10;9;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;2;0;0;0;0;1;0;0;0;0,0;1;0;0;0;0;1;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,2243772
Kayserispor vs. Bursaspor - Sunday August 19 - 2012,Kayserispor,hard,4-2-3-1,TASKIRAN;FATHI;DABANLI;ZURAB KHIZANISHVILI;KAYAOGLU;YOKUSLU;RIVEROS;MOUCHE;CLEYTON;BAYRAM;BOBO,1;3;4;6;25;30;16;17;19;38;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;0;0;0;0,0;0;0;1;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;1;1;0,2243772
Mersin Idmanyurdu vs. Orduspor - Sunday August 19 - 2012,Mersin Idmanyurdu,hard,4-1-4-1,SEHIC;KECELI;STEPANOV;TOSCALI;YANIK;BAYRAKTAR;OZOKWO;BEN YAHIA;SARP;YATTARA;KELES,12;23;5;25;87;55;7;13;16;18;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;1;0;0,0;1;1;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,2243775
Mersin Idmanyurdu vs. Orduspor - Sunday August 19 - 2012,Orduspor,hard,4-4-2,FORNEZZI;CALISKAN;GARCIA;CINAZ;GARCIA;MONJE;COKMUS;CAMDALI;UMBIDES;KABZE;BARRAL,32;11;14;6;15;26;85;8;22;10;23,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,2243775
Galatasaray vs. Kasimpasa - Monday August 20 - 2012,Galatasaray,easy,4-4-2,MUSLERA;BALTA;NOUNKEU;UJFALUSI;EBOUE;COLAK;ALTINTOP;INAN;YILMAZ;ELMANDER;BULUT,25;22;13;30;27;52;4;8;7;9;19,0;0;0;0;0;0;0;0;0;0;2,0;0;0;0;0;2;0;0;0;0;0,0;1;0;0;0;0;0;1;0;0;1,0;1;0;0;0;0;0;1;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,2243769
Galatasaray vs. Kasimpasa - Monday August 20 - 2012,Kasimpasa,hard,4-3-3,ISAKSSON;KAPLAN;EKER;AYHAN;DERELI;OZMERT;ERNST;SARMOV;DJALMA;UCHE;VIUDEZ,15;5;4;2;61;70;24;8;;9;19,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;1;0;1;1;0;0;0;0;0,0;0;1;0;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;0;1,2243769
Genclerbirligi vs. Antalyaspor - Monday August 20 - 2012,Antalyaspor,hard,4-2-3-1,NDJOCK;MINEV;BARIS;ZIZIC;TANDOGAN;INCEMAN;DAGASAN;TITA;BASSAN;PROMISE;DIARRA,33;14;24;28;2;8;4;10;11;20;26,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;1;0;0;0;1;0;0;0;0;1,0;1;0;0;0;1;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;0;1,2243773
Genclerbirligi vs. Antalyaspor - Monday August 20 - 2012,Genclerbirligi,hard,4-2-3-1,KOSE;TOSIC;DEMIR;KULUSIC;CAN;KARA;AZOFEIFA;ZEC;DURMAZ;MERIC;LEKIC,1;3;4;6;40;7;8;10;21;17;9,0;0;0;0;0;0;0;2;0;0;0,0;0;0;0;0;0;2;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;1;0;1,2243773
Kasimpasa vs. Kardemir Dc Karabukspor - Friday August 24 - 2012,Kardemir Dc Karabukspor,hard,4-2-3-1,TOMIC;SERIC;KARAER;JAHIC;UCAR;KAGAN SOYLEMEZGILLER;SOYLER;SHELTON;CERNAT;PARLAK;YILDIZ,19;20;17;81;3;6;68;78;10;23;58,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;0;1;0;0;1;1,0;0;0;1;1;0;1;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;1;0;0;0,2243780
Kasimpasa vs. Kardemir Dc Karabukspor - Friday August 24 - 2012,Kasimpasa,hard,4-3-3,ISAKSSON;KAPLAN;AYHAN;SUME;DERELI;OZMERT;ERNST;SARMOV;DJALMA;UCHE;VIUDEZ,15;5;2;49;61;70;24;8;30;9;19,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,2243780
Fenerbahce vs. Gaziantepspor - Saturday August 25 - 2012,Fenerbahce,easy,4-4-2,GUNOK;KALDIRIM;KORKMAZ;YOBO;GONUL;KRASIC;TOPAL;SAHIN;TOPUZ;SOW;KUYT,34;3;2;6;77;27;5;21;38;7;11,0;0;0;0;0;0;1;0;0;1;1,0;1;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,2243781
Fenerbahce vs. Gaziantepspor - Saturday August 25 - 2012,Gaziantepspor,hard,4-5-1,KARCEMARSKAS;IVAN;CAN;KECOJEVIC;KURTULUS;SAHIN;PEHLIVAN;IBRICIC;BINYA;SOSA;DEMIR,1;6;3;50;16;7;55;10;28;18;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;1;0;0;0;1;0;0;0;1;0,2243781
Orduspor vs. Eskisehirspor - Saturday August 25 - 2012,Eskisehirspor,hard,4-5-1,BOFFIN;DEDE;BAHTIYAROGLU;CETIN;SARI;KAMARA;GUCER;TELLO;POTUK;ZENGIN;NUHIU,25;4;2;76;88;15;50;14;6;10;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;1;0;1;1;0,0;0;1;0;1;0;0;0;1;1;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;0;0;1;0,2243784
Orduspor vs. Eskisehirspor - Saturday August 25 - 2012,Orduspor,hard,4-4-2,FORNEZZI;CALISKAN;GARCIA;CINAZ;GARCIA;MONJE;CAMDALI;COKMUS;UMBIDES;KABZE;BARRAL,32;11;14;6;15;26;8;85;22;10;23,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;1;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,2243784
Sivasspor vs. Mersin Idmanyurdu - Saturday August 25 - 2012,Mersin Idmanyurdu,hard,4-2-3-1,SEHIC;KECELI;BOUM;STEPANOV;YANIK;BAYRAKTAR;BEN YAHIA;CULIO;ERDOGAN;YATTARA;NOBRE,12;23;3;5;87;55;13;10;33;18;11,0;0;0;1;0;0;1;1;0;0;0,0;0;0;0;0;0;0;1;0;0;2,0;0;1;0;0;0;0;1;0;0;0,0;0;1;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,2243782
Sivasspor vs. Mersin Idmanyurdu - Saturday August 25 - 2012,Sivasspor,hard,4-2-3-1,CELIKAY;ERDAL;NAVRATIL;GUVEN;KAVUK;BEKMEZCI;KAYA;CHAHECHOUHE;KILIC;PEDRIEL;ENERAMO,1;5;21;44;67;8;20;92;11;7;14,0;0;0;0;0;0;0;1;0;0;2,0;0;0;0;0;0;0;1;1;0;1,0;0;0;0;1;1;1;0;0;0;0,0;0;0;0;1;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,2243782
Besiktas vs. Galatasaray - Sunday August 26 - 2012,Besiktas,easy,4-2-3-1,GONEN;BORAL;ESCUDE;SIVOK;HILBERT;TORAMAN;KAVLAK;SAHAN;FERNANDES;HOLOSKO;PEKTEMEK,1;25;14;6;13;5;8;10;4;37;11,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;0;0;1;1;1;0;0,0;0;0;0;0;1;0;1;0;0;0,0;0;0;0;0;1;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;1;1,2243783
Besiktas vs. Galatasaray - Sunday August 26 - 2012,Galatasaray,easy,4-4-2,MUSLERA;BALTA;KAYA;UJFALUSI;EBOUE;COLAK;INAN;FELIPE MELO;ALTINTOP;ELMANDER;BULUT,25;22;26;30;27;52;8;10;4;9;19,0;0;0;0;0;0;1;1;0;1;1,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,2243783
Bursaspor vs. Istanbul Buyuksehir Belediyespor - Sunday August 26 - 2012,Bursaspor,hard,4-4-2,CARSON;WEDERSON;ERDOGAN;OZTURK;CHRETIEN;KIRAZ;KOCAK;N'DIAYE;ODABASI;SESTAK;BANGURA,17;6;16;38;20;39;66;8;91;9;19,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,2243779
Bursaspor vs. Istanbul Buyuksehir Belediyespor - Sunday August 26 - 2012,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,EDUARDO;EKSIOGLU;DEPE;ARAT;GERALDES;HASPOLATLI;TEKDEMIR;VISCA;HOLMEN;TOM;WEBO,1;17;3;2;18;20;5;13;23;88;9,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;1;0;1,0;0;0;0;0;0;0;1;1;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,2243779
Trabzonspor vs. Elazigspor - Sunday August 26 - 2012,Elazigspor,hard,4-3-3,IVESA;ZEEGELAAR;FABIO BILICA;SPAHIJA;ALKASI;KAYALI;ERTUGRUL;BADUR;YEDEK;TUM;FAUBERT,1;90;58;27;22;23;20;26;11;18;81,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;0;0;0;0,0;0;0;1;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,2243776
Trabzonspor vs. Elazigspor - Sunday August 26 - 2012,Trabzonspor,easy,4-2-3-1,ZENGIN;CELUSTKA;BAMBA;YUMLU;BALCI;ZOKORA;AYDOGDU;HENRIQUE;ALANZINHO;OZTEKIN;VITTEK,29;28;6;22;30;15;14;12;25;11;7,0;0;0;0;0;0;0;1;0;0;1,0;1;0;0;0;0;0;0;1;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,2243776
Antalyaspor vs. Kayserispor - Monday August 27 - 2012,Antalyaspor,hard,4-2-3-1,NDJOCK;MINEV;BARIS;GUNGOR;ARSLAN;INCEMAN;AKIN;TITA;BASSAN;PROMISE;DIARRA,33;14;24;3;51;8;32;10;11;20;26,0;0;0;0;0;0;0;2;1;0;0,0;0;0;0;0;0;0;0;0;1;1,0;0;0;1;0;0;1;0;0;0;1,0;0;0;1;0;0;1;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;0;1,2243778
Antalyaspor vs. Kayserispor - Monday August 27 - 2012,Kayserispor,hard,4-2-3-1,TASKIRAN;FATHI;GUNGOR;ZURAB KHIZANISHVILI;DABANLI;RIVEROS;DURSUN;BAYRAM;CLEYTON;MOUCHE;BOBO,1;3;5;6;4;16;24;38;19;17;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;1;1;0;0;0;0,0;0;1;0;0;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;1;0;0,2243778
Genclerbirligi vs. Orduspor - Friday August 31 - 2012,Genclerbirligi,hard,4-2-3-1,KOSE;TOSIC;SEDEF;KULUSIC;KURTULUS;ILERI;PETROVIC;ZEC;DURMAZ;MERIC;EKIGHO,1;3;59;6;2;24;11;10;21;17;12,0;0;1;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;1,2244024
Genclerbirligi vs. Orduspor - Friday August 31 - 2012,Orduspor,hard,4-4-2,FORNEZZI;COKMUS;GARCIA;CAMDALI;GARCIA;MONJE;CINAZ;CALISKAN;YELKEN;STANCU;BARRAL,32;85;14;8;15;26;6;11;7;9;23,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;1;0;0,2244024
