game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Antalyaspor vs. Kayseri Erciyesspor - Friday August 16 - 2013,Antalyaspor,hard,4-2-3-1,ARIKAN;SEDEF;NIZAM;GUNGOR;ARSLAN;BALCI;INCEMAN;TITA;AISSATI;PROMISE;DIARRA,1;59;7;3;51;6;8;10;9;20;26,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;1;1,2346013
Antalyaspor vs. Kayseri Erciyesspor - Friday August 16 - 2013,Kayseri Erciyesspor,hard,4-2-3-1,JORGACEVIC;EKSIOGLU;KOCABAS;MANGANE;CAN;MANDJECK;ATAK;OKUMAK;AZOFEIFA;OZTEKIN;VLEMINCKX,70;34;4;5;40;14;7;27;10;9;18,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;0,2346013
Kardemir Karabukspor vs. Kasimpasa - Saturday August 17 - 2013,Kardemir Karabukspor,hard,4-4-2,WATERMAN;UCAR;MABIALA;PUYGRENIER;OZGENC;OZEK;SOW;OZMERT;PARLAK;UNAL;LUALUA,99;33;6;15;22;7;17;8;23;9;32,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;1;0;1;0;0;0,1;1;1;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;1;1,2346008
Kardemir Karabukspor vs. Kasimpasa - Saturday August 17 - 2013,Kasimpasa,hard,4-2-3-1,ISAKSSON;KAPLAN;AYHAN;DONK;SAM;SERAS;FRITZLER;HURMACI;SCARIONE;BABEL;BUYUK,15;5;2;6;67;20;33;18;11;8;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,2346008
Konyaspor vs. Fenerbahce - Saturday August 17 - 2013,Fenerbahce,easy,4-2-3-1,GUNOK;KALDIRIM;IRTEGUN;YOBO;TOPUZ;CRISTIAN;BELOZOGLU;SOW;POTUK;KUYT;EMENIKE,23;3;4;6;38;16;25;7;26;11;29,0;0;0;1;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;1;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;1;1;0,2346007
Konyaspor vs. Fenerbahce - Saturday August 17 - 2013,Konyaspor,hard,4-3-3,ITANDJE;BARDAKCI;AY;KOKALOVIC;TURAN;CAMDALI;BOREK;CAKMAK;KILICASLAN;THORVALDSSON;MARC KIBONG MBAMBA,28;3;5;44;38;8;32;87;11;23;20,0;0;0;0;0;1;1;0;0;0;0,0;0;0;0;1;0;0;0;1;1;0,0;0;0;0;1;0;0;0;0;0;0,0;1;0;0;0;0;0;1;0;0;1,2346007
Rizespor vs. Genclerbirligi - Saturday August 17 - 2013,Genclerbirligi,hard,4-2-3-1,KOSE;TOSIC;BAYRAK;KULUSIC;YANIK;GOSSO;KAYA;CELIK;DURMAZ;TOMIC;STANCU,1;3;61;6;2;19;20;11;21;7;28,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;2;1;1;1;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,2346011
Rizespor vs. Genclerbirligi - Saturday August 17 - 2013,Rizespor,hard,4-2-3-1,PAWELEK;ADNAN;OZMEN;VIERA;ALTINAY;SYLVESTRE;KARAKAS;KAYA;CERNAT;KOSE;KALU,81;53;5;3;4;14;66;7;10;88;15,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;1;0;1,2346011
Akhisar Belediyespor vs. Elazigspor - Sunday August 18 - 2013,Akhisar Belediyespor,hard,4-4-2,DAGLAROGLU;ATAN;DEMIROK;SONKO;EREN;VURAL;ALADAG;KISA;CEBE;NIASSE;BRUNO MEZENGA,18;4;15;5;34;22;8;10;20;19;80,0;0;1;0;0;0;0;0;0;1;1,0;0;1;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;1;0;0;1;0;1,2346009
Akhisar Belediyespor vs. Elazigspor - Sunday August 18 - 2013,Elazigspor,hard,4-2-3-1,IVESA;OZKAYA;FABIO BILICA;GORK;ALKASI;NAS;SANE;OZKAN;KALEMCI;GURLER;ALBERG,1;88;58;14;22;6;8;21;48;10;9,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;0;0;1,2346009
