game,team,difficulty,formation,lineup,lineup_numbers
Rizespor vs. Gaziantepspor - Sunday February 10 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;YURT;POLAT;PEREIRA;ANDRE SANTOS;TORAMAN;JULIO CESAR;MARANGOZ;ASLAN;SAHINTURK;TEKKE,48;38;27;44;15;19;99;6;7;10;61
Rizespor vs. Gaziantepspor - Sunday February 10 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DERELI;AVCI;ASIL;KAZMAZ;AYHAN;NAMLI;ALPUGAN;OZDEMIR;TETTEH;OZER,1;4;41;6;53;8;11;74;88;35;7
Samsunspor vs. Trabzonspor - Sunday February 10 - 2002,Samsunspor,hard,3-5-2,GENCER;BAIDOO;KOLOGLU;YELEK;SAGIR;SOUZA;DOKME;DURO;KORKMAZ;YILMAZ;KOCABEY,1;8;5;34;55;18;15;21;7;10;19
Samsunspor vs. Trabzonspor - Sunday February 10 - 2002,Trabzonspor,easy,3-5-2,AKTAS;DUYMUS;MARKOV;GUVEN;SOMERS;MEHMET AURELIO;OZGUR;UCUNCU;KARADENIZ;MANDIRALI;BIULA,1;49;55;3;8;15;11;67;61;10;17
Gaziantepspor vs. Diyarbakirspor - Friday February 15 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;ERDOGAN;ZAFER;DUMAN;KOCAK;KOLGU;BOLUKBASI;YUCETAS;DIDA;ULUSAL;DEBRAH,28;4;5;51;99;11;77;6;20;8;26
Gaziantepspor vs. Diyarbakirspor - Friday February 15 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;YURT;PEREIRA;ANDRE SANTOS;ROMASHCHENKO;TORAMAN;SAHINTURK;MARANGOZ;ASLAN;JULIO CESAR;VIOLA,48;38;44;15;22;19;10;6;7;99;21
Fenerbahce vs. Galatasaray - Saturday February 16 - 2002,Fenerbahce,easy,4-4-2,RECBER;ERCAN;OZAT;MIRKOVIC;AKYEL;RAPAIC;TEMIZKANOGLU;JOHNSON;REVIVO;ANDERSSON;AKIN,1;18;16;6;22;8;3;28;10;19;9
Fenerbahce vs. Galatasaray - Saturday February 16 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;CAPONE;SAS;AKIN;PENBE;BATISTA;KARAN;ERDEM,1;14;5;3;35;11;12;67;4;9;6
Genclerbirligi vs. Yimpas Yozgatspor - Saturday February 16 - 2002,Genclerbirligi,hard,3-5-2,NYS;EL SAKA;TOPRAKTEPE;DOGANTEZ;GULDUREN;MBAYO;GONDEN;AHMED HASSAN;KOC;AYDIN;YOULA,1;6;2;4;3;14;77;12;54;19;11
Genclerbirligi vs. Yimpas Yozgatspor - Saturday February 16 - 2002,Yimpas Yozgatspor,hard,3-5-2,TOKGOZ;BAYER;MARJAMAA;OZER;KARACA;HINCAL;SIMSEK;YAW;SANCARBARLAS;PREKO;SUMIALA,99;51;5;16;6;7;77;15;36;17;9
Malatyaspor vs. Denizlispor - Saturday February 16 - 2002,Denizlispor,hard,3-5-2,KUCUK;CIMEN;AKICI;ZAJAC;HIETANEN;ERTUGRUL;BILAZER;KARTOP;TANDOGAN;CIHAN;BIRDAL,1;3;4;16;2;55;10;6;22;50;11
Malatyaspor vs. Denizlispor - Saturday February 16 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;SEYHAN;ABAZI;MAPEZA;DEMIRCI;TURHAN;YILDIRIMKAYA;SAKIRI;BENSOL;ULUSOY;YAVAS,1;17;32;15;6;25;8;28;11;9;10
Samsunspor vs. Bursaspor - Saturday February 16 - 2002,Bursaspor,hard,4-4-2,KELEMEN;HACIOGLU;OZBEY;BOUAZIZI;KILIC;ATALAY;MOSHOEU;ER;APATAKI;ALKAN;YILMAZ,12;53;6;13;17;21;1;14;99;20;10
Samsunspor vs. Bursaspor - Saturday February 16 - 2002,Samsunspor,hard,3-5-2,GENCER;YELEK;HOCAOGLU;GUNGOR;SAGIR;NAS;SOUZA;DOKME;CAN;SAGLAM;DURO,1;34;4;13;55;24;18;15;99;6;21
Antalyaspor vs. Rizespor - Sunday February 17 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;YAVAS;SAATCIOGLU;GINCHEV;OZALP;GURSEL;OZDEMIR;YASAN;CAKIR;BIRLIK;AKYUZ,78;35;5;23;3;39;76;7;6;24;18
Antalyaspor vs. Rizespor - Sunday February 17 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DERELI;AVCI;ASIL;OZDEMIR;AYHAN;NAMLI;ALPUGAN;NAS;OZER;KAZMAZ,1;4;41;6;88;8;11;74;70;7;53
Besiktas vs. Ankaragucu - Sunday February 17 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;GUNEY;OZLEM;NAMDAR;TASDEMIR;DURSUN;KELES;AHINFUL,22;45;4;3;12;5;39;76;2;10;15
Besiktas vs. Ankaragucu - Sunday February 17 - 2002,Besiktas,easy,3-5-2,MYHRE;BESERLER;RONALDO GUIARO;YILDIRIM;UZULMEZ;BOZKURT;METIN;HAVUTCU;KHLESTOV;MANSIZ;DURSUN,1;25;5;4;19;14;20;3;16;26;10
Goztepe vs. Kocaelispor - Sunday February 17 - 2002,Goztepe,hard,3-5-2,MAJDAN;GUSAR;CETIN;SOZERI;KOCABICAK;MKHALELE;BOZACI;OZTURK;AKINCI;OZKAN;BIRYOL,33;41;36;27;16;85;53;54;34;11;15
Goztepe vs. Kocaelispor - Sunday February 17 - 2002,Kocaelispor,hard,3-5-2,MERT;ARSLANER;OZTONGA;SARMAN;ALEKSANDROV;HASPOLATLI;ABDELAZIZ;SEDIK;YIGIT;SAWIEH;LAZAROV,1;13;3;2;10;18;15;22;6;14;11
Trabzonspor vs. Istanbulspor - Sunday February 17 - 2002,Istanbulspor,hard,4-4-2,ZDRAVKOV;PETKOV;AKBAS;HUSEYINOGLU;YAGCIOGLU;ERDOGAN;KOCABAL;ONATLI;UCUNCU;YOZGATLI;ISLER,1;6;98;52;54;33;61;35;10;13;9
Trabzonspor vs. Istanbulspor - Sunday February 17 - 2002,Trabzonspor,easy,3-5-2,AKTAS;GUVEN;DUYMUS;MARKOV;SOMERS;UCUNCU;OZGUR;MEHMET AURELIO;JARRO;MANDIRALI;DEMIRAY,1;3;49;55;8;67;11;15;13;10;37
Kocaelispor vs. Besiktas - Friday February 22 - 2002,Besiktas,easy,4-2-3-1,MYHRE;YILDIRIM;RONALDO GUIARO;HAVUTCU;BESERLER;BAYA;BEKTAS;UZULMEZ;METIN;TUNA;MANSIZ,1;4;5;3;25;7;11;19;20;17;26
Kocaelispor vs. Besiktas - Friday February 22 - 2002,Kocaelispor,hard,4-4-2,MERT;COLAK;AK;SARMAN;ARSLANER;TOPRAKTEPE;HASPOLATLI;ABDELAZIZ;DABROWSKI;AYEW;ALEKSANDROV,1;5;8;2;13;41;18;15;7;9;10
Antalyaspor vs. Gaziantepspor - Saturday February 23 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;KAMBUROGLU;BULUT;OZALP;YASAN;CAKIR;GURSEL;BIRLIK;AKYUZ,78;23;5;74;17;3;7;6;39;24;18
Antalyaspor vs. Gaziantepspor - Saturday February 23 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;POLAT;PEREIRA;TORAMAN;ROMASHCHENKO;KOPRULU;MARANGOZ;ASLAN;ANDRE SANTOS;TEKKE;SAHINTURK,48;27;44;19;22;20;6;7;15;61;10
Galatasaray vs. Genclerbirligi - Saturday February 23 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;INCEEFE;FLEURQUIN;PEREZ;PENBE;AKIN;GOKTAN;KAYA;ERDEM;AYKUT,1;14;2;23;15;67;12;7;8;6;55
Galatasaray vs. Genclerbirligi - Saturday February 23 - 2002,Genclerbirligi,hard,4-4-2,NYS;GULDUREN;EL SAKA;TOPRAKTEPE;DOGANTEZ;AHMED HASSAN;ZDEBEL;SUMER;KOC;AYDIN;YOULA,1;3;6;2;4;12;8;5;54;19;11
Istanbulspor vs. Bursaspor - Saturday February 23 - 2002,Bursaspor,hard,3-5-2,KELEMEN;OZBEY;BOUAZIZI;KILIC;DAMLA;YESIL;MOSHOEU;ER;HACIOGLU;ALKAN;YILMAZ,12;6;13;17;3;29;1;14;53;20;10
Istanbulspor vs. Bursaspor - Saturday February 23 - 2002,Istanbulspor,hard,3-5-2,ZDRAVKOV;AYHAN;AKBAS;HUSEYINOGLU;PETKOV;SAHIN;ERDOGAN;SAIDOU;YOZGATLI;YANIK;ISLER,1;69;98;52;6;21;33;20;13;55;9
Samsunspor vs. Diyarbakirspor - Saturday February 23 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;ERDOGAN;ZAFER;DUMAN;KOCAK;BEYAZ;YUCETAS;BOLUKBASI;ALACAYIR;KONA;DEBRAH,28;4;5;51;99;27;6;77;7;24;26
Samsunspor vs. Diyarbakirspor - Saturday February 23 - 2002,Samsunspor,hard,3-5-2,BOUKAR;YELEK;HOCAOGLU;GUNGOR;SAGIR;SOUZA;CAN;PHIRI;DOKME;YILMAZ;SAGLAM,12;34;4;13;55;18;99;27;15;10;6
