game,team,difficulty,formation,lineup,lineup_numbers
Kocaelispor vs. Bursaspor - Sunday March 10 - 2002,Bursaspor,hard,3-5-2,KELEMEN;KILIC;BOUAZIZI;HACIOGLU;SEN;MOSHOEU;ER;ATALAY;DEMIR;YILMAZ;KUCUKVARDAR,12;17;13;53;11;1;14;21;8;10;9
Kocaelispor vs. Bursaspor - Sunday March 10 - 2002,Kocaelispor,hard,3-5-2,MERT;COLAK;AK;SARMAN;YIGIT;VERGUL;ALEKSANDROV;HASPOLATLI;DABROWSKI;AYEW;LAZAROV,1;5;8;2;6;33;10;18;7;9;11
Malatyaspor vs. Gaziantepspor - Sunday March 10 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;TORAMAN;PEREIRA;YURT;ROMASHCHENKO;ANDRE SANTOS;KOPRULU;MARANGOZ;ASLAN;JULIO CESAR;VIOLA,48;19;44;38;22;15;20;6;7;99;21
Malatyaspor vs. Gaziantepspor - Sunday March 10 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;SEYHAN;KORKMAZ;SAHIN;DEMIRCI;TURHAN;YILDIRIMKAYA;SAKIRI;AKSOY;ULUSOY;YAVAS,1;17;3;65;6;25;8;28;13;9;10
Besiktas vs. Denizlispor - Friday March 15 - 2002,Besiktas,easy,3-5-2,ASPER;GURACAR;RONALDO GUIARO;BESERLER;UZULMEZ;BAYA;HAVUTCU;METIN;TUNA;MANSIZ;DURSUN,33;18;5;25;19;7;3;20;17;26;10
Besiktas vs. Denizlispor - Friday March 15 - 2002,Denizlispor,hard,4-5-1,KUCUK;HIETANEN;AKICI;CIMEN;SERT;BAYAZIT;KAFKAS;KARTOP;BOYRAZ;TANDOGAN;CIHAN,1;2;4;3;54;7;19;6;44;22;50
Bursaspor vs. Yimpas Yozgatspor - Saturday March 16 - 2002,Bursaspor,hard,3-5-2,KULBILGE;KILIC;BOUAZIZI;HACIOGLU;SEN;MOSHOEU;ER;ATALAY;DEMIR;KUCUKVARDAR;YILMAZ,33;17;13;53;11;1;14;21;8;9;10
Bursaspor vs. Yimpas Yozgatspor - Saturday March 16 - 2002,Yimpas Yozgatspor,hard,3-5-2,TOKGOZ;ARSLAN;OZER;OZBAY;KARACA;OZER;KARAKAYIS;HINCAL;DALCICEK;PREKO;SUMIALA,99;4;16;2;6;56;59;7;66;17;9
Gaziantepspor vs. Istanbulspor - Saturday March 16 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;YURT;PEREIRA;ANDRE SANTOS;ROMASHCHENKO;TORAMAN;ASLAN;MARANGOZ;KOPRULU;VIOLA;SAHINTURK,48;38;44;15;22;19;7;6;20;21;10
Gaziantepspor vs. Istanbulspor - Saturday March 16 - 2002,Istanbulspor,hard,3-5-2,ZDRAVKOV;AKBAS;ONATLI;HUSEYINOGLU;PETKOV;SAHIN;ERDOGAN;SAIDOU;KOCABAL;YANIK;ISLER,1;98;35;52;6;21;33;20;61;55;9
Goztepe vs. Rizespor - Saturday March 16 - 2002,Goztepe,hard,3-5-2,MAJDAN;GUSAR;CETIN;SOZERI;ONUR;BOZACI;MKHALELE;YUNGUL;AKINCI;OZKAN;BIRYOL,33;41;36;27;46;53;85;8;34;11;15
Goztepe vs. Rizespor - Saturday March 16 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DIENG;DERELI;OZDEMIR;BILGE;ALPUGAN;AVCI;AYHAN;ASIL;OZER;KAZMAZ,1;14;4;88;33;74;41;8;6;7;53
Diyarbakirspor vs. Kocaelispor - Sunday March 17 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;MOURA;ERDOGAN;DEMIRHAN;KOCAK;DIDA;YUCETAS;KOLGU;BOLUKBASI;ULUSAL;KONA,28;33;4;29;99;20;6;11;77;8;24
Diyarbakirspor vs. Kocaelispor - Sunday March 17 - 2002,Kocaelispor,hard,3-5-2,SAHIN;COLAK;OZTONGA;SARMAN;ALEKSANDROV;ABDELAZIZ;VERGUL;HASPOLATLI;ARSLANER;DABROWSKI;LAZAROV,77;5;3;2;10;15;33;18;13;7;11
Fenerbahce vs. Malatyaspor - Sunday March 17 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;OZAT;MIRKOVIC;ERCAN;JOHNSON;RAPAIC;TEMIZKANOGLU;AKIN;DERELIOGLU;ANDERSSON,1;22;16;6;18;28;8;3;9;29;19
Fenerbahce vs. Malatyaspor - Sunday March 17 - 2002,Malatyaspor,hard,5-4-1,MILOSEVSKI;DEMIRCI;SEYHAN;KORKMAZ;KOC;SAHIN;SAKIRI;YILDIRIMKAYA;TURHAN;IPEK;ULUSOY,1;6;17;3;33;65;28;8;25;7;9
Genclerbirligi vs. Antalyaspor - Sunday March 17 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;KAMBUROGLU;GURSEL;CIMSIR;YAVAS;KARAMAN;YALCINKAYA;BIRLIK;YASAN,78;23;5;74;39;11;35;34;19;24;7
Genclerbirligi vs. Antalyaspor - Sunday March 17 - 2002,Genclerbirligi,hard,3-5-2,SONMEZ;EL SAKA;DOGANTEZ;TOPRAKTEPE;GULDUREN;AHMED HASSAN;DAEMS;ZDEBEL;BASTURK;AYDIN;MBAYO,22;6;4;2;3;12;20;8;10;19;14
Samsunspor vs. Ankaragucu - Sunday March 17 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;DURSUN;TASDEMIR;NAMDAR;GUNEY;KELES;KENNEDY;AHINFUL,22;45;4;3;2;76;39;12;10;18;15
Samsunspor vs. Ankaragucu - Sunday March 17 - 2002,Samsunspor,hard,3-5-2,BOUKAR;HOCAOGLU;KOLOGLU;YELEK;SAGIR;DURO;DOKME;SOUZA;CAN;YILMAZ;SAGLAM,12;4;5;34;55;21;15;18;99;10;6
Fenerbahce vs. Gaziantepspor - Friday March 22 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;OZAT;MIRKOVIC;ERCAN;JOHNSON;BAYRAKTAR;TEMIZKANOGLU;AKIN;ANDERSSON;REVIVO,1;22;16;6;18;28;7;3;9;19;10
Fenerbahce vs. Gaziantepspor - Friday March 22 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;POLAT;PEREIRA;TORAMAN;ROMASHCHENKO;ANDRE SANTOS;MARANGOZ;ASLAN;KOPRULU;SAHINTURK;JULIO CESAR,48;27;44;19;22;15;6;7;20;10;99
Denizlispor vs. Trabzonspor - Saturday March 23 - 2002,Denizlispor,hard,3-5-2,KUCUK;CIMEN;AKICI;SERT;BAYAZIT;KARTOP;BOYRAZ;KAHRAMAN;TANDOGAN;CIHAN;BIRDAL,1;3;4;54;7;6;44;5;22;50;11
Denizlispor vs. Trabzonspor - Saturday March 23 - 2002,Trabzonspor,easy,3-5-2,ATAMAN;DUYMUS;MARKOV;OZKOYLU;SOMERS;UCUNCU;KARADENIZ;MEHMET AURELIO;BECEREN;MANDIRALI;DEMIRAY,35;49;55;5;8;67;61;15;34;10;37
Galatasaray vs. Bursaspor - Saturday March 23 - 2002,Bursaspor,hard,4-2-3-1,KULBILGE;ATALAY;KILIC;BOUAZIZI;OZBEY;YESIL;ER;SEN;ALKAN;HACIOGLU;YILMAZ,33;21;17;13;6;29;14;11;20;53;10
Galatasaray vs. Bursaspor - Saturday March 23 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;CAPONE;PENBE;BATISTA;GOKTAN;SAS;ERDEM;AYKUT,1;14;5;3;35;67;4;7;11;6;55
Samsunspor vs. Kocaelispor - Saturday March 23 - 2002,Kocaelispor,hard,3-5-2,SAHIN;COLAK;AK;OZTONGA;ARSLANER;HASPOLATLI;VERGUL;ABDELAZIZ;DABROWSKI;ALEKSANDROV;LAZAROV,77;5;8;3;13;18;33;15;7;10;11
Samsunspor vs. Kocaelispor - Saturday March 23 - 2002,Samsunspor,hard,3-5-2,BOUKAR;YELEK;KOLOGLU;GUNGOR;ULUN;SOUZA;DOKME;DURO;CAN;YILMAZ;SAGIR,12;34;5;13;3;18;15;21;99;10;55
Yimpas Yozgatspor vs. Diyarbakirspor - Saturday March 23 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;ERDOGAN;KOLGU;DEMIRHAN;KOCAK;DUMAN;MOURA;DIDA;ALACAYIR;DEBRAH;KONA,28;4;11;29;99;51;33;20;7;26;24
Yimpas Yozgatspor vs. Diyarbakirspor - Saturday March 23 - 2002,Yimpas Yozgatspor,hard,3-5-2,DIALLO;ARSLAN;OZER;OZER;KARACA;KARAKAYIS;HAMZAOGLU;SIMSEK;SANCARBARLAS;NUHIJI;PREKO,1;4;16;56;6;59;8;77;36;11;17
Ankaragucu vs. Istanbulspor - Sunday March 24 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;OZSARAC;KUTLU;BARIS;DURSUN;TASDEMIR;NAMDAR;OZLEM;GUNEY;KELES;AHINFUL,22;3;4;45;2;76;39;5;12;10;15
Ankaragucu vs. Istanbulspor - Sunday March 24 - 2002,Istanbulspor,hard,3-5-2,ZDRAVKOV;AYHAN;AKBAS;HUSEYINOGLU;PETKOV;SAHIN;ONATLI;SAIDOU;ERDOGAN;YANIK;ISLER,1;69;98;52;6;21;35;20;33;55;9
Antalyaspor vs. Goztepe - Sunday March 24 - 2002,Antalyaspor,hard,3-5-2,UCAN;GINCHEV;SAATCIOGLU;KAMBUROGLU;GURSEL;CAKIR;YASAN;YAVAS;YALCINKAYA;BIRLIK;AKYUZ,30;23;5;74;39;6;7;35;19;24;18
Antalyaspor vs. Goztepe - Sunday March 24 - 2002,Goztepe,hard,3-5-2,MAJDAN;SOZERI;GUSAR;KOK;ONUR;BOZACI;MKHALELE;OZTURK;AKINCI;OZKAN;BIRYOL,33;27;41;19;46;53;85;54;34;11;15
Malatyaspor vs. Genclerbirligi - Sunday March 24 - 2002,Genclerbirligi,hard,3-5-2,NYS;SUMER;EL SAKA;TOPRAKTEPE;GULDUREN;AHMED HASSAN;BASTURK;ZDEBEL;DOGANTEZ;SALGIN;MBAYO,1;5;6;2;3;12;10;8;4;51;14
Malatyaspor vs. Genclerbirligi - Sunday March 24 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;KORKMAZ;ABAZI;SEYHAN;DEMIRCI;TURHAN;YILDIRIMKAYA;SAKIRI;SAHIN;ULUSOY;YAVAS,1;3;32;17;6;25;8;28;65;9;10
Rizespor vs. Besiktas - Sunday March 24 - 2002,Besiktas,easy,4-4-2,MYHRE;UZULMEZ;YILDIRIM;RONALDO GUIARO;BESERLER;BEKTAS;HAVUTCU;BAYA;TUNA;MANSIZ;DURSUN,1;19;4;5;25;11;3;7;17;26;10
Rizespor vs. Besiktas - Sunday March 24 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DIENG;AVCI;ASIL;KAZMAZ;ALPUGAN;NAS;NAMLI;OZDEMIR;OZER;TETTEH,1;14;41;6;53;74;70;11;88;7;35
Besiktas vs. Antalyaspor - Friday March 29 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;OZALP;GURSEL;CIMSIR;YASAN;KARAMAN;YALCINKAYA;BIRLIK;AKYUZ,78;23;5;3;39;11;7;34;19;24;18
Besiktas vs. Antalyaspor - Friday March 29 - 2002,Besiktas,easy,3-5-2,MYHRE;BESERLER;RONALDO GUIARO;YILDIRIM;UZULMEZ;HAVUTCU;BAYA;BOZKURT;TUNA;MANSIZ;DURSUN,1;25;5;4;19;3;7;14;17;26;10
Diyarbakirspor vs. Galatasaray - Saturday March 30 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;DEMIRHAN;KOLGU;ERDOGAN;KOCAK;DIDA;BOLUKBASI;YUCETAS;DUMAN;KONA;ULUSAL,28;29;11;4;99;20;77;6;51;24;8
Diyarbakirspor vs. Galatasaray - Saturday March 30 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;CAPONE;SAS;FLEURQUIN;KAYA;BATISTA;KARAN;ERDEM,1;14;5;3;35;11;23;8;4;9;6
Gaziantepspor vs. Ankaragucu - Saturday March 30 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;DURSUN;BARIS;OZSARAC;TURKMEHMET;OZLEM;AHINFUL;YILDIRIM;GUNEY;KENNEDY;KELES,22;2;45;3;20;5;15;36;12;18;10
Gaziantepspor vs. Ankaragucu - Saturday March 30 - 2002,Gaziantepspor,hard,3-5-2,CATKIC;TORAMAN;YURT;PEREIRA;ROMASHCHENKO;GUNES;ANDRE SANTOS;MARANGOZ;KOPRULU;JULIO CESAR;TEKKE,1;19;38;44;22;63;15;6;20;99;61
Istanbulspor vs. Kocaelispor - Saturday March 30 - 2002,Istanbulspor,hard,3-5-2,ZDRAVKOV;HUSEYINOGLU;GUR;ANDRE BORGES;PETKOV;SAHIN;ERDOGAN;KOCABAL;YOZGATLI;ZUBANOVIC;YANIK,1;52;45;2;6;21;33;61;13;7;55
Istanbulspor vs. Kocaelispor - Saturday March 30 - 2002,Kocaelispor,hard,3-5-2,SAHIN;COLAK;AK;SARMAN;ALEKSANDROV;ABDELAZIZ;VERGUL;HASPOLATLI;OZTONGA;DABROWSKI;LAZAROV,77;5;8;2;10;15;33;18;3;7;11
Trabzonspor vs. Rizespor - Saturday March 30 - 2002,Rizespor,hard,3-5-2,YIGITER;DIENG;AVCI;ASIL;KAZMAZ;ALPUGAN;NAMLI;NAS;OZDEMIR;OZER;TETTEH,21;14;41;6;53;74;11;70;88;7;35
Trabzonspor vs. Rizespor - Saturday March 30 - 2002,Trabzonspor,easy,3-5-2,AKTAS;DUYMUS;BECEREN;OZKOYLU;SOMERS;KAHRAMAN;UCUNCU;MEHMET AURELIO;KARADENIZ;MANDIRALI;BIULA,1;49;34;5;8;25;67;15;61;10;17
Bursaspor vs. Denizlispor - Sunday March 31 - 2002,Bursaspor,hard,4-4-2,KELEMEN;ATALAY;KILIC;BOUAZIZI;HACIOGLU;SEN;YESIL;ER;DEMIR;ALKAN;YILMAZ,12;21;17;13;53;11;29;14;8;20;10
Bursaspor vs. Denizlispor - Sunday March 31 - 2002,Denizlispor,hard,3-5-2,KUCUK;CIMEN;AKICI;SERT;BAYAZIT;KARTOP;KAHRAMAN;BOYRAZ;TANDOGAN;CIHAN;BIRDAL,1;3;4;54;7;6;5;44;22;50;11
Genclerbirligi vs. Fenerbahce - Sunday March 31 - 2002,Fenerbahce,easy,4-4-2,RECBER;ERCAN;OZAT;DOGAN;AKYEL;REVIVO;JOHNSON;TEMIZKANOGLU;BAYRAKTAR;ANDERSSON;AKIN,1;18;16;4;22;10;28;3;7;19;9
Genclerbirligi vs. Fenerbahce - Sunday March 31 - 2002,Genclerbirligi,hard,4-4-2,NYS;GULDUREN;EL SAKA;TOPRAKTEPE;DOGANTEZ;KOC;AHMED HASSAN;BASTURK;MBAYO;AYDIN;YOULA,1;3;6;2;4;54;12;10;14;19;11
Goztepe vs. Malatyaspor - Sunday March 31 - 2002,Goztepe,hard,3-5-2,MAJDAN;ARAYICI;BOZACI;CETIN;ONUR;YUNGUL;MKHALELE;OZTURK;AKINCI;MARTIN;OZKAN,33;99;53;36;46;8;85;54;34;28;11
Goztepe vs. Malatyaspor - Sunday March 31 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;KORKMAZ;ABAZI;SEYHAN;DEMIRCI;YILDIRIMKAYA;TURHAN;KOC;AKSOY;ULUSOY;SAKIRI,1;3;32;17;6;8;25;33;13;9;28
Samsunspor vs. Yimpas Yozgatspor - Sunday March 31 - 2002,Samsunspor,hard,3-5-2,BOUKAR;HOCAOGLU;KOLOGLU;YELEK;SAGIR;SOUZA;ULUN;DOKME;GUNGOR;SAGLAM;YILMAZ,12;4;5;34;55;18;3;15;13;6;10
Samsunspor vs. Yimpas Yozgatspor - Sunday March 31 - 2002,Yimpas Yozgatspor,hard,3-5-2,DIALLO;ARSLAN;OZER;HINCAL;SIMSEK;KARACA;OZER;HAMZAOGLU;SANCARBARLAS;PREKO;SUMIALA,1;4;16;7;77;6;56;8;36;17;9
Trabzonspor vs. Galatasaray - Wednesday April 3 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;CAPONE;SAS;KAYA;PENBE;BATISTA;KARAN;ERDEM,1;14;5;3;35;11;8;67;4;9;6
Trabzonspor vs. Galatasaray - Wednesday April 3 - 2002,Trabzonspor,easy,4-2-3-1,AKTAS;SOMERS;OZKOYLU;DUYMUS;BECEREN;UCUNCU;MEHMET AURELIO;KARADENIZ;BIULA;KAHRAMAN;MANDIRALI,1;8;5;49;34;67;15;61;17;25;10
Fenerbahce vs. Goztepe - Friday April 5 - 2002,Fenerbahce,easy,3-4-3,DAGLAROGLU;AKYEL;OZAT;MIRKOVIC;ERCAN;JOHNSON;TEMIZKANOGLU;BAYRAKTAR;REVIVO;ANDERSSON;AKIN,13;22;16;6;18;28;3;7;10;19;9
Fenerbahce vs. Goztepe - Friday April 5 - 2002,Goztepe,hard,3-5-2,MAJDAN;GUSAR;CETIN;SOZERI;ONUR;BOZACI;MKHALELE;YUNGUL;AKINCI;MARTIN;OZKAN,33;41;36;27;46;53;85;8;34;28;11
Denizlispor vs. Diyarbakirspor - Saturday April 6 - 2002,Denizlispor,hard,3-5-2,KUCUK;CIMEN;AKICI;ERTUGRUL;BAYAZIT;KARTOP;KAHRAMAN;BOYRAZ;TANDOGAN;CIHAN;BIRDAL,1;3;4;55;7;6;5;44;22;50;11
Denizlispor vs. Diyarbakirspor - Saturday April 6 - 2002,Diyarbakirspor,hard,4-4-2,KARAGOL;BOLUKBASI;DEMIRHAN;ERDOGAN;DUMAN;KOCAK;KOLGU;YUCETAS;DIDA;ULUSAL;KONA,28;77;29;4;51;99;11;6;20;8;24
Genclerbirligi vs. Gaziantepspor - Saturday April 6 - 2002,Gaziantepspor,hard,3-5-2,CATKIC;TORAMAN;POLAT;YURT;ROMASHCHENKO;ANDRE SANTOS;MARANGOZ;ASLAN;KOPRULU;GUNES;TEKKE,1;19;27;38;22;15;6;7;20;63;61
Genclerbirligi vs. Gaziantepspor - Saturday April 6 - 2002,Genclerbirligi,hard,4-4-2,NYS;DOGANTEZ;TOPRAKTEPE;EL SAKA;KOC;GULDUREN;AHMED HASSAN;BASTURK;TATLI;MBAYO;YOULA,1;4;2;6;54;3;12;10;28;14;11
Rizespor vs. Bursaspor - Saturday April 6 - 2002,Bursaspor,hard,4-4-2,KELEMEN;DAMLA;KILIC;BOUAZIZI;OZBEY;ATALAY;ER;SEVEN;SEN;TELLE;YILMAZ,12;3;17;13;6;21;14;4;11;18;10
Rizespor vs. Bursaspor - Saturday April 6 - 2002,Rizespor,hard,3-5-2,YIGITER;DIENG;AVCI;ASIL;OZDEMIR;ALNOUDJI;NAMLI;ALPUGAN;NAS;OZER;TETTEH,21;14;41;6;88;18;11;74;70;7;35
Antalyaspor vs. Trabzonspor - Sunday April 7 - 2002,Antalyaspor,hard,4-4-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;KAMBUROGLU;YALCINKAYA;BULUT;YAVAS;CIMSIR;GURSEL;BIRLIK;AKYUZ,78;23;5;74;19;17;35;11;39;24;18
Antalyaspor vs. Trabzonspor - Sunday April 7 - 2002,Trabzonspor,easy,3-5-2,AKTAS;GUVEN;KAHRAMAN;OZTURK;SOMERS;UCUNCU;KARADENIZ;MEHMET AURELIO;DEMIRAY;MANDIRALI;BIULA,1;3;25;4;8;67;61;15;37;10;17
Kocaelispor vs. Ankaragucu - Sunday April 7 - 2002,Ankaragucu,hard,3-5-2,DA SILVA;BARIS;KUTLU;OZSARAC;DURSUN;TASDEMIR;NAMDAR;OZLEM;GUNEY;KELES;AHINFUL,1;45;4;3;2;76;39;5;12;10;15
Kocaelispor vs. Ankaragucu - Sunday April 7 - 2002,Kocaelispor,hard,3-5-2,SAHIN;SARMAN;COLAK;OZTONGA;BARIS;VERGUL;ALEKSANDROV;ABDELAZIZ;ARSLANER;DABROWSKI;LAZAROV,77;2;5;3;17;33;10;15;13;7;11
Malatyaspor vs. Besiktas - Sunday April 7 - 2002,Besiktas,easy,3-5-2,MYHRE;GURACAR;RONALDO GUIARO;BESERLER;YILDIRIM;BAYA;HAVUTCU;METIN;KHLESTOV;STAVRUM;DURSUN,1;18;5;25;4;7;3;20;16;9;10
Malatyaspor vs. Besiktas - Sunday April 7 - 2002,Malatyaspor,hard,4-4-2,MILOSEVSKI;ABAZI;KORKMAZ;SEYHAN;SAHIN;SAKIRI;YILDIRIMKAYA;TURHAN;DEMIRCI;ULUSOY;YAVAS,1;32;3;17;65;28;8;25;6;9;10
Samsunspor vs. Galatasaray - Sunday April 7 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;CAPONE;PENBE;BATISTA;KAYA;SAS;KARAN;ERDEM,1;14;5;3;35;67;4;8;11;9;6
Samsunspor vs. Galatasaray - Sunday April 7 - 2002,Samsunspor,hard,3-5-2,BOUKAR;KARABABA;KOLOGLU;GUNGOR;BASTAN;SAGIR;SOUZA;DOKME;NAS;YILMAZ;ULUN,12;23;5;13;11;55;18;15;24;10;3
Yimpas Yozgatspor vs. Istanbulspor - Sunday April 7 - 2002,Istanbulspor,hard,4-4-2,ZDRAVKOV;PETKOV;AKBAS;HUSEYINOGLU;SAIDOU;ERDOGAN;SAHIN;ONATLI;YOZGATLI;ZUBANOVIC;YANIK,1;6;98;52;20;33;21;35;13;7;55
Yimpas Yozgatspor vs. Istanbulspor - Sunday April 7 - 2002,Yimpas Yozgatspor,hard,3-5-2,DIALLO;ARSLAN;OZER;OZER;KARACA;HINCAL;SIMSEK;HAMZAOGLU;SANCARBARLAS;PREKO;SUMIALA,1;4;16;56;6;7;77;8;36;17;9
Trabzonspor vs. Malatyaspor - Friday April 12 - 2002,Malatyaspor,hard,4-4-2,MILOSEVSKI;BENSOL;KORKMAZ;SEYHAN;SAHIN;SAKIRI;KOC;TURHAN;AKSOY;ULUSOY;YAVAS,1;11;3;17;65;28;33;25;13;9;10
Trabzonspor vs. Malatyaspor - Friday April 12 - 2002,Trabzonspor,easy,3-5-2,ATAMAN;DUYMUS;MARKOV;OZTURK;SOMERS;MEHMET AURELIO;VILLARS;OZGUR;KARADENIZ;MANDIRALI;BIULA,35;49;55;4;8;15;20;11;61;10;17
Ankaragucu vs. Yimpas Yozgatspor - Saturday April 13 - 2002,Ankaragucu,hard,3-5-2,DA SILVA;BARIS;KUTLU;OZSARAC;DURSUN;OZLEM;NAMDAR;TASDEMIR;GUNEY;KELES;AHINFUL,1;45;4;3;2;5;39;76;12;10;15
Ankaragucu vs. Yimpas Yozgatspor - Saturday April 13 - 2002,Yimpas Yozgatspor,hard,3-5-2,DIALLO;ARSLAN;OZER;OZER;SIMSEK;HINCAL;KARAKAYIS;HAMZAOGLU;SANCARBARLAS;PREKO;SUMIALA,1;4;16;56;77;7;59;8;36;17;9
Goztepe vs. Genclerbirligi - Saturday April 13 - 2002,Genclerbirligi,hard,3-5-2,NYS;GULDUREN;EL SAKA;TOPRAKTEPE;DAEMS;KOC;BASTURK;AHMED HASSAN;DOGANTEZ;AYDIN;YOULA,1;3;6;2;20;54;10;12;4;19;11
Goztepe vs. Genclerbirligi - Saturday April 13 - 2002,Goztepe,hard,3-5-2,MAJDAN;ARAYICI;MKHALELE;CETIN;ONUR;UYSAL;YUNGUL;OZTURK;AKINCI;OZKAN;BIRYOL,33;99;85;36;46;7;8;54;34;11;15
Istanbulspor vs. Galatasaray - Saturday April 13 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;INCEEFE;KORKMAZ;PEREZ;PENBE;FLEURQUIN;BATISTA;SAS;KARAN;ERDEM,1;14;2;3;15;67;23;4;11;9;6
Istanbulspor vs. Galatasaray - Saturday April 13 - 2002,Istanbulspor,hard,4-4-2,ZDRAVKOV;PETKOV;AKBAS;SAIDOU;ANDRE BORGES;ERDOGAN;SAHIN;KOCABAL;ONATLI;YANIK;ISLER,1;6;98;20;2;33;21;61;35;55;9
Samsunspor vs. Denizlispor - Saturday April 13 - 2002,Denizlispor,hard,3-5-2,KUCUK;ZAJAC;AKICI;ERTUGRUL;BAYAZIT;KARTOP;KAHRAMAN;BOYRAZ;TANDOGAN;CIHAN;BIRDAL,1;16;4;55;7;6;5;44;22;50;11
Samsunspor vs. Denizlispor - Saturday April 13 - 2002,Samsunspor,hard,3-5-2,BOUKAR;YELEK;KOLOGLU;GUNGOR;CAN;NAS;SAGIR;DOKME;KORKMAZ;YILMAZ;SAGLAM,12;34;5;13;99;24;55;15;7;10;6
Besiktas vs. Fenerbahce - Sunday April 14 - 2002,Besiktas,easy,4-4-2,MYHRE;UZULMEZ;RONALDO GUIARO;BESERLER;KHLESTOV;YILDIRIM;HAVUTCU;BAYA;METIN;MANSIZ;DURSUN,1;19;5;44;16;4;3;7;67;26;10
Besiktas vs. Fenerbahce - Sunday April 14 - 2002,Fenerbahce,easy,4-2-3-1,DAGLAROGLU;OZAT;TEMIZKANOGLU;MIRKOVIC;DOGAN;BAYRAKTAR;JOHNSON;ERIS;REVIVO;GUNES;AKIN,13;16;3;6;4;7;28;14;10;30;9
Bursaspor vs. Antalyaspor - Sunday April 14 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;YALCINKAYA;BULUT;CIMSIR;GURSEL;YAVAS;KARAMAN;AKYUZ;BIRLIK,78;23;5;19;17;11;39;35;34;18;24
Bursaspor vs. Antalyaspor - Sunday April 14 - 2002,Bursaspor,hard,4-4-2,KELEMEN;HACIOGLU;BOUAZIZI;ER;KILIC;YESIL;MOSHOEU;SEVEN;SEN;KUCUKVARDAR;YILMAZ,12;53;13;14;17;29;1;4;11;9;10
Diyarbakirspor vs. Rizespor - Sunday April 14 - 2002,Diyarbakirspor,hard,4-4-2,KARAGOL;DUMAN;ZAFER;ERDOGAN;ALACAYIR;KOCAK;KOLGU;YUCETAS;DIDA;ULUSAL;KONA,28;51;5;4;7;99;11;6;20;8;24
Diyarbakirspor vs. Rizespor - Sunday April 14 - 2002,Rizespor,hard,4-4-2,YIGITER;OZDEMIR;DERELI;DIENG;ASIL;BILGE;NAMLI;ALPUGAN;ASKAROGLU;TETTEH;KAZMAZ,21;88;4;14;6;33;11;74;43;35;53
Gaziantepspor vs. Kocaelispor - Sunday April 14 - 2002,Gaziantepspor,hard,3-5-2,CATKIC;TORAMAN;POLAT;YURT;ROMASHCHENKO;KOPRULU;MARANGOZ;ASLAN;ANDRE SANTOS;JULIO CESAR;TEKKE,1;19;27;38;22;20;6;7;15;99;61
Gaziantepspor vs. Kocaelispor - Sunday April 14 - 2002,Kocaelispor,hard,3-5-2,SAHIN;COLAK;OZTONGA;SARMAN;ALEKSANDROV;VERGUL;HASPOLATLI;ABDELAZIZ;ARSLANER;DABROWSKI;LAZAROV,77;5;3;2;10;33;18;15;13;7;11
Genclerbirligi vs. Besiktas - Saturday April 20 - 2002,Besiktas,easy,3-5-2,ASPER;GURACAR;RONALDO GUIARO;YILDIRIM;UZULMEZ;HAVUTCU;BAYA;BOZKURT;TUNA;ESER;METIN,33;18;5;4;19;3;7;14;17;15;20
Genclerbirligi vs. Besiktas - Saturday April 20 - 2002,Genclerbirligi,hard,3-5-2,SONMEZ;GULDUREN;EL SAKA;SUMER;DAEMS;ZDEBEL;AHMED HASSAN;BASTURK;KOC;AYDIN;YOULA,22;3;6;5;20;8;12;10;54;19;11
