game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Bucaspor vs. Besiktas - Saturday August 14 - 2010,Besiktas,easy,4-2-3-1,ARIKAN;UZULMEZ;FERRARI;ZAPOTOCNY;GUVEN;UYSAL;ERNST;QUARESMA;GUTI;KAHVECI;BOBO,21;19;27;30;44;18;28;7;14;8;13,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;1;1;0;0;0;0;1;0;0,0;0;1;1;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,1037692
Bucaspor vs. Besiktas - Saturday August 14 - 2010,Bucaspor,hard,4-5-1,FERNANDES;MULEMO;AK;BAHTIYAROGLU;LEKO;TASKIRAN;TUNCER;DAGASAN;BASDAG;AYDIN;AKTAS,13;5;6;3;7;21;77;8;61;7;54,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;2;1;0;0;0;0;1;0,0;1;0;1;1;0;0;0;0;1;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;1;1;0,1037692
Eskisehirspor vs. Genclerbirligi - Saturday August 14 - 2010,Eskisehirspor,hard,4-4-2,IVESA;YAMAN;COSKUN;NADAREVIC;ARSLAN;OZTURK;KAYA;PELE;ESER;JOHN;KARADENIZ,1;7;5;13;51;10;20;8;21;22;26,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;0;1;0;1;1;0,1037694
Eskisehirspor vs. Genclerbirligi - Saturday August 14 - 2010,Genclerbirligi,hard,4-2-3-1,KULBILGE;KALKAN;CURRI;KULUSIC;BOZ;CAN;CUBUKCU;DELIBALTA;HARBUZI;MERIC;ZEC,1;69;5;6;26;40;61;13;8;17;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,1037694
Gaziantepspor vs. Kasimpasa - Saturday August 14 - 2010,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;IVAN;AYHAN;GUNGOR;KURTULUS;OZGUR;JORGINHO;ZURITA;ADIN;YILMAZ;CESAR,1;6;2;4;16;19;11;8;29;10;99,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;1;0;0;0,0;0;0;1;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;0;1,1037693
Gaziantepspor vs. Kasimpasa - Saturday August 14 - 2010,Kasimpasa,hard,4-5-1,OZGEN;KAPLAN;LUIZ HENRIQUE;ONER;VARELA;AYGUNES;KELLER;KURTULUS;ACIL;DIMITROV;MARTIN,68;5;13;4;7;10;2;35;28;11;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;1,0;0;0;0;0;0;0;0;1;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;1,1037693
Sivasspor vs. Galatasaray - Saturday August 14 - 2010,Galatasaray,easy,4-3-3,ERCETIN;BALTA;CETIN;NEILL;TURAN;AKMAN;CANA;SARP;COLAK;KEWELL;TURAN,1;22;76;2;4;18;19;16;52;99;10,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;0;1,1037696
Sivasspor vs. Galatasaray - Saturday August 14 - 2010,Sivasspor,hard,4-5-1,RAMOVIC;YERLIKAYA;BAYRAK;IVANOVS;DERELI;YILMAZ;NAS;ERIS;BEKMEZCI;MBANANGOYE;YILDIZ,12;58;6;4;61;18;7;10;8;13;9,0;0;0;0;0;1;0;0;0;1;0,0;0;0;0;0;0;0;2;0;0;0,0;0;0;1;1;0;0;0;0;0;0,0;0;0;1;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,1037696
Ankaragucu vs. Trabzonspor - Sunday August 15 - 2010,Ankaragucu,hard,4-2-3-1,ONGUN;DURUER;RAJNOCH;TOSCALI;ZEWLAKOW;GUCER;KOCAK;SESTAK;SAPARA;VAROL;MEYE,41;18;17;25;14;50;66;9;27;19;21,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;1;1;0;0,1037691
Ankaragucu vs. Trabzonspor - Sunday August 15 - 2010,Trabzonspor,easy,4-3-3,KIVRAK;CALE;KORKMAZ;GLOWACKI;BALCI;INAN;GULSELAM;COLMAN;ALANZINHO;GUTIERREZ;YILMAZ,35;3;16;4;30;8;6;20;25;9;17,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;1;1;0;0;0,0;0;1;0;1;0;1;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;0;1,1037691
Fenerbahce vs. Antalyaspor - Sunday August 15 - 2010,Antalyaspor,hard,4-5-1,KESER;OZKAYNAK;RADELJIC;UZUMCU;SEKMAN;ATES;PROMENT;ARSLAN;BARIS;TITA;ZITOUNI,18;39;27;35;6;10;12;58;24;86;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;1;0;0;0,1037688
Fenerbahce vs. Antalyaspor - Sunday August 15 - 2010,Fenerbahce,easy,4-2-3-1,DEMIREL;SANTOS;FABIO BILICA;LUGANO;GONUL;CRISTIAN;BELOZOGLU;STOCH;ALEX;TOPUZ;SENTURK,1;27;58;2;77;16;5;11;10;38;23,0;0;0;0;1;0;0;0;1;0;2,0;0;0;0;0;0;0;0;1;2;1,0;0;0;0;0;0;0;0;0;0;0,,,1;0;0;0;0;0;0;0;1;1;0,1037688
Kardemir Dc Karabukspor vs. Manisaspor - Sunday August 15 - 2010,Kardemir Dc Karabukspor,hard,4-5-1,TOMIC;SERIC;COGUM;DEUMI;ZENGIN;CEYLAN;HIKMET;CERNAT;TOZO;AKIN;EMENIKE,19;20;6;12;11;81;5;10;34;7;78,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;2;0;0;0,0;0;1;0;0;0;0;0;1;0;0,0;0;1;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,1037689
Kardemir Dc Karabukspor vs. Manisaspor - Sunday August 15 - 2010,Manisaspor,hard,4-5-1,AVCIBAY;MOMHA;OZSARAC;TOK;BARIS;SIMPSON;INCEDEMIR;DICA;CALISKAN;EMRECIKSIN;KAHE,1;29;3;54;41;9;4;20;5;7;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;1;0;0;1;0;0,0;0;1;0;0;1;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,1037689
Bursaspor vs. Konyaspor - Monday August 16 - 2010,Bursaspor,hard,4-2-3-1,IVANKOV;WEDERSON;ERDOGAN;STEPANOV;TANDOGAN;CIMSIR;ERGIC;IPEK;NUNEZ;SEN;BAHADIR,27;3;4;55;21;5;25;20;29;10;22,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;1;0;0;1;0;0;0;0;0,0;0;1;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,1037695
