game,team,difficulty,formation,lineup
Trabzonspor vs. Istanbul Buyuksehir Belediyespor - Saturday September 17 - 2011,Trabzonspor,easy,4-2-3-1,ZENGIN;CECH;KACAR;YUMLU;BALCI;ZOKORA;COLMAN;HENRIQUE;MIERZEJEWSKI;SEN;VITTEK
Galatasaray vs. Samsunspor - Sunday September 18 - 2011,Galatasaray,easy,4-1-4-1,MUSLERA;BALTA;UJFALUSI;ZAN;EBOUE;FELIPE MELO;RIERA;INAN;SARIOGLU;KAZIM-RICHARDS;BAROS
Galatasaray vs. Samsunspor - Sunday September 18 - 2011,Samsunspor,hard,4-5-1,SAHIN;TEBER;ANDRE BAHIA;TOKAK;LAZAR;TEBER;SARP;DOMINGUEZ;FINK;EKIGHO;BANCE
Mersin Idmanyurdu vs. Bursaspor - Sunday September 18 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;AZIZ;OZTURK;CHRETIEN;KOCAK;N'DIAYE;IPEK;BATALLA;BAHADIR;BANGURA
Mersin Idmanyurdu vs. Bursaspor - Sunday September 18 - 2011,Mersin Idmanyurdu,hard,4-3-3,ARIKAN;KECELI;BOUM;KAS;GUVEN;BEN YAHIA;ANDRE MORITZ;ZURITA;KAMANAN;NOBRE;OZOKWO
Sivasspor vs. Eskisehirspor - Sunday September 18 - 2011,Eskisehirspor,hard,4-4-2,IVESA;DEDE;DIEGO ANGELO;COSKUN;ARSLAN;POTUK;PELE;SARI;ESER;YILDIZ;KAMARA
Sivasspor vs. Eskisehirspor - Sunday September 18 - 2011,Sivasspor,hard,4-5-1,BORJAN;YERLIKAYA;BOZ;NAVRATIL;KAVUK;KILIC;NAS;YILMAZ;KARAKAS;CERNY;ENERAMO
Besiktas vs. Ankaragucu - Monday September 19 - 2011,Ankaragucu,hard,4-5-1,ONGUN;UCAR;RAJNOCH;TOSCALI;VAROL;CEK;GUCER;GULDEN;KAGAN SOYLEMEZGILLER;WEEKS;SAHIN
Besiktas vs. Ankaragucu - Monday September 19 - 2011,Besiktas,easy,4-3-3,GONEN;KOYBASI;KORKMAZ;SIDNEI;DAG;FERNANDES;MEHMET AURELIO;UYSAL;SIMAO;EDU;QUARESMA
Fenerbahce vs. Manisaspor - Tuesday September 20 - 2011,Fenerbahce,easy,4-5-1,DEMIREL;ZIEGLER;FABIO BILICA;YOBO;IRTEGUN;ERKIN;CRISTIAN;ALEX;SAHIN;DIA;SENTURK
Fenerbahce vs. Manisaspor - Tuesday September 20 - 2011,Manisaspor,hard,4-1-4-1,AVCIBAY;KLUKOWSKI;AKAMINKO;TOK;BARIS;INCEDEMIR;SIMPSON;CALISKAN;ERDOGAN;GOKOGLAN;KAHE
Gaziantepspor vs. Kayserispor - Tuesday September 20 - 2011,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;CAN;NOUNKEU;SUME;KURTULUS;GULLE;BINYA;POPOV;WAGNER;SOSA;TOSUN
Gaziantepspor vs. Kayserispor - Tuesday September 20 - 2011,Kayserispor,hard,4-3-3,NAVARRO;KALDIRIM;GUNGOR;ZURAB KHIZANISHVILI;PEKARIK;SANTANA;BEKDEMIR;RIVEROS;AMRABAT;SISMANOGLU;YILMAZ
Istanbul Buyuksehir Belediyespor vs. Orduspor - Tuesday September 20 - 2011,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,HASAGIC;EKSIOGLU;ZAYATTE;ARAT;KUS;TEKDEMIR;YALCIN;DOKA MADUREIRA;HOLMEN;SOKULLU;WEBO
Istanbul Buyuksehir Belediyespor vs. Orduspor - Tuesday September 20 - 2011,Orduspor,hard,4-3-3,FORNEZZI;OZKAN;AYHAN;BAYRAK;GARCIA;GOSSO;CULIO;TUNCER;STANCU;TEKKE;DALMAT
Antalyaspor vs. Mersin Idmanyurdu - Wednesday September 21 - 2011,Antalyaspor,hard,4-3-3,CATKIC;MINEV;BARIS;TURAN;TANDOGAN;INCEMAN;AGCAY;SERAS;BOYRAZ;ATES;AYDIN
Antalyaspor vs. Mersin Idmanyurdu - Wednesday September 21 - 2011,Mersin Idmanyurdu,hard,4-4-2,ARIKAN;KECELI;BOUM;KAS;OZBAY;ANDRE MORITZ;BAYRAKTAR;ZURITA;OZOKWO;NOBRE;AMOAH
Eskisehirspor vs. Genclerbirligi - Wednesday September 21 - 2011,Eskisehirspor,hard,4-4-2,IVESA;DEDE;DIEGO ANGELO;COSKUN;ARSLAN;TELLO;SARI;POTUK;ESER;YILDIZ;KAMARA
Eskisehirspor vs. Genclerbirligi - Wednesday September 21 - 2011,Genclerbirligi,hard,4-3-3,KARABULUT;ILERI;DEMIR;OZSARAC;AKGUN;AZOFEIFA;CAN;HARBUZI;OZTEKIN;ZEC;MERIC
Kardemir Dc Karabukspor vs. Galatasaray - Wednesday September 21 - 2011,Galatasaray,easy,4-4-2,MUSLERA;BALTA;UJFALUSI;ZAN;EBOUE;RIERA;INAN;FELIPE MELO;KAZIM-RICHARDS;ELMANDER;YILDIRIM
Kardemir Dc Karabukspor vs. Galatasaray - Wednesday September 21 - 2011,Kardemir Dc Karabukspor,hard,4-2-3-1,TOMIC;TASKIRAN;NIKOLIC;DEUMI;OZGENC;RAGUED;HIKMET;SHELTON;CERNAT;CAKIR;PARLAK
Samsunspor vs. Trabzonspor - Wednesday September 21 - 2011,Samsunspor,hard,4-3-3,TASKIRAN;TEBER;ANDRE BAHIA;TOKAK;LAZAR;SARP;TEBER;FINK;DOMINGUEZ;BANCE;ZENKE
Samsunspor vs. Trabzonspor - Wednesday September 21 - 2011,Trabzonspor,easy,4-2-3-1,ZENGIN;CECH;GLOWACKI;KACAR;CELUSTKA;ZOKORA;COLMAN;ALTINTOP;MIERZEJEWSKI;BALCI;YILMAZ
