game,team,difficulty,formation,lineup
Besiktas vs. Antalyaspor - Saturday September 19 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;WELINTON;VIDA;UYSAL;HUTCHINSON;BOYD;MENSAH;TOKOZ;HASIC;LARIN
Denizlispor vs. Trabzonspor - Saturday September 19 - 2020,Denizlispor,hard,4-2-3-1,PANTILIMON;BERGDICH;YILMAZ;YUMLU;LOPES;BAKALORZ;MURAWSKI;SAGAL;AISSATI;NIYAZ;RODALLEGA
Denizlispor vs. Trabzonspor - Saturday September 19 - 2020,Trabzonspor,easy,3-5-2,CAKIR;CAMPI;TURKMEN;IE;DURSUN;PARMAK;OMUR;BAKER;ASAN;AFOBE;NWAKAEME
Genclerbirligi vs. Konyaspor - Saturday September 19 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;PEHLIVAN;DIEGO ANGELO;TOURE;JOHANSSON;PIRIS DA MOTTA;DIKMEN;CANDEIAS;YILMAZ;SIO;STANCU
Genclerbirligi vs. Konyaspor - Saturday September 19 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;ANICIC;DEMIROK;SKUBIC;HADZIAHMETOVIC;JEVTOVIC;SAHINER;MIYA;SHENGELIA;CIKALLESHI
Basaksehir vs. Galatasaray - Sunday September 20 - 2020,Basaksehir,hard,4-2-3-1,GUNOK;KALDIRIM;EPUREANU;SKRTEL;JUNIOR CAICARA;TEKDEMIR;ALEKSIC;KAHVECI;OZCAN;VISCA;BA
Basaksehir vs. Galatasaray - Sunday September 20 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;SARACCHI;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;TURAN;BELHANDA;KILINC;FEGHOULI;FALCAO
Buyuksehir Belediye Erzurumspor vs. Sivasspor - Sunday September 20 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,FARNOLLE;KANAK;HATIPOGLU;TEIKEU;ALKILIC;BOUMAL;NOVIKOVAS;OBERTAN;AKDAG;BASSAN;MUHAMMED
Buyuksehir Belediye Erzurumspor vs. Sivasspor - Sunday September 20 - 2020,Sivasspor,hard,4-2-3-1,SAMASSA;ERDAL;CAMARA;OSMANPASA;YESILYURT;ARSLAN;FAJR;NINGA;GRADEL;OZTEKIN;YATABARE
Gaziantep FK vs. Fatih Karagumruk - Sunday September 20 - 2020,Fatih Karagumruk,hard,4-2-3-1,OZER;ERDEM;ZUKANOVIC;ROCO;CIVELEK;BIGLIA;SABO;DARRI;ARVELADZE;NDAO;SOBIECH
Gaziantep FK vs. Fatih Karagumruk - Sunday September 20 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;KANA-BIYIK;DJILOBODJI;TOSCA;OLKOWSKI;MAXIM;JEFFERSON;VURAL;ANDRE FELIPE;OZER
Kasimpasa vs. Rizespor - Sunday September 20 - 2020,Kasimpasa,hard,4-2-3-1,KOSE;BRECKA;JEANVIER;SERBEST;PAVELKA;SADIKU;KARA;VARGA;HAJRADINOVIC;ERDOGAN;CARIUS
Kasimpasa vs. Rizespor - Sunday September 20 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;AY;MERIAH;MOROZYUK;FABRICIO BAIANO;VETRIH;SAMUDIO;FERNANDO BOLDRIN;TORUN;SKODA
Fenerbahce vs. Hatayspor - Monday September 21 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;LEMOS;ZANKA;GONUL;CIGERCI;LUIZ GUSTAVO;KADIOGLU;TUFAN;THIAM;VALENCIA
Fenerbahce vs. Hatayspor - Monday September 21 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;CAYTEMEL;SANTOS;ABDIOGLU;POPOV;SACKEY;AABID;RIBEIRO;KARADENIZ;ILGAZ;DIOUF
Fatih Karagumruk vs. Basaksehir - Friday September 25 - 2020,Basaksehir,hard,4-4-2,GUNOK;KALDIRIM;EPUREANU;PONCK;JUNIOR CAICARA;FREI;TEKDEMIR;KAHVECI;VISCA;BA;CRIVELLI
Fatih Karagumruk vs. Basaksehir - Friday September 25 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ZUKANOVIC;ROCO;LICHAJ;BIGLIA;DARRI;NDAO;SABO;CIVELEK;ERDINC
Goztepe vs. Gaziantep FK - Saturday September 26 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;KANA-BIYIK;DJILOBODJI;TOSCA;OLKOWSKI;MAXIM;JEFFERSON;VURAL;DEMIR;ANDRE FELIPE
Goztepe vs. Gaziantep FK - Saturday September 26 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;NUKAN;OZTURK;PALULI;KAYAN;AYDOGDU;TRIPIC;MARCIO MOSSORO;AKBUNAR;IDEYE
Hatayspor vs. Kasimpasa - Saturday September 26 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;CAYTEMEL;SANTOS;ABDIOGLU;POPOV;AABID;TRAORE;BARBOSA;KARADENIZ;ILGAZ;DIOUF
Hatayspor vs. Kasimpasa - Saturday September 26 - 2020,Kasimpasa,hard,4-1-4-1,KOSE;ERDOGAN;BRECKA;SERBEST;HADERGJONAJ;SADIKU;VARGA;KARA;PAVELKA;HAJRADINOVIC;CARIUS
Kayserispor vs. Buyuksehir Belediye Erzurumspor - Saturday September 26 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,FARNOLLE;KANAK;HATIPOGLU;MINA;UCAR;BOUMAL;NOVIKOVAS;OBERTAN;AKDAG;BASSAN;MUHAMMED
Kayserispor vs. Buyuksehir Belediye Erzurumspor - Saturday September 26 - 2020,Kayserispor,hard,4-4-2,SILVIU LUNG JR;SUBASI;KOLOVETSIOS;ATTAMAH;LOPES;CELIK;CAMPANHARO;ACAR;LENNON;KANGA;PARLAK
Trabzonspor vs. Yeni Malatyaspor - Saturday September 26 - 2020,Trabzonspor,easy,4-1-4-1,CAKIR;MARLON;IE;TURKMEN;ASAN;PARMAK;NWAKAEME;BAKER;FLAVIO;OMUR;AFOBE
