game,team,difficulty,formation,lineup
Alanyaspor vs. Fatih Karagumruk - Sunday October 25 - 2020,Fatih Karagumruk,hard,4-2-3-1,VIVIANO;BALKOVEC;ZUKANOVIC;ROCO;LICHAJ;BIGLIA;NDIAYE;DARRI;NDAO;SALIBUR;SOBIECH
Fenerbahce vs. Trabzonspor - Sunday October 25 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;LEMOS;GONUL;SOSA;LUIZ GUSTAVO;PELKAS;TUFAN;VALENCIA;SAMATTA
Fenerbahce vs. Trabzonspor - Sunday October 25 - 2020,Trabzonspor,easy,4-1-4-1,CAKIR;MARLON;VITOR HUGO;IE;ASAN;COREKCI;NWAKAEME;BAKER;FLAVIO;OMUR;AFOBE
Yeni Malatyaspor vs. Genclerbirligi - Sunday October 25 - 2020,Genclerbirligi,hard,5-4-1,NORDFELDT;POLOMAT;KIZILDAG;TOURE;DIEGO ANGELO;JOHANSSON;YILDIRIM;OZDEMIR;PIRIS DA MOTTA;CANDEIAS;STANCU
Yeni Malatyaspor vs. Genclerbirligi - Sunday October 25 - 2020,Yeni Malatyaspor,hard,4-2-3-1,DAMLU;KAS;KAYA;WALLACE;YAVRU;ILDIZ;ACQUAH;KARIM HAFEZ;CUEVA;KANATSIZKUS;TETTEH
Denizlispor vs. Besiktas - Monday October 26 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;VIDA;WELINTON;ROSIER;SOUZA;LARIN;TOKOZ;HUTCHINSON;GHEZZAL;ABOUBAKAR
Denizlispor vs. Besiktas - Monday October 26 - 2020,Denizlispor,hard,4-1-4-1,PANTILIMON;LOPES;YUMLU;SUBOTIC;OZDEMIR;BAKALORZ;SAGAL;VARELA;NIYAZ;MESANOVIC;RODALLEGA
Sivasspor vs. Rizespor - Monday October 26 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;DURAK;DONSAH;SAMUDIO;FERNANDO BOLDRIN;FABRICIO BAIANO;REMY
Sivasspor vs. Rizespor - Monday October 26 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;ERDAL;OSMANPASA;YALCIN;YARDIMCI;COFIE;GRADEL;FAJR;ARSLAN;YATABARE;KAYODE
Fatih Karagumruk vs. Buyuksehir Belediye Erzurumspor - Friday October 30 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,FARNOLLE;SCHWECHLEN;TEIKEU;MINA;ALKILIC;DONALD;HAMROUN;OBERTAN;AKDAG;BASSAN;GOMES
Fatih Karagumruk vs. Buyuksehir Belediye Erzurumspor - Friday October 30 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ZUKANOVIC;ROCO;LICHAJ;BIGLIA;CHAHECHOUHE;SABO;NDIAYE;NDAO;SOBIECH
Trabzonspor vs. Kasimpasa - Friday October 30 - 2020,Kasimpasa,hard,4-1-4-1,KOSE;HADDADI;SERBEST;SADIKU;HADERGJONAJ;TIRPAN;VARGA;KARA;HAJRADINOVIC;ERDOGAN;HODZIC
Trabzonspor vs. Kasimpasa - Friday October 30 - 2020,Trabzonspor,easy,4-1-4-1,CAKIR;MARLON;VITOR HUGO;IE;ASAN;BAKER;NWAKAEME;FLAVIO;COREKCI;OMUR;AFOBE
Galatasaray vs. Ankaragucu - Saturday October 31 - 2020,Ankaragucu,hard,4-4-2,FRIEDRICH;TURAN;DIKMEN;PAZDAN;SARLIJA;BOLINGI;CANKAYA;DIOUSSE;LOBJANIDZE;BØRVEN;GURAL
Galatasaray vs. Ankaragucu - Saturday October 31 - 2020,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;BABEL;ETEBO;BAYRAM;KILINC;DIAGNE
Genclerbirligi vs. Gaziantep FK - Saturday October 31 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;DJILOBODJI;KANA-BIYIK;TOSCA;CEYLAN;MIRALLAS;SOUSA;MAXIM;DICKO;DEMIR
Genclerbirligi vs. Gaziantep FK - Saturday October 31 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;JOHANSSON;PIRIS DA MOTTA;YILDIRIM;YILMAZ;FURMAN;CANDEIAS;KARAKAS
Besiktas vs. Yeni Malatyaspor - Sunday November 1 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;VIDA;WELINTON;ROSIER;HUTCHINSON;LARIN;OZYAKUP;TOKOZ;GHEZZAL;ABOUBAKAR
Besiktas vs. Yeni Malatyaspor - Sunday November 1 - 2020,Yeni Malatyaspor,hard,4-1-4-1,DAMLU;KARIM HAFEZ;KAYA;WALLACE;YAVRU;NDAYISHIMIYE;CUEVA;ACQUAH;ILDIZ;KANATSIZKUS;TETTEH
Konyaspor vs. Basaksehir - Sunday November 1 - 2020,Basaksehir,hard,4-1-4-1,GUNOK;BOLINGOLI;PONCK;SKRTEL;RAFAEL;OZCAN;TURUC;KAHVECI;ALEKSIC;VISCA;CRIVELLI
Konyaspor vs. Basaksehir - Sunday November 1 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;DEMIRBAG;SKUBIC;JEVTOVIC;GUCTEKIN;ULUDAG;MIYA;SHENGELIA;KRAVETS
Rizespor vs. Kayserispor - Sunday November 1 - 2020,Kayserispor,hard,4-2-3-1,SILVIU LUNG JR;BEHICH;KOLOVETSIOS;LOPES;KVRZIC;CAMPANHARO;ACAR;PEDRO HENRIQUE;FERNANDES;LENNON;KANGA
Rizespor vs. Kayserispor - Sunday November 1 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;DURAK;DONSAH;SAMUDIO;FERNANDO BOLDRIN;FABRICIO BAIANO;REMY
Antalyaspor vs. Fenerbahce - Monday November 2 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;KUDRYASHOV;NALDO;SARI;YILMAZ;ORGILL;BALCI;SAHIN;BAYRAKDAR;JAHOVIC;PODOLSKI
Antalyaspor vs. Fenerbahce - Monday November 2 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;AZIZ;GONUL;SOSA;LUIZ GUSTAVO;PELKAS;TUFAN;VALENCIA;SAMATTA
Hatayspor vs. Sivasspor - Monday November 2 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;CAYTEMEL;SANTOS;BILLONG;POPOV;RIBEIRO;AABID;AKINTOLA;KARADENIZ;ILGAZ;DIOUF
Hatayspor vs. Sivasspor - Monday November 2 - 2020,Sivasspor,hard,4-3-3,SAMASSA;CIFTCI;CAMARA;OSMANPASA;YARDIMCI;FAJR;COFIE;ARSLAN;GRADEL;KAYODE;YATABARE
Gaziantep FK vs. Besiktas - Friday November 6 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;VIDA;WELINTON;ROSIER;TOKOZ;LARIN;OZYAKUP;HUTCHINSON;GHEZZAL;ABOUBAKAR
Gaziantep FK vs. Besiktas - Friday November 6 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;OLKOWSKI;DJILOBODJI;KANA-BIYIK;TOSCA;CEYLAN;MIRALLAS;VETRIH;MAXIM;DEMIR;DICKO
Alanyaspor vs. Trabzonspor - Saturday November 7 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;DAVIDSON;BAREIRO;KARACA
Alanyaspor vs. Trabzonspor - Saturday November 7 - 2020,Trabzonspor,easy,4-1-4-1,CAKIR;COREKCI;VITOR HUGO;IE;ASAN;PARMAK;EKUBAN;FLAVIO;PEREIRA;OMUR;DJANINY
Buyuksehir Belediye Erzurumspor vs. Goztepe - Saturday November 7 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-3-3,FARNOLLE;ALBAYRAK;HATIPOGLU;MINA;UCAR;AKDAG;BOUMAL;SISSOKO;BASSAN;GOMES;NOVIKOVAS
Buyuksehir Belediye Erzurumspor vs. Goztepe - Saturday November 7 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;BUREKOVIC;NUKAN;MIHOJEVIC;GASSAMA;SONMEZ;AYDOGDU;TRIPIC;GUILHERME;AKBUNAR;NDIAYE
Fenerbahce vs. Konyaspor - Saturday November 7 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;AZIZ;GONUL;TUFAN;LUIZ GUSTAVO;THIAM;PELKAS;VALENCIA;SAMATTA
Fenerbahce vs. Konyaspor - Saturday November 7 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;DEMIRBAG;SKUBIC;GUCTEKIN;JEVTOVIC;MIYA;MILOSEVIC;CIKALLESHI;KRAVETS
Kasimpasa vs. Antalyaspor - Saturday November 7 - 2020,Antalyaspor,hard,4-2-3-1,BOFFIN;KUDRYASHOV;NALDO;SARI;YILMAZ;BALCI;SAHIN;ORGILL;FREDY;SAM;PODOLSKI
Kasimpasa vs. Antalyaspor - Saturday November 7 - 2020,Kasimpasa,hard,4-1-4-1,KOSE;HADDADI;SERBEST;SADIKU;HADERGJONAJ;TIRPAN;HODZIC;KARA;HAJRADINOVIC;ERDOGAN;KOITA
Ankaragucu vs. Fatih Karagumruk - Sunday November 8 - 2020,Ankaragucu,hard,4-4-2,FRIEDRICH;TURAN;DIKMEN;PAZDAN;SARLIJA;ADZIC;CANKAYA;DIOUSSE;LOBJANIDZE;BØRVEN;BOLINGI
Ankaragucu vs. Fatih Karagumruk - Sunday November 8 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ZUKANOVIC;ROCO;LICHAJ;BIGLIA;CHAHECHOUHE;SABO;NDIAYE;NDAO;SOBIECH
Basaksehir vs. Genclerbirligi - Sunday November 8 - 2020,Basaksehir,hard,4-1-4-1,GUNOK;BOLINGOLI;EPUREANU;PONCK;RAFAEL;OZCAN;TURUC;KAHVECI;ALEKSIC;VISCA;BA
Basaksehir vs. Genclerbirligi - Sunday November 8 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;JOHANSSON;OZDEMIR;PIRIS DA MOTTA;YILMAZ;YILDIRIM;CANDEIAS;AYITE
Kayserispor vs. Hatayspor - Sunday November 8 - 2020,Hatayspor,hard,4-1-4-1,EL KAJOUI;CAYTEMEL;SANTOS;BILLONG;POPOV;SACKEY;AKINTOLA;AABID;TRAORE;ILGAZ;DIOUF
Kayserispor vs. Hatayspor - Sunday November 8 - 2020,Kayserispor,hard,4-2-3-1,SILVIU LUNG JR;BEHICH;SAPUNARU;KOLOVETSIOS;LOPES;CAMPANHARO;ACAR;PEDRO HENRIQUE;FERNANDES;KVRZIC;ALIBEC
Sivasspor vs. Galatasaray - Sunday November 8 - 2020,Galatasaray,easy,4-1-4-1,KOCUK;TASDEMIR;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;TURAN;BELHANDA;KILINC;FEGHOULI;BABEL
Sivasspor vs. Galatasaray - Sunday November 8 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;CAMARA;OSMANPASA;MARCELO GOIANO;YALCIN;GRADEL;ARSLAN;FAJR;YATABARE;KAYODE
Yeni Malatyaspor vs. Denizlispor - Sunday November 8 - 2020,Denizlispor,hard,3-5-2,PANTILIMON;SUBOTIC;FABIANO;YILMAZ;SAGAL;AISSATI;NIYAZ;BAKALORZ;LOPES;MESANOVIC;RODALLEGA
Yeni Malatyaspor vs. Denizlispor - Sunday November 8 - 2020,Yeni Malatyaspor,hard,4-3-3,DAMLU;KARIM HAFEZ;HADEBE;KAYA;YAVRU;BUYUK;ACQUAH;CUEVA;KANATSIZKUS;TETTEH;LUKOKI
Besiktas vs. Basaksehir - Saturday November 21 - 2020,Basaksehir,hard,4-1-4-1,BABACAN;BOLINGOLI;EPUREANU;SKRTEL;RAFAEL;TOPAL;TURUC;OZCAN;KAHVECI;VISCA;BA
Besiktas vs. Basaksehir - Saturday November 21 - 2020,Besiktas,easy,4-1-4-1,YUVAKURAN;YILMAZ;MONTERO;UYSAL;TOKOZ;SOUZA;LARIN;MENSAH;HUTCHINSON;GHEZZAL;ABOUBAKAR
Denizlispor vs. Gaziantep FK - Saturday November 21 - 2020,Denizlispor,hard,4-2-3-1,PANTILIMON;BERGDICH;YILMAZ;FABIANO;LOPES;BAKALORZ;MURAWSKI;SAGAL;AISSATI;SACKO;RODALLEGA
Denizlispor vs. Gaziantep FK - Saturday November 21 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;OLKOWSKI;DJILOBODJI;TOSCA;KANA-BIYIK;CEYLAN;MIRALLAS;VETRIH;MAXIM;DEMIR;OZER
Fatih Karagumruk vs. Sivasspor - Saturday November 21 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;KURUCUK;ALTINAY;LICHAJ;BIGLIA;CHAHECHOUHE;SABO;DURMAZ;NDAO;SOBIECH
Fatih Karagumruk vs. Sivasspor - Saturday November 21 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;CAMARA;OSMANPASA;MARCELO GOIANO;COFIE;GRADEL;CLAUDEMIR;YALCIN;OZTEKIN;KONE
Genclerbirligi vs. Fenerbahce - Saturday November 21 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;NOVAK;TISSERAND;AZIZ;LEMOS;SOSA;LUIZ GUSTAVO;PEROTTI;YANDAS;PELKAS;CISSE
Genclerbirligi vs. Fenerbahce - Saturday November 21 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;PEHLIVAN;PIRIS DA MOTTA;OZDEMIR;AYITE;FURMAN;CANDEIAS;SIO
Antalyaspor vs. Alanyaspor - Sunday November 22 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;DAVIDSON;BABACAR;KARACA
Antalyaspor vs. Alanyaspor - Sunday November 22 - 2020,Antalyaspor,hard,4-4-2,KAPLAN;KUDRYASHOV;NALDO;SARI;YILMAZ;AMILTON;OZMERT;SAHIN;SAM;BAYRAKDAR;PODOLSKI
Goztepe vs. Ankaragucu - Sunday November 22 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;TURAN;PAZDAN;SARLIJA;KITSIOU;LUKASIK;CANKAYA;PAINTSIL;CEKICI;LOBJANIDZE;BOLINGI
Goztepe vs. Ankaragucu - Sunday November 22 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;TITI;MIHOJEVIC;PALULI;KAYAN;AYDOGDU;TRIPIC;GUILHERME;AKBUNAR;NDIAYE
Hatayspor vs. Rizespor - Sunday November 22 - 2020,Hatayspor,hard,4-1-4-1,EL KAJOUI;CAYTEMEL;SANTOS;ABDIOGLU;CAMOGLU;SACKEY;AKINTOLA;AABID;TRAORE;ILGAZ;DIOUF
Hatayspor vs. Rizespor - Sunday November 22 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;DURAK;DONSAH;BULUT;FERNANDO BOLDRIN;FABRICIO BAIANO;SKODA
Konyaspor vs. Kasimpasa - Sunday November 22 - 2020,Kasimpasa,hard,4-1-4-1,KOSE;HADDADI;BRECKA;SADIKU;OGUZ;HADERGJONAJ;KOC;KARA;TIRPAN;VARGA;CARIUS
Konyaspor vs. Kasimpasa - Sunday November 22 - 2020,Konyaspor,hard,4-2-3-1,BIRNICAN;GUILHERME;BARDAKCI;DEMIRBAG;SKUBIC;JEVTOVIC;ULUDAG;MIYA;MILOSEVIC;CIKALLESHI;KRAVETS
Trabzonspor vs. Buyuksehir Belediye Erzurumspor - Sunday November 22 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-2-3-1,ERDOGAN;KANAK;KARDES;MINA;UCAR;DONALD;OBERTAN;NOVIKOVAS;SISSOKO;MUHAMMED;GOMES
Trabzonspor vs. Buyuksehir Belediye Erzurumspor - Sunday November 22 - 2020,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;VITOR HUGO;IE;PEREIRA;BAKER;PARMAK;NWAKAEME;EKUBAN;OMUR;AFOBE
Galatasaray vs. Kayserispor - Monday November 23 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;SARACCHI;MARCAO;DONK;LINNES;ANTALYALI;AKBABA;FEGHOULI;KILINC;CAGLAYAN;DIAGNE
Galatasaray vs. Kayserispor - Monday November 23 - 2020,Kayserispor,hard,4-2-3-1,SILVIU LUNG JR;SUBASI;KOLOVETSIOS;SAPUNARU;KVRZIC;CAMPANHARO;ATTAMAH;CELIK;FERNANDES;LENNON;ALIBEC
Ankaragucu vs. Trabzonspor - Friday November 27 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;PINTO;PAZDAN;SARLIJA;KITSIOU;VOCA;CANKAYA;LOBJANIDZE;POTUK;CINAR;BØRVEN
Ankaragucu vs. Trabzonspor - Friday November 27 - 2020,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;VITOR HUGO;IE;PEREIRA;PARMAK;BAKER;NWAKAEME;OMUR;EKUBAN;AFOBE
Basaksehir vs. Denizlispor - Saturday November 28 - 2020,Basaksehir,hard,4-4-2,BABACAN;TURUC;PONCK;SKRTEL;RAFAEL;CHADLI;TEKDEMIR;KAHVECI;VISCA;BA;GULBRANDSEN
Basaksehir vs. Denizlispor - Saturday November 28 - 2020,Denizlispor,hard,4-2-3-1,PANTILIMON;LOPES;YUMLU;YILMAZ;OZDEMIR;MURAWSKI;BAKALORZ;SAGAL;AISSATI;SACKO;RODALLEGA
Gaziantep FK vs. Yeni Malatyaspor - Saturday November 28 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;OLKOWSKI;DJILOBODJI;KANA-BIYIK;TOSCA;CEYLAN;MIRALLAS;SOUSA;MAXIM;DEMIR;OZER
Gaziantep FK vs. Yeni Malatyaspor - Saturday November 28 - 2020,Yeni Malatyaspor,hard,4-2-3-1,DAMLU;KARIM HAFEZ;KAYA;WALLACE;CHEBAKE;ACQUAH;NDAYISHIMIYE;KANATSIZKUS;BUYUK;TETTEH;BULUT
Rizespor vs. Galatasaray - Saturday November 28 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;TASDEMIR;MARCAO;DONK;LINNES;ANTALYALI;AKBABA;FEGHOULI;KILINC;CAGLAYAN;DIAGNE
Rizespor vs. Galatasaray - Saturday November 28 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;DURAK;DONSAH;SAMUDIO;FERNANDO BOLDRIN;FABRICIO BAIANO;SKODA
Alanyaspor vs. Konyaspor - Sunday November 29 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;DAVIDSON;BABACAR;KARACA
Alanyaspor vs. Konyaspor - Sunday November 29 - 2020,Konyaspor,hard,4-2-3-1,BIRNICAN;ULUDAG;BARDAKCI;DEMIRBAG;SKUBIC;JEVTOVIC;HADZIAHMETOVIC;GUILHERME;MILOSEVIC;CIKALLESHI;KRAVETS
Buyuksehir Belediye Erzurumspor vs. Antalyaspor - Sunday November 29 - 2020,Antalyaspor,hard,4-4-2,KAPLAN;KUDRYASHOV;GULUM;NALDO;SARI;AMILTON;AKYOL;SAHIN;FREDY;JAHOVIC;PODOLSKI
Buyuksehir Belediye Erzurumspor vs. Antalyaspor - Sunday November 29 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-2-3-1,ERDOGAN;KANAK;KARDES;MINA;UCAR;DONALD;OBERTAN;NOVIKOVAS;SISSOKO;MUHAMMED;GOMES
Fenerbahce vs. Besiktas - Sunday November 29 - 2020,Besiktas,easy,4-1-4-1,YUVAKURAN;YILMAZ;MONTERO;UYSAL;ROSIER;SOUZA;LARIN;MENSAH;HUTCHINSON;GHEZZAL;ABOUBAKAR
Fenerbahce vs. Besiktas - Sunday November 29 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;NOVAK;TISSERAND;LEMOS;GONUL;SOSA;LUIZ GUSTAVO;PEROTTI;TUFAN;PELKAS;CISSE
Kasimpasa vs. Genclerbirligi - Sunday November 29 - 2020,Genclerbirligi,hard,4-1-4-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;KIZILDAG;PIRIS DA MOTTA;YILMAZ;YILDIRIM;OZDEMIR;CANDEIAS;SIO
Kasimpasa vs. Genclerbirligi - Sunday November 29 - 2020,Kasimpasa,hard,4-2-3-1,KOSE;HADDADI;BRECKA;SADIKU;HADERGJONAJ;TIRPAN;HAJRADINOVIC;VARGA;CARIUS;KOOMSON;HODZIC
Kayserispor vs. Fatih Karagumruk - Monday November 30 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;KURUCUK;ALTINAY;LICHAJ;BIGLIA;NDAO;SABO;DURMAZ;CIVELEK;SOBIECH
Kayserispor vs. Fatih Karagumruk - Monday November 30 - 2020,Kayserispor,hard,4-2-3-1,CIPE;BEHICH;KOLOVETSIOS;SAPUNARU;LOPES;CAMPANHARO;ATTAMAH;KVRZIC;ACAR;LENNON;KANGA
Sivasspor vs. Goztepe - Monday November 30 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;NUKAN;MIHOJEVIC;PALULI;KAYAN;AYDOGDU;NWOBODO;GUILHERME;AKBUNAR;NDIAYE
Sivasspor vs. Goztepe - Monday November 30 - 2020,Sivasspor,hard,4-4-2,SAMASSA;YARDIMCI;OSMANPASA;APPINDANGOYE;YALCIN;GRADEL;CLAUDEMIR;COFIE;OZTEKIN;KAYODE;KONE
Besiktas vs. Kasimpasa - Friday December 4 - 2020,Besiktas,easy,4-1-4-1,YUVAKURAN;YILMAZ;MONTERO;WELINTON;ROSIER;TOKOZ;N'KOUDOU;MENSAH;HUTCHINSON;GHEZZAL;ABOUBAKAR
Besiktas vs. Kasimpasa - Friday December 4 - 2020,Kasimpasa,hard,4-2-3-1,KOSE;ERDOGAN;BRECKA;SADIKU;HADERGJONAJ;TIRPAN;HAJRADINOVIC;HODZIC;CARIUS;KOOMSON;KOITA
Galatasaray vs. Hatayspor - Saturday December 5 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;TASDEMIR;MARCAO;DONK;LINNES;ANTALYALI;AKBABA;FEGHOULI;KILINC;CAGLAYAN;DIAGNE
Galatasaray vs. Hatayspor - Saturday December 5 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;CAMOGLU;SANTOS;ABDIOGLU;POPOV;SACKEY;AABID;AKINTOLA;TRAORE;ILGAZ;DIOUF
Genclerbirligi vs. Alanyaspor - Saturday December 5 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;GULAY;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;PEKTEMEK;BABACAR;DAVIDSON
Genclerbirligi vs. Alanyaspor - Saturday December 5 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;TOURE;KIZILDAG;JOHANSSON;PIRIS DA MOTTA;OZDEMIR;SIO;DIKMEN;CANDEIAS;STANCU
Goztepe vs. Kayserispor - Saturday December 5 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;TITI;MIHOJEVIC;PALULI;KAYAN;AYDOGDU;NWOBODO;GUILHERME;AKBUNAR;NDIAYE
Goztepe vs. Kayserispor - Saturday December 5 - 2020,Kayserispor,hard,4-2-3-1,CIPE;BEHICH;KOLOVETSIOS;SAPUNARU;LOPES;CAMPANHARO;ATTAMAH;PEDRO HENRIQUE;KVRZIC;LENNON;PARLAK
Konyaspor vs. Buyuksehir Belediye Erzurumspor - Saturday December 5 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-2-3-1,ERDOGAN;KANAK;HATIPOGLU;KARDES;UCAR;OBERTAN;BOUMAL;NOVIKOVAS;SISSOKO;MUHAMMED;GOMES
Konyaspor vs. Buyuksehir Belediye Erzurumspor - Saturday December 5 - 2020,Konyaspor,hard,3-1-4-2,SEHIC;DEMIRBAG;BARDAKCI;DEMIROK;JEVTOVIC;GUILHERME;MILOSEVIC;HADZIAHMETOVIC;SKUBIC;HURTADO;DACI
Yeni Malatyaspor vs. Basaksehir - Saturday December 5 - 2020,Basaksehir,hard,4-2-3-1,GUNOK;KALDIRIM;PONCK;SKRTEL;RAFAEL;TEKDEMIR;KAHVECI;CHADLI;GIULIANO;GULBRANDSEN;BA
Yeni Malatyaspor vs. Basaksehir - Saturday December 5 - 2020,Yeni Malatyaspor,hard,4-4-2,OZBIR;KARIM HAFEZ;HADEBE;KAYA;CHEBAKE;BUYUK;ACQUAH;NDAYISHIMIYE;KANATSIZKUS;BULUT;TETTEH
Antalyaspor vs. Ankaragucu - Sunday December 6 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;PINTO;PAZDAN;CANKAYA;KITSIOU;VOCA;DIOUSSE;LOBJANIDZE;POTUK;CINAR;BOLINGI
Antalyaspor vs. Ankaragucu - Sunday December 6 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;ALBAYRAK;GULUM;KUDRYASHOV;IMERI;AMILTON;FREDY;SAHIN;BAYRAKDAR;JAHOVIC;PODOLSKI
Denizlispor vs. Fenerbahce - Sunday December 6 - 2020,Denizlispor,hard,4-2-3-1,PANTILIMON;BERGDICH;YUMLU;YILMAZ;OZDEMIR;MURAWSKI;BAKALORZ;SAGAL;AISSATI;SACKO;RODALLEGA
Denizlispor vs. Fenerbahce - Sunday December 6 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;AZIZ;GONUL;SOSA;TUFAN;PELKAS;YANDAS;KADIOGLU;CISSE
Fatih Karagumruk vs. Rizespor - Sunday December 6 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ROCO;KURUCUK;CIVELEK;BIGLIA;DURMAZ;SABO;NDIAYE;NDAO;SOBIECH
Fatih Karagumruk vs. Rizespor - Sunday December 6 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;DURAK;DONSAH;ANDRADE;BULUT;FABRICIO BAIANO;REMY
Trabzonspor vs. Sivasspor - Monday December 7 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;ERDAL;CAMARA;APPINDANGOYE;OSMANPASA;CLAUDEMIR;GRADEL;FAJR;ARSLAN;NINGA;YATABARE
Trabzonspor vs. Sivasspor - Monday December 7 - 2020,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;VITOR HUGO;IE;ASAN;BAKER;PARMAK;BASACIKOGLU;OMUR;EKUBAN;AFOBE
Goztepe vs. Alanyaspor - Wednesday December 9 - 2020,Alanyaspor,hard,4-4-2,MARAFONA;GULAY;TZAVELLAS;AKSOY;MORENO;KUTLU;UCAN;BAKASETAS;SIOPIS;BABACAR;BAREIRO
Goztepe vs. Alanyaspor - Wednesday December 9 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;MIHOJEVIC;OZTURK;PALULI;SONMEZ;AYDOGDU;TRIPIC;GUILHERME;AKBUNAR;NDIAYE
Hatayspor vs. Buyuksehir Belediye Erzurumspor - Wednesday December 9 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-2-3-1,FARNOLLE;KANAK;HATIPOGLU;MINA;ALKILIC;CELIK;AKDAG;NOVIKOVAS;OBERTAN;MUHAMMED;GOMES
