game,team,difficulty,formation,lineup
Ankaragucu vs. Galatasaray - Friday August 10 - 2018,Ankaragucu,hard,4-4-2,HOPF;PINTO;AYHAN;KONE;OZGENC;MOKHTAR;MORKAYA;FATY;BIFOUMA;EL KABIR;PARLAK
Ankaragucu vs. Galatasaray - Friday August 10 - 2018,Galatasaray,easy,4-4-2,MUSLERA;NAGATOMO;AZIZ;MAICON;MARIANO;RODRIGUES;FERNANDO;DONK;ONYEKURU;DERDIYOK;GUMUS
Fenerbahce vs. Bursaspor - Saturday August 11 - 2018,Bursaspor,hard,4-2-3-1,TEKIN;BEHICH;ERSOY;TROOST-EKONG;YARDIMCI;KARA;BADJI;ERDOGAN;SOYALP;ALLANO;NECID
Fenerbahce vs. Bursaspor - Saturday August 11 - 2018,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;NEUSTADTER;SKRTEL;ISLA;TOPAL;SOUZA;AYEW;GIULIANO;ALICI;SOLDADO
Rizespor vs. Kasimpasa - Saturday August 11 - 2018,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;BEN YOUSSEF;SARI;POPOV;SADIKU;KHALILI;TREZEGUET;DEPE;EDUOK;DIAGNE
Rizespor vs. Kasimpasa - Saturday August 11 - 2018,Rizespor,hard,4-2-3-1,AKKAN;USLU;BRABEC;SAADANE;OVACIKLI;CAMDALI;YALCIN;SAMUDIO;CAGIRAN;UMAR;MURIQI
Sivasspor vs. Alanyaspor - Saturday August 11 - 2018,Alanyaspor,hard,4-2-3-1,YILMAZ;N'SAKALA;TZAVELLAS;WELINTON;BAIANO;SACKEY;FILIPE AUGUSTO;DJALMA;KARACA;VILLAFANEZ;BOBO
Sivasspor vs. Alanyaspor - Saturday August 11 - 2018,Sivasspor,hard,4-4-2,ACAR;ERDAL;CIFTCI;MEDJANI;DOUGLAS;KILINC;RYBALKA;ARSLAN;YANDAS;KONE;ROBINHO
Basaksehir vs. Trabzonspor - Sunday August 12 - 2018,Basaksehir,hard,4-1-4-1,GUNOK;CLICHY;EPUREANU;DA COSTA;JUNIOR CAICARA;INLER;ELIA;JOJIC;AYDOGDU;VISCA;BAJIC
Basaksehir vs. Trabzonspor - Sunday August 12 - 2018,Trabzonspor,easy,4-2-3-1,KIVRAK;IBANEZ;AKBAS;TOURE;PEREIRA;ONAZI;KUCKA;OMUR;SOSA;YAZICI;RODALLEGA
Besiktas vs. Akhisarspor - Sunday August 12 - 2018,Akhisarspor,hard,4-2-3-1,OZTURK;BAYRAM;OSMANPASA;YUMLU;VRSAJEVIC;CEVIKER;SISSOKO;LARSSON;KISA;LOPES;SELEZNYOV
Besiktas vs. Akhisarspor - Sunday August 12 - 2018,Besiktas,easy,4-2-3-1,ZENGIN;ERKIN;PEPE;UYSAL;GONUL;MEDEL;ARSLAN;BABEL;OZYAKUP;LENS;LARIN
Goztepe vs. Yeni Malatyaspor - Sunday August 12 - 2018,Goztepe,hard,4-4-2,BETO;TRAORE;TITI;WALLACE;GASSAMA;AKBUNAR;POKO;CASTRO;GOUFFRAN;GHILAS;KADAH
