game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Trabzonspor vs. Fenerbahce - Friday August 9 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;OZAT;MIRKOVIC;ERCAN;JOHNSON;ORTEGA;TEMIZKANOGLU;AKIN;WASHINGTON;REVIVO,1;22;5;6;18;28;23;3;9;21;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;1;1;0;1,0;0;0;0;1;0;1;0;0;1;0,951654
Trabzonspor vs. Fenerbahce - Friday August 9 - 2002,Trabzonspor,easy,4-4-2,PETKOVIC;KAHRAMAN;GURACAR;OZSOY;YALCINKAYA;KARADENIZ;MEHMET AURELIO;DAS;UCUNCU;YILMAZ;BUSHI,23;20;4;3;32;61;15;38;19;17;14,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;2;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,951654
Ankaragucu vs. Malatyaspor - Saturday August 10 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;TURKMEHMET;OZLEM;NAMDAR;TASDEMIR;CARABAS;KELES;KARTAL,22;3;4;78;20;5;39;76;8;10;9,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;1;0;0;0,0;0;0;0;1;1;1;0;0;0;0,951656
Ankaragucu vs. Malatyaspor - Saturday August 10 - 2002,Malatyaspor,hard,4-4-2,MILOSEVSKI;BENSOL;KORKMAZ;ONUR;MACABA;BAYAZIT;OZER;ABDELAZIZ;SEYHAN;YAVAS;ESER,1;99;44;46;20;7;16;14;28;10;11,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;1;0;1;0;0;0;0;0;0;1,0;0;0;0;1;1;0;0;0;0;1,951656
Bursaspor vs. Besiktas - Saturday August 10 - 2002,Besiktas,easy,4-4-2,CORDOBA;UZULMEZ;DOGANTEZ;RONALDO GUIARO;BESERLER;BEKTAS;SULUN;HAVUTCU;GUNEY;PANCU;METIN,1;19;2;5;44;11;6;3;16;9;67,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;1;1,1;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;1;1;0;0;0;1,951658
Bursaspor vs. Besiktas - Saturday August 10 - 2002,Bursaspor,hard,4-4-2,KELEMEN;UYSAL;BULAT;KILIC;OZBEY;SEN;JUNIOR;FRANJA;VARESANOVIC;SOZKESEN;YILMAZ,1;35;5;17;6;11;99;13;8;21;10,0;0;0;0;0;0;1;0;0;0;1,0;0;0;0;0;0;0;1;0;1;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,951658
Diyarbakirspor vs. Altay Sk - Saturday August 10 - 2002,Altay Sk,hard,3-5-2,DAGDELEN;ATAN;ZENGIN;CAGIRAN;KARAKOC;VURUR;VIDUSLU;KOC;GULTEKIN;OZTURK;KALOGLU,1;4;7;5;33;23;45;99;22;9;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;1;0;0;0,0;0;1;0;0;0;0;0;0;1;0,951657
Diyarbakirspor vs. Altay Sk - Saturday August 10 - 2002,Diyarbakirspor,hard,4-4-2,KARAGOL;CAKIR;SAATCIOGLU;ERDOGAN;HINCAL;KOCAK;KOLGU;SAMATYALI;DUMAN;AKYUZ;HACIOGLU,28;6;5;4;7;99;11;8;21;18;53,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;1;1;0;0;0;0;0;1,951657
Istanbulspor vs. Adanaspor - Saturday August 10 - 2002,Adanaspor,hard,4-4-2,SAHIN;EMILOV;HONCA;TIMKO;OZATAK;OZTURK;PACHOLA;DALCICEK;YAVUZ;BALKAYA;ATES,1;25;5;4;2;17;27;6;21;11;10,0;0;0;0;0;0;1;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1,951655
Istanbulspor vs. Adanaspor - Saturday August 10 - 2002,Istanbulspor,hard,3-5-2,BOUKAR;AKBAS;OKECHUKWU;ANDRE BORGES;PETKOV;SAIDOU;BAYAR;SAHIN;KUS;YOZGATLI;ISLER,12;98;5;22;6;20;26;21;36;66;10,0;0;1;0;0;0;0;0;0;0;1,0;0;0;0;0;1;0;0;0;0;0,0;0;0;1;0;0;0;0;1;0;1,0;0;0;1;0;0;0;0;1;1;0,951655
