game,team,difficulty,formation,lineup,lineup_numbers
Samsunspor vs. Besiktas - Friday August 8 - 2003,Besiktas,easy,3-5-2,CORDOBA;ZAGO;RONALDO GUIARO;YILDIRIM;UZULMEZ;HAVUTCU;METIN;GIUNTI;DABROWSKI;DURSUN;PANCU,1;30;5;4;19;3;67;20;17;7;9
Samsunspor vs. Besiktas - Friday August 8 - 2003,Samsunspor,hard,3-5-2,SHORUNMU;YAVAS;MILTON DO O;YELEK;AYDIN;JUNINHO CEARENSE;KIRITA;TURHAN;CAN;ERTAN;AYKUT,1;27;2;28;22;9;21;7;17;11;10
Bursaspor vs. Gaziantepspor - Saturday August 9 - 2003,Bursaspor,hard,4-4-2,VINTILA;MIU;KORKMAZ;GURACAR;KILIC;ESER;JUNIOR;FRASINEANU;ALEMDAR;GANEA;YILMAZ,1;3;16;4;17;11;6;20;14;9;10
Bursaspor vs. Gaziantepspor - Saturday August 9 - 2003,Gaziantepspor,hard,3-5-2,CATKIC;TORAMAN;BOUAZIZI;POLAT;LAZAROV;JOHNSON;COLAK;NAMLI;OZBAY;OZER;JAZIRI,1;19;13;6;11;15;5;10;66;9;20
Galatasaray vs. Diyarbakirspor - Saturday August 9 - 2003,Diyarbakirspor,hard,4-2-3-1,KARAGOL;DEMIRCIOGLU;TUNC;STAVREVSKI;SAATCIOGLU;SALAR;JUPI;HACIOGLU;YUNGUL;YIGIT;AKYUZ,21;34;3;12;5;23;20;53;35;22;11
Galatasaray vs. Diyarbakirspor - Saturday August 9 - 2003,Galatasaray,easy,4-2-3-1,MONDRAGON;UNSAL;DE BOER;TAMAS;PRATES;BATISTA;AKMAN;PENBE;GOKTAN;SAS;SUKUR,1;57;5;30;29;8;18;67;7;11;10
Genclerbirligi vs. Elazigspor - Saturday August 9 - 2003,Elazigspor,hard,3-5-2,KONIG;COL;CZINEGE;TURGUT;KIZILSIMSEK;AGCAY;MARANGOZ;HATIPOGLU;KOPRULU;EFFA-OWONA;YANIK,1;60;33;71;21;9;27;23;8;25;11
Genclerbirligi vs. Elazigspor - Saturday August 9 - 2003,Genclerbirligi,hard,3-5-2,TOKGOZ;BARIS;BOZKURT;OZBEY;DAEMS;BALCI;SKOKO;EL SAKA;MBAYO;CIHAN;YOULA,99;25;14;6;3;30;15;5;12;50;11
Konyaspor vs. Trabzonspor - Saturday August 9 - 2003,Konyaspor,hard,3-5-2,BOUKAR;GUNDOSTU;GUNEY;UGUR;KARACA;PEREIRA;TEMIZKANOGLU;YESILKAYA;CELIK;ISLER;BIRYOL,1;4;12;22;16;15;9;20;2;10;8
Konyaspor vs. Trabzonspor - Saturday August 9 - 2003,Trabzonspor,easy,4-4-2,PETKOVIC;D'HAENE;YAVUZ;ASIL;YALCINKAYA;KARADENIZ;CIMSIR;VAN DE PAAR;YATTARA;YILMAZ;AHINFUL,1;24;38;6;32;61;5;7;11;10;29
Adanaspor vs. Malatyaspor - Sunday August 10 - 2003,Adanaspor,hard,4-4-2,SAHIN;UNAL;YANYALI;BEKIROGLU;OZTURK;BEKIROGLU;KOSE;LALIK;ATES;YILDIRAN;MESZAROS,1;19;3;5;4;79;53;30;10;9;15
