game,team,difficulty,formation,lineup,lineup_numbers
Ankaraspor vs. Genclerbirligi - Saturday February 28 - 2009,Ankaraspor,hard,4-2-3-1,OZYIGIT;DEMIRKOL;BATAK;YOLDAS;GUVEN;KOCAK;WEEKS;KISA;AGCA;NECA;MEYE,48;37;13;4;44;66;27;19;24;23;21
Ankaraspor vs. Genclerbirligi - Saturday February 28 - 2009,Genclerbirligi,hard,4-4-2,ISAILOVIC;MOMHA;EKER;AVCI;CAN;AYDOGDU;JEDINAK;ESER;ASLANTAS;PEKTEMEK;DJITE,30;18;20;15;40;91;23;21;25;11;19
Denizlispor vs. Gaziantepspor - Saturday February 28 - 2009,Denizlispor,hard,4-5-1,ONGUN;VURAL;AKYILDIZ;BIRINCI;BERBEROVIC;ASKAROGLU;YIGEN;ALADAG;DANIEL BRAGA;BANGOURA;ANGELOV,41;22;5;61;33;43;45;24;72;15;71
Denizlispor vs. Gaziantepspor - Saturday February 28 - 2009,Gaziantepspor,hard,4-2-3-1,SAHIN;IVAN;DEUMI;JULIO CESAR;IRTEGUN;BAYRAKTAR;ZURITA;TABATA;OZGUR;SEKMAN;BETO,1;37;12;55;4;17;8;10;19;6;25
Eskisehirspor vs. Kayserispor - Saturday February 28 - 2009,Eskisehirspor,hard,4-4-2,IVESA;COSKUN;EL SAKA;VUCKO;ARSLAN;KOCABEY;TORAMAN;ERTUGRUL;BAYTAR;KARADENIZ;YOULA,1;75;4;27;51;21;23;55;61;8;11
Eskisehirspor vs. Kayserispor - Saturday February 28 - 2009,Kayserispor,hard,4-4-2,HAMIDOU;TOLEDO;GUNGOR;TURAN;BAYRAM;BOYRAZ;BASDAG;SAIDOU;TOPUZ;PUROVIC;CANGELE,16;12;35;5;2;67;8;7;66;9;10
Fenerbahce vs. Sivasspor - Saturday February 28 - 2009,Fenerbahce,easy,4-2-3-1,DEMIREL;WEDERSON;LUGANO;TURACI;GONUL;BARIS;BELOZOGLU;BORAL;ALEX;DEIVID;SENTURK,1;6;2;19;77;24;5;25;10;99;23
Fenerbahce vs. Sivasspor - Saturday February 28 - 2009,Sivasspor,hard,4-4-2,PETKOVIC;DERELI;BAYRAK;FABIO BILICA;SOZGELMEZ;DAGASAN;BADUR;SYLLA;AYDIN;YILDIZ;KAMANAN,1;61;27;3;5;24;26;8;7;9;14
Ankaragucu vs. Hacettepe Spor - Sunday March 1 - 2009,Ankaragucu,hard,4-4-2,KIRINTILI;OZKAYNAK;BOUZID;LUIZ HENRIQUE;OZSARAC;DURUER;OZGUR;BARUT;BAYER;DE NIGRIS;JABA,1;39;15;13;2;11;18;23;30;12;9
Ankaragucu vs. Hacettepe Spor - Sunday March 1 - 2009,Hacettepe Spor,hard,4-4-2,BILER;KALKAN;BOZKURT;KULUSIC;SAM;LIKA;COSKUN;TOZO;ATAK;TUTUNCI;TAMBWE,14;69;5;24;67;21;7;19;22;84;60
Antalyaspor vs. Trabzonspor - Sunday March 1 - 2009,Antalyaspor,hard,4-2-3-1,CATKIC;CAN;ISIK;AYHAN;CEYLAN;ARSLAN;AGCAY;TITA;OZTURK;ZITOUNI;DJIEHOUA,1;3;19;2;81;58;15;86;54;11;29
Antalyaspor vs. Trabzonspor - Sunday March 1 - 2009,Trabzonspor,easy,4-3-3,SYLVA;CALE;KORKMAZ;SONG;CORA;COLMAN;CIMSIR;INAN;BULUT;UNAL;YATTARA,1;3;16;4;18;20;5;8;10;9;11
Bursaspor vs. Kocaelispor - Sunday March 1 - 2009,Bursaspor,hard,4-4-2,IVANKOV;BEKIROGLU;ERDOGAN;OZTURK;TANDOGAN;SEN;SARP;HAS;ACAR;TADEU;YILDIRIM,27;18;4;38;21;10;15;6;20;29;9
Bursaspor vs. Kocaelispor - Sunday March 1 - 2009,Kocaelispor,hard,4-4-2,KOPUZ;TEBER;KIRAZ;SADYQOV;ROSS;HACIOGLU;NSUMBU;KARTOP;CALIK;GULLERI;AKEEM AGBETU,14;63;34;1;35;30;13;2;9;19;80
Konyaspor vs. Galatasaray - Sunday March 1 - 2009,Galatasaray,easy,4-2-3-1,DE SANCTIS;BALTA;ASIK;MEIRA;SARIOGLU;AKMAN;OZBEK;KEWELL;LINCOLN;TURAN;BAROS,26;22;21;5;55;18;8;19;10;66;15
