game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Buyuksehir Belediyespor vs. Besiktas - Friday August 7 - 2009,Besiktas,easy,4-5-1,ARIKAN;KOYBASI;FERRARI;SIVOK;GUVEN;TELLO;ERNST;SIMSEK;FINK;HOLOSKO;NOBRE,84;3;27;6;44;14;28;29;5;23;11,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;1;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,956531
Buyuksehir Belediyespor vs. Besiktas - Friday August 7 - 2009,Buyuksehir Belediyespor,hard,4-3-3,BAHADIR;SUZEN;TEKDEMIR;DEPE;KUS;INANC;KORKMAZ;SYLLA;AKIN;TUM;ALIN,61;81;21;3;28;6;8;27;11;18;12,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;1;0;0,956531
Antalyaspor vs. Ankaraspor - Saturday August 8 - 2009,Ankaraspor,hard,4-4-2,SENECKY;KARABULUT;BAHTIYAROGLU;BRABEC;BARIS;TITA;GUCER;KOCAK;TOSUN;CAKIR;MEYE,1;20;5;3;41;10;50;66;7;11;21,0;0;0;0;0;0;0;0;1;0;0,0;0;0;1;0;0;0;0;0;0;0,1;0;1;0;0;0;1;0;0;1;1,1;0;1;0;0;0;1;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,956530
Antalyaspor vs. Ankaraspor - Saturday August 8 - 2009,Antalyaspor,hard,4-4-2,CATKIC;CAN;AK;AYHAN;ZENGIN;CEYLAN;ARSLAN;AGCAY;ZITOUNI;CIHAN;BALILI,1;3;5;2;17;81;58;15;11;50;7,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;1;1;0;1,0;0;1;0;0;0;1;1;1;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;1;1,956530
Diyarbakirspor vs. Ankaragucu - Saturday August 8 - 2009,Ankaragucu,hard,4-5-1,KIRINTILI;SOSIBO;SUME;DIEGO PADILHA;CETIN;BAYRAKTAR;OZGUR;ERIS;BARUT;HASPOLATLI;IGLESIAS,1;24;3;29;21;8;5;14;23;46;7,0;0;0;0;0;0;0;2;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;1;0;0;1;0;0,0;0;1;0;0;1;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;1;1;0;0;0;0;0,956535
Diyarbakirspor vs. Ankaragucu - Saturday August 8 - 2009,Diyarbakirspor,hard,4-5-1,TUNCAY;ABBAS;DIALLO;MEGAHED;GUNGOR;SENTURK;ATAS;GUNES;ABDELAZIZ;ASKAROGLU;SEN,48;3;17;2;55;10;21;8;12;43;7,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;0,0;1;1;0;0;1;0;0;1;1;0,0;1;1;0;0;1;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;0;0;0;1,956535
Sivasspor vs. Trabzonspor - Saturday August 8 - 2009,Sivasspor,hard,4-4-2,PETKOVIC;YERLIKAYA;BAYRAK;SOZGELMEZ;KAVUK;YILMAZ;DAGASAN;TUNCER;AYDIN;MARTIN;KAMANAN,1;58;4;5;67;18;8;77;7;28;14,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;1,0;0;0;0;0;0;1;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;0,956536
Sivasspor vs. Trabzonspor - Saturday August 8 - 2009,Trabzonspor,easy,4-5-1,SYLVA;CALE;KORKMAZ;SONG;BALCI;ALANZINHO;TJIKUZU;INAN;COLMAN;BAYTAR;BULUT,1;3;16;4;30;25;28;8;20;5;10,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;0,956536
Bursaspor vs. Kasimpasa - Sunday August 9 - 2009,Bursaspor,hard,4-2-3-1,IVANKOV;KECELI;ERDOGAN;ZAPOTOCNY;TANDOGAN;CIMSIR;HAS;SEN;IPEK;YILDIRIM;BAHADIR,27;23;4;26;21;5;6;10;33;9;22,0;0;0;1;0;0;0;0;0;1;0,0;0;0;0;1;0;0;1;0;0;0,0;0;0;0;1;0;0;1;1;0;1,0;0;0;0;1;0;0;1;1;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;0;1,956533
Bursaspor vs. Kasimpasa - Sunday August 9 - 2009,Kasimpasa,hard,4-5-1,OZGEN;KARTAL;PAVLIK;ANDRE GALIASSI;BARAN;KUCUK;KELLER;BOUKHARI;ACIL;GUNES;RUIZ,68;54;14;3;44;61;80;23;28;30;18,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;1;1;0;0;1;0,1;1;0;0;0;1;1;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;1;0;1;0,956533
Denizlispor vs. Fenerbahce - Sunday August 9 - 2009,Denizlispor,hard,4-4-2,ONGUN;YIGEN;CHRYSOSTOME;BAJIC;BANGOURA;HACIOGLU;ALADAG;DANIEL BRAGA;CALIK;ROBERTS;ANGELOV,41;45;25;4;15;7;23;17;12;11;71,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;1,0;0;1;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,956537
Denizlispor vs. Fenerbahce - Sunday August 9 - 2009,Fenerbahce,easy,4-5-1,DEMIREL;SANTOS;TURACI;FABIO BILICA;GONUL;WEDERSON;CRISTIAN;ALEX;BELOZOGLU;KAZIM-RICHARDS;GUIZA,1;27;19;58;77;6;16;10;5;8;9,0;0;0;0;0;0;0;0;0;0;2,0;0;0;0;1;0;0;1;0;0;0,0;0;1;0;0;0;1;0;0;0;0,0;0;1;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,956537
Gaziantepspor vs. Galatasaray - Sunday August 9 - 2009,Galatasaray,easy,4-2-3-1,FRANCO;BALTA;CETIN;ZAN;SARIOGLU;SARP;AKMAN;YILMAZ;TURAN;KEITA;BAROS,25;22;76;5;55;16;18;7;10;11;15,0;0;0;0;0;1;0;0;1;0;0,0;0;0;0;0;0;0;0;2;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,956529
Gaziantepspor vs. Galatasaray - Sunday August 9 - 2009,Gaziantepspor,hard,4-2-3-1,BEZGIN;ADIN;JULIO CESAR;DEUMI;CEYLAN;BAYRAKTAR;ZURITA;CESAR;TABATA;YOZGATLI;BETO,22;29;55;12;5;17;8;99;10;7;25,0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;1;0;1;0;1;0,956529
Genclerbirligi vs. Kayserispor - Sunday August 9 - 2009,Genclerbirligi,hard,4-4-2,KULBILGE;MOMHA;EKER;DEMIR;SAM;ESER;TOZO;SERAS;CAN;TAMBWE;KAHE,1;18;5;88;67;21;12;6;40;16;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;0;0,0;1;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,956532
Genclerbirligi vs. Kayserispor - Sunday August 9 - 2009,Kayserispor,hard,4-5-1,HAMIDOU;TOLEDO;TOSCALI;YUCE;TURAN;EMRECIKSIN;SAIDOU;TROISI;OLEMBE;CANGELE;BOYRAZ,16;12;25;6;5;8;7;21;20;10;67,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;1;0;0;0;0,0;0;1;0;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;0;1;0;0,956532
