game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Balikesirspor vs. Akhisar Belediyespor - Friday August 29 - 2014,Akhisar Belediyespor,hard,4-2-3-1,TUNCEL;VURAL;DEMIROK;DOUGLAO;CEBE;DJOUM;YUCE;NTIBAZONKIZA;KISA;OZER;GEKAS,44;22;15;40;20;8;6;26;5;10;11,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;0;0;1;0;0,0;0;0;0;0;1;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,2469935
Balikesirspor vs. Akhisar Belediyespor - Friday August 29 - 2014,Balikesirspor,hard,4-2-3-1,AYVAZ;AKYUZ;COELHO;KULUSIC;AKDEMIR;SANTOS;CEVIKER;DEPE;ALANZINHO;YILDIRIM;UNAL,1;39;4;20;77;13;6;11;25;19;9,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;0;0;1;0;1;1,2469935
Rizespor vs. Genclerbirligi - Friday August 29 - 2014,Genclerbirligi,hard,4-3-3,DAHLIN;TOSIC;BALIOGLU;CALIK;ASLANTAS;KAYA;GOSSO;CALISKAN;CELIK;STANCU;KOCER,27;3;45;4;42;20;19;5;11;10;25,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;1;0;1;0;1,0;0;0;0;0;1;1;0;1;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,2469938
Rizespor vs. Genclerbirligi - Friday August 29 - 2014,Rizespor,hard,4-4-2,KIRINTILI;ADNAN;KACAR;VIERA;ALTINAY;DURUER;KAGAN SOYLEMEZGILLER;KARAKAS;ABDI;KWEUKE;LUALUA,1;53;23;3;4;20;6;8;10;9;32,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,2469938
Basaksehir vs. Kasimpasa - Saturday August 30 - 2014,Basaksehir,hard,4-2-3-1,BABACAN;OZTORUN;EPUREANU;AYHAN;UCAR;ROTMAN;TEKDEMIR;DOKA MADUREIRA;AKIN;VISCA;PERBET,1;87;6;22;33;40;5;10;17;7;24,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;0;0;0;0,0;0;0;1;0;1;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,2469931
Basaksehir vs. Kasimpasa - Saturday August 30 - 2014,Kasimpasa,hard,4-2-3-1,ISAKSSON;KAPLAN;EKER;BASDAS;SAM;OZTURK;CASTRO;BABEL;SCARIONE;TORUN;BUYUK,15;5;4;22;67;23;88;8;11;55;10,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;0,0;0;0;1;0;0;1;0;0;0;0,0;0;0;1;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;0;1;0,2469931
Bursaspor vs. Galatasaray - Saturday August 30 - 2014,Bursaspor,hard,4-2-3-1,TEKIN;BEHICH;AZIZ;OZTURK;OZBAYRAKLI;TUFAN;YILMAZ;KIRAZ;TRAORE;SEN;FERNANDAO,12;23;4;38;22;7;88;11;8;16;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;1;0,0;0;0;0;0;0;1;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,2469937
Bursaspor vs. Galatasaray - Saturday August 30 - 2014,Galatasaray,easy,4-2-3-1,MUSLERA;BALTA;CHEDJOU;KAYA;SARI;FELIPE MELO;INAN;SNEIJDER;KURTULUS;BRUMA;YILMAZ,1;22;21;26;88;3;8;10;35;11;17,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;1;0;0;0;0;1;0,0;0;1;0;0;1;1;0;1;0;0,0;0;1;0;0;1;1;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,2469937
Eskisehirspor vs. Konyaspor - Saturday August 30 - 2014,Eskisehirspor,hard,4-4-2,BOFFIN;TEBER;COSKUN;PARLAK;CAMDAL;ZENGIN;GUCER;LAWAL;KILIC;FUNES MORI;AYDIN,25;15;5;53;38;10;50;4;11;18;9,0;0;0;0;0;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;1;0;0;0;0;1;0;0;0,0;0;1;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,2469936
Eskisehirspor vs. Konyaspor - Saturday August 30 - 2014,Konyaspor,hard,4-2-3-1,TARAKCI;USLU;KOKALOVIC;CAMDALI;TURAN;INCEMAN;GUVEN;TORJE;HLEB;SAHINER;MARICA,1;54;44;8;4;80;6;11;10;7;19,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;1;0;0;0,2469936
