game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Buyuksehir Belediyespor vs. Fenerbahce - Friday August 10 - 2007,Buyuksehir Belediyespor,hard,4-4-2,HASAGIC;EKSIOGLU;OCAK;DEPE;SAHIN;KAHRAMAN;TJIKUZU;INANC;ZENGIN;ADRIANO;ESER,1;17;4;3;53;10;8;6;33;19;11,0;0;1;0;0;0;0;0;1;0;0,0;0;0;0;0;1;0;1;0;0;0,1;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,77635
Buyuksehir Belediyespor vs. Fenerbahce - Friday August 10 - 2007,Fenerbahce,easy,4-2-3-1,KULBILGE;ROBERTO CARLOS;ARAT;EDU DRACENA;TURACI;MEHMET AURELIO;BARIS;BORAL;METIN;DEIVID;KEZMAN,22;3;17;36;19;15;24;25;11;99;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;0;0;0;1;0;1,0;0;0;0;0;0;1;1;0;1;0,77635
Ankaraspor vs. Ankaragucu - Saturday August 11 - 2007,Ankaragucu,hard,4-4-2,KIRINTILI;SUME;GUNGOR;ANDRE SILVA;CAN;OZKAYNAK;KIRITA;DURUER;CELIK;DURSUN;BEBBE,1;3;2;8;40;39;11;18;42;7;9,0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;2,1;0;1;0;0;1;0;0;0;0;1,0;0;0;0;0;0;0;1;0;1;1,77633
Ankaraspor vs. Ankaragucu - Saturday August 11 - 2007,Ankaraspor,hard,4-5-1,KURSUNLU;YOLDAS;BATAK;BAHTIYAROGLU;AKKOYUN;TITA;KOCAK;TASDEMIR;KISA;HURMACI;YILMAZ,1;4;30;16;38;8;66;7;19;20;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;1,0;0;0;0;1;0;0;0;1;0;1,77633
Besiktas vs. Konyaspor - Saturday August 11 - 2007,Besiktas,easy,4-4-2,ARIKAN;TELLO;TORAMAN;ZAN;KURTULUS;AKIN;AVCI;RICARDINHO;OZKAN;BOBO;NOBRE,84;14;58;5;2;55;41;17;21;13;11,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,77634
Besiktas vs. Konyaspor - Saturday August 11 - 2007,Konyaspor,hard,4-4-2,ONGUN;KAUE;EL SAKA;OZSARAC;SEKMAN;NECA;BATISTA;ER;ABDALLAH;CIHAN;SEN,1;11;5;3;6;99;7;13;14;50;18,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;1;0;0;0;0,0;0;1;0;0;0;0;1;1;0;0,77634
Denizlispor vs. Bursaspor - Sunday August 12 - 2007,Bursaspor,hard,4-4-2,VEGA;BEKIROGLU;KORKMAZ;ERDOGAN;HASPOLATLI;KALOGLU;SUMULIKOSKI;SARP;ACAR;TUM;PANCU,23;47;16;4;22;11;18;15;8;34;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;1;0;0;0;0;1;0;0;0,0;0;0;0;0;1;0;0;1;0;0,77636
Denizlispor vs. Bursaspor - Sunday August 12 - 2007,Denizlispor,hard,4-5-1,HAMIDOU;KARAKOC;ALLYSON;KRATOCHVIL;ERTUGRUL;CELEP;DEMIR;SIMSEK;EGEDIK;ABRAHAM;KINALI,16;19;3;7;20;14;42;5;11;4;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;0;1;1;0;0,0;0;0;0;0;1;1;0;0;0;1,77636
Galatasaray vs. Rizespor - Sunday August 12 - 2007,Galatasaray,easy,4-4-2,USAK;YAMAN;CETIN;SONG;SARIOGLU;AKMAN;LINDEROTH;LINCOLN;OZBEK;KARAN;SUKUR,54;74;76;4;55;18;6;10;8;99;9,0;1;0;0;0;0;0;1;0;0;2,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,77637
Galatasaray vs. Rizespor - Sunday August 12 - 2007,Rizespor,hard,4-4-2,GONZALEZ;TEBER;AKYUZ;BOZACI;KOK;ELMAS;TORAMAN;GORK;EREN;BOMBINHA;LEANDRO CHAVES,1;63;61;53;19;14;5;13;34;11;83,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;0;0,0;0;0;0;1;1;0;0;0;0;1,77637
