game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Rizespor vs. Fenerbahce - Friday August 6 - 2004,Fenerbahce,easy,4-4-2,DEMIREL;FABIANO;CETIN;LUCIANO;OZAT;HACIOGLU;MEHMET AURELIO;BALCI;YOZGATLI;VAN HOOIJDONK;SANLI,1;6;3;2;5;8;15;30;7;17;10,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;1;0;0;0;0;0;0,0;0;1;0;0;1;1;1;0;0;0,0;0;0;0;0;1;0;1;0;0;0,25002
Rizespor vs. Fenerbahce - Friday August 6 - 2004,Rizespor,hard,5-4-1,ZDRAVKOV;GURELER;DUYMUS;EL TABEI;AKICI;AZER;OZDEMIR;TATAN;ALPUGAN;BAKI;OZTURK,1;11;49;15;4;81;10;3;74;22;9,0;0;0;0;0;0;1;0;0;0;1,0;0;0;1;0;1;0;0;0;0;0,0;0;1;0;1;1;1;0;0;1;0,0;1;0;0;0;0;0;0;1;1;0,25002
Denizlispor vs. Gaziantepspor - Saturday August 7 - 2004,Denizlispor,hard,4-5-1,HAMIDOU;KECELI;OZSARAC;KRATOCHVIL;BAYER;BAYAZIT;GULPINAR;ABRAHAM;CELIK;MULTAHARJU;RIZA,16;11;3;7;14;10;6;4;21;22;8,0;0;0;1;0;0;0;0;0;0;1,0;0;0;0;0;1;0;0;0;0;0,0;1;1;0;0;1;0;0;0;1;0,0;0;0;0;0;0;0;1;0;1;1,25005
Denizlispor vs. Gaziantepspor - Saturday August 7 - 2004,Gaziantepspor,hard,3-5-2,HASAGIC;POLAT;BOUAZIZI;ZAN;BOLUKBASI;AGCAY;EL TAIB;MACANGA;OZBAY;OZER;LAZAROV,1;5;13;17;7;18;14;8;66;9;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;1;1;2;1;0;0;0;1;0;0,0;0;0;0;0;1;1;1;0;0;0,25005
Genclerbirligi vs. Sakaryaspor - Saturday August 7 - 2004,Genclerbirligi,hard,4-4-2,CATKIC;BORAL;EL SAKA;OZBEY;TANDOGAN;OZKAN;YESILKAYA;SKOKO;NAS;BOLIC;YOULA,1;20;5;6;22;8;21;15;55;9;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;1;0;0;0;1,0;0;0;0;0;1;1;1;0;0;0,25003
Genclerbirligi vs. Sakaryaspor - Saturday August 7 - 2004,Sakaryaspor,hard,4-5-1,DIALLO;CEYLAN;UNAL;IBIS;KURT;SAKSAK;TORAMAN;BASDAG;BADJI;TASDEMIR;BOLUKBAS,40;11;4;17;56;44;5;7;15;6;54,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;1;0;0;0;0;1;0;0,0;0;0;0;1;0;0;0;1;1;0,25003
Kayserispor vs. Trabzonspor - Saturday August 7 - 2004,Kayserispor,hard,4-4-2,AKTAS;CAN;PETO;OZKOYLU;TURAN;DAMLA;JOHNSON;ARSLAN;YAVAS;ULUSOY;BALILI,1;17;28;4;5;3;15;38;10;9;7,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;1,0;0;1;0;0;0;1;0;0;1;0,25004
Kayserispor vs. Trabzonspor - Saturday August 7 - 2004,Trabzonspor,easy,4-2-3-1,PETKOVIC;KOCAK;D'HAENE;CORA;EREN;UCUNCU;CIMSIR;KARADENIZ;KOCAK;YATTARA;TEKKE,1;99;24;18;34;6;5;61;66;11;9,0;0;0;0;0;0;0;0;0;2;1,0;0;0;0;1;0;0;0;0;0;2,1;0;1;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,25004
Malatyaspor vs. Besiktas - Saturday August 7 - 2004,Besiktas,easy,4-4-2,SAHIN;YILDIRIM;ASIK;TORAMAN;GUNES;UZULMEZ;AHMED HASSAN;BURUK;DABROWSKI;CAREW;PANCU,29;4;2;58;30;19;77;7;17;23;9,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;1;0;0;0;0;0;1;0;0,25006
Malatyaspor vs. Besiktas - Saturday August 7 - 2004,Malatyaspor,hard,4-4-2,TUNCAY;AYDIN;ERDOGAN;AKIN;KORKMAZ;ERDOGAN;MBAYO;KISA;BENSOL;BIRLIK;ALTUN,48;34;3;6;44;47;11;19;99;7;53,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;1;1;0;1;0,25006
