game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Besiktas vs. Basaksehir - Monday September 23 - 2019,Basaksehir,hard,4-1-4-1,GUNOK;CLICHY;EPUREANU;SKRTEL;JUNIOR CAICARA;TEKDEMIR;GULBRANDSEN;ALEKSIC;KAHVECI;VISCA;CRIVELLI,34;3;6;37;80;21;9;91;17;7;27,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;1;0;0;0;0,0;0;1;1;0;1;0;0;0;0;1,0;0;1;1;0;1;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;0;1,3223051
Besiktas vs. Basaksehir - Monday September 23 - 2019,Besiktas,easy,4-3-3,KARIUS;ERKIN;GONUL;UYSAL;DOUGLAS;LJAJIC;HUTCHINSON;TOKOZ;N'KOUDOU;YILMAZ;DIABY,1;88;77;20;5;22;13;26;19;17;92,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;1;1;1;0;0;0;1;0,0;0;0;1;1;1;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;1,3223051
Sivasspor vs. Trabzonspor - Monday September 23 - 2019,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;APPINDANGOYE;OSMANPASA;MARCELO GOIANO;COFIE;KILINC;YANDAS;ARSLAN;YESILYURT;YATABARE,30;3;4;88;87;5;54;8;37;11;9,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;1,1;0;0;0;0;0;0;0;0;1;0,1;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,3223049
Sivasspor vs. Trabzonspor - Monday September 23 - 2019,Trabzonspor,easy,4-1-4-1,CAKIR;NOVAK;CAMPI;HOSSEINI;PEREIRA;MIKEL;NWAKAEME;SOSA;PARMAK;AVDIJAJ;SØRLOTH,1;77;22;5;47;12;9;8;61;7;11,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;1,0;0;1;0;0;0;0;0;0;1;0,0;0;1;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1,3223049
Basaksehir vs. Rizespor - Friday September 27 - 2019,Basaksehir,hard,4-1-4-1,GUNOK;CLICHY;EPUREANU;SKRTEL;JUNIOR CAICARA;TEKDEMIR;GULBRANDSEN;ALEKSIC;KAHVECI;VISCA;CRIVELLI,34;3;6;37;80;21;9;91;17;7;27,0;0;0;0;0;0;1;2;1;0;1,0;0;0;0;0;0;0;1;0;1;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;1;1;1;0;0;0,3223058
Basaksehir vs. Rizespor - Friday September 27 - 2019,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;CHATZIISAIAS;ABARHOUN;MOROZYUK;ATTAMAH;VETRIH;SAMUDIO;FERNANDO BOLDRIN;DE PAUW;SCEPOVIC,23;53;25;3;55;6;44;18;10;11;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;1;1,3223058
Alanyaspor vs. Sivasspor - Saturday September 28 - 2019,Alanyaspor,hard,4-4-2,MARAFONA;N'SAKALA;CAULKER;WELINTON;MORENO;FERNANDES;GULSELAM;SIOPIS;KARACA;CISSE;BAKASETAS,28;21;44;23;24;10;6;26;7;9;11,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;1;1;0;0;0;0;0;1,0;0;0;1;1;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;1;0;0;0;0,3223062
Alanyaspor vs. Sivasspor - Saturday September 28 - 2019,Sivasspor,hard,4-4-2,SAMASSA;CIFTCI;APPINDANGOYE;OSMANPASA;MARCELO GOIANO;ANDRADE;ARSLAN;YANDAS;YESILYURT;YATABARE;TRAORE,30;3;4;88;87;7;37;8;11;9;12,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,1;1;0;0;0;0;0;0;0;1;0,1;1;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,3223062
Denizlispor vs. Kasimpasa - Saturday September 28 - 2019,Denizlispor,hard,4-2-3-1,STACHOWIAK;BERGDICH;SAPUNARU;YILMAZ;LOPES;SACKEY;MURAWSKI;BARROW;AISSATI;SACKO;RODALLEGA,33;21;22;15;2;90;8;77;10;9;7,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;1;0;1;0;1;0,3223065
Denizlispor vs. Kasimpasa - Saturday September 28 - 2019,Kasimpasa,hard,4-2-3-1,OZTURK;KARIM HAFEZ;BEN YOUSSEF;SARI;PAVELKA;KHALILI;KARA;THIAM;HAJRADINOVIC;DEPE;PEKTEMEK,99;23;5;88;8;21;35;11;10;26;19,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;1;0;0;0;0;0,1;0;0;0;0;1;0;0;0;0;0,1;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3223065
