game,team,difficulty,formation,lineup
Antalyaspor vs. Genclerbirligi - Sunday August 23 - 2015,Antalyaspor,hard,4-2-3-1,FORNEZZI;KVESIC;GOR;CELUSTKA;KANDEMIR;CELIK;BEKMEZCI;LAZAREVIC;YILDIRIM;BASSAN;ETO'O
Antalyaspor vs. Genclerbirligi - Sunday August 23 - 2015,Genclerbirligi,hard,4-2-3-1,KAPLAN;LATOVLEVICI;ATTA;CALIK;OGUZ;SKULASON;DIMITRIADIS;KAHVECI;SPELMANN;TOMIC;EL KABIR
Bursaspor vs. Gaziantepspor - Sunday August 23 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;TASDEMIR;AZIZ;SIVOK;ADVINCULA;CINAZ;JORQUERA;CUENCA;JOSUE;DZSUDZSAK;YILDIRIM
Bursaspor vs. Gaziantepspor - Sunday August 23 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;VRANJES;YARDIMCI;CAMARA;ABUDA;KAYALI;LARSSON;DEMIR;CHIBUIKE
Eskisehirspor vs. Sivasspor - Sunday August 23 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;COSKUN;PARLAK;TOKO;LAWAL;BAYRAMOGLU;DEFEDERICO;BEN KHALIFA;KANAK;GEKAS
Eskisehirspor vs. Sivasspor - Sunday August 23 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;KAS;KURT;OZTURK;CICINHO;OZMERT;KOCAK;CHAHECHOUHE;KURTULUS;ESER;KARADENIZ
Rizespor vs. Fenerbahce - Sunday August 23 - 2015,Fenerbahce,easy,4-4-2,DEMIREL;KALDIRIM;ALVES;KJAER;OZBAYRAKLI;DIEGO;TOPAL;SOUZA;NANI;FERNANDAO;VAN PERSIE
Rizespor vs. Fenerbahce - Sunday August 23 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;OVACIKLI;OZEK;ALTINAY;YALCIN;KAYA;KWEUKE;KADAH
Galatasaray vs. Osmanlispor Fk - Monday August 24 - 2015,Galatasaray,easy,4-4-2,MUSLERA;TELLES;BALTA;CHEDJOU;SARIOGLU;SNEIJDER;RODRIGUEZ;INAN;PODOLSKI;YILMAZ;BULUT
Galatasaray vs. Osmanlispor Fk - Monday August 24 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;BAYIR;CURUKSU;SORO;ASLANTAS;GUVEN;CAGIRAN;TORJE;NDIAYE;UMAR;DELIKTAS
Gaziantepspor vs. Besiktas - Friday August 28 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;TOSIC;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;TORE;GOMEZ
Gaziantepspor vs. Besiktas - Friday August 28 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;VRANJES;YARDIMCI;CAMARA;ABUDA;KAYALI;LARSSON;DEMIR;CHIBUIKE
Basaksehir vs. Bursaspor - Saturday August 29 - 2015,Basaksehir,hard,4-3-3,BABACAN;OZTORUN;AYHAN;IRTEGUN;UCAR;BADJI;TEKDEMIR;BELOZOGLU;DOKA MADUREIRA;BATDAL;VISCA
Basaksehir vs. Bursaspor - Saturday August 29 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;TASDEMIR;AZIZ;SIVOK;ADVINCULA;HOSOGAI;YILMAZ;STOCH;JOSUE;DZSUDZSAK;DE SUTTER
Genclerbirligi vs. Kasimpasa - Saturday August 29 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;ATTA;CALIK;OGUZ;SKULASON;DIMITRIADIS;KAHVECI;SPELMANN;TOMIC;EL KABIR
Genclerbirligi vs. Kasimpasa - Saturday August 29 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;DURAK;TITI;OMERUO;SARI;DONK;CASTRO;DEL VALLE;SCARIONE;YILMAZ;BUYUK
Konyaspor vs. Galatasaray - Saturday August 29 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;CAROLE;BALTA;CHEDJOU;SARIOGLU;FELIPE MELO;INAN;PODOLSKI;SNEIJDER;BULUT;YILMAZ
Konyaspor vs. Galatasaray - Saturday August 29 - 2015,Konyaspor,hard,4-2-3-1,TARAKCI;USLU;VUKOVIC;JUNIOR;TURAN;CAMDALI;FINDIKLI;MEHA;BORA;SAHINER;BAJIC
Mersin Idmanyurdu vs. Kayserispor - Saturday August 29 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;AKBAS;MABIALA;SIMIC;YAVRU;DAGASAN;OZCAL;BAYRAM;BISESWAR;TURUC;DERLEY
Mersin Idmanyurdu vs. Kayserispor - Saturday August 29 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,MIHAYLOV;WEDERSON;MITROVIC;SADIKU;BALCI;CEYLAN;KHALILI;NAKOULMA;DELIBALTA;PEDRIEL;WELLITON
Eskisehirspor vs. Rizespor - Sunday August 30 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;CEK;KARAER;GUNGOR;PARLAK;LAWAL;BAYRAMOGLU;DEFEDERICO;BEN KHALIFA;KANAK;GEKAS
Eskisehirspor vs. Rizespor - Sunday August 30 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;OVACIKLI;OZEK;ALTINAY;YALCIN;KAYA;KWEUKE;KADAH
