game,team,difficulty,formation,lineup
Gaziantepspor vs. Osmanlispor Fk - Saturday October 3 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;SEDEF;SUME;VRANJES;YARDIMCI;PUTILO;SEN;ABUDA;LARSSON;DEMIR;CHIBUIKE
Gaziantepspor vs. Osmanlispor Fk - Saturday October 3 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;BAYIR;DEMIROK;SORO;ASLANTAS;SETO;GUVEN;KILICASLAN;NDIAYE;TORJE;DELIKTAS
Genclerbirligi vs. Kayserispor - Saturday October 3 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;LATOVLEVICI;CALIK;KULUSIC;OGUZ;DIMITRIADIS;KAYA;STANCU;KAHVECI;TOMIC;EL KABIR
Genclerbirligi vs. Kayserispor - Saturday October 3 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;AKBAS;MABIALA;SIMIC;YAVRU;MIJAILOVIC;SOW;BAYRAM;OZCAL;CAGLAYAN;AIYEGBENI
Antalyaspor vs. Kasimpasa - Sunday October 4 - 2015,Antalyaspor,hard,4-3-3,FORNEZZI;AYTAC;DIEGO ANGELO;GOR;CELUSTKA;YILDIRIM;BEKMEZCI;MAKOUN;LAZAREVIC;ETO'O;BASSAN
Antalyaspor vs. Kasimpasa - Sunday October 4 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;VEIGNEAU;BOZHIKOV;TITI;KARTAL;DONK;CASTRO;DEL VALLE;SCARIONE;TORUN;BUYUK
Eskisehirspor vs. Besiktas - Sunday October 4 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;TOSIC;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;QUARESMA;SOSA;TORE;GOMEZ
Eskisehirspor vs. Besiktas - Sunday October 4 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;CEK;PARLAK;COSKUN;COREKCI;BEN KHALIFA;TOKO;DEFEDERICO;BAYRAMOGLU;BEKDEMIR;GEKAS
Fenerbahce vs. Akhisar Belediyespor - Sunday October 4 - 2015,Akhisar Belediyespor,hard,4-4-2,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;SAMI;CUSTODIO;YUCE;VURAL;RODALLEGA;LUALUA
Fenerbahce vs. Akhisar Belediyespor - Sunday October 4 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;ERKIN;ALVES;KJAER;OZBAYRAKLI;TOPAL;MEIRELES;NANI;DIEGO;POTUK;FERNANDAO
Rizespor vs. Bursaspor - Sunday October 4 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;NOUNKEU;ADVINCULA;FATY;JORQUERA;STOCH;JOSUE;DZSUDZSAK;NECID
Rizespor vs. Bursaspor - Sunday October 4 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;YALCIN;OVACIKLI;ISMAIL;MAKIADI;DURUER;OZEK;KWEUKE;KADAH
Bursaspor vs. Antalyaspor - Saturday October 17 - 2015,Antalyaspor,hard,4-4-2,M'BOLHI;AYTAC;DIEGO ANGELO;GOR;KANDEMIR;GUILHERME;MAKOUN;YILDIRIM;BASSAN;DIARRA;ETO'O
Bursaspor vs. Antalyaspor - Saturday October 17 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;SIVOK;ADVINCULA;FATY;JORQUERA;STOCH;JOSUE;DZSUDZSAK;NECID
Galatasaray vs. Genclerbirligi - Saturday October 17 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;CAROLE;BALTA;CHEDJOU;SARIOGLU;RODRIGUEZ;INAN;SNEIJDER;KISA;PODOLSKI;BULUT
Galatasaray vs. Genclerbirligi - Saturday October 17 - 2015,Genclerbirligi,hard,4-3-3,HOPF;LATOVLEVICI;CALIK;KULUSIC;OGUZ;SPELMANN;DIMITRIADIS;KAYA;STANCU;EL KABIR;DJALMA
Konyaspor vs. Gaziantepspor - Saturday October 17 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;SEDEF;AROKOYO;SUME;ILDIZ;PUTILO;SEN;ABUDA;LARSSON;DEMIR;CHIBUIKE
Konyaspor vs. Gaziantepspor - Saturday October 17 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;TRAORE;RANGELOV;BAJIC
Akhisar Belediyespor vs. Eskisehirspor - Sunday October 18 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;N'GUEMO;YUCE;CUSTODIO;CELIK;RODALLEGA;VURAL
Akhisar Belediyespor vs. Eskisehirspor - Sunday October 18 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;COSKUN;AKAMINKO;COREKCI;LAWAL;TOKO;CEK;CAUSIC;KANAK;PINTO
Besiktas vs. Rizespor - Sunday October 18 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;TORE;GOMEZ
Besiktas vs. Rizespor - Sunday October 18 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;YALCIN;DURUER;ALTINAY;MAKIADI;OZEK;KWEUKE;KADAH
Kasimpasa vs. Sivasspor - Sunday October 18 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;VEIGNEAU;BOZHIKOV;TITI;SARI;DONK;CASTRO;DEL VALLE;SCARIONE;TORUN;DERDIYOK
Kasimpasa vs. Sivasspor - Sunday October 18 - 2015,Sivasspor,hard,4-3-3,SETKUS;ERDAL;KURT;BOYE;CICINHO;KOCAK;INCEDEMIR;KONE;CHAHECHOUHE;BARRALES;ESER
Kayserispor vs. Fenerbahce - Sunday October 18 - 2015,Fenerbahce,easy,4-4-2,DEMIREL;KALDIRIM;BA;KJAER;OZBAYRAKLI;NANI;SOUZA;TOPAL;MARKOVIC;FERNANDAO;VAN PERSIE
Kayserispor vs. Fenerbahce - Sunday October 18 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;BAYRAM;AKBAS;MABIALA;YAVRU;SOW;MIJAILOVIC;TURUC;BISESWAR;CAGLAYAN;AIYEGBENI
Mersin Idmanyurdu vs. Trabzonspor - Monday October 19 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;CETIN;SADIKU;BALCI;CEYLAN;KHALILI;NAKOULMA;DELIBALTA;PEDRIEL;WELLITON
Mersin Idmanyurdu vs. Trabzonspor - Monday October 19 - 2015,Trabzonspor,easy,4-2-3-1,ALVARADO;CAVANDA;DOUGLAS;DEMIR;DURSUN;MBIA;MEDJANI;ERDOGAN;MARIN;HURMACI;CARDOZO
Osmanlispor Fk vs. Basaksehir - Monday October 19 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;ALKILIC;TEKDEMIR;BELOZOGLU;VISCA;MARCIO MOSSORO;SAHIN;BATDAL
Osmanlispor Fk vs. Basaksehir - Monday October 19 - 2015,Osmanlispor Fk,hard,4-4-2,SAHIN;BAYIR;SORO;SZUKALA;ASLANTAS;KILICASLAN;GUVEN;NDIAYE;TORJE;DELIKTAS;RUSESCU
Eskisehirspor vs. Kayserispor - Friday October 23 - 2015,Eskisehirspor,hard,4-2-3-1,VURAL;KARAER;COSKUN;AKAMINKO;COREKCI;LAWAL;CAUSIC;CEK;BEN KHALIFA;KANAK;GEKAS
Eskisehirspor vs. Kayserispor - Friday October 23 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;EMIR;MABIALA;SIMIC;YAVRU;SOW;OZCAL;BAYRAM;BISESWAR;TURUC;DERLEY
Rizespor vs. Akhisar Belediyespor - Friday October 23 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;N'GUEMO;YUCE;CUSTODIO;SAMI;RODALLEGA;VURAL
Rizespor vs. Akhisar Belediyespor - Friday October 23 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;ALTINAY;OZEK;MAKIADI;DURUER;KAYA;KWEUKE;KADAH
Gaziantepspor vs. Mersin Idmanyurdu - Saturday October 24 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;SUME;YARDIMCI;PUTILO;SEN;ABUDA;LARSSON;DEMIR;CHIBUIKE
Gaziantepspor vs. Mersin Idmanyurdu - Saturday October 24 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;CETIN;SADIKU;BALCI;CEYLAN;KHALILI;NAKOULMA;DELIBALTA;TOZLU;WELLITON
Genclerbirligi vs. Osmanlispor Fk - Saturday October 24 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;LATOVLEVICI;CALIK;KULUSIC;OGUZ;SKULASON;LANDEL;STANCU;KAHVECI;DJALMA;EL KABIR
Genclerbirligi vs. Osmanlispor Fk - Saturday October 24 - 2015,Osmanlispor Fk,hard,4-4-2,MORAES;PINTO;DEMIROK;SZUKALA;ASLANTAS;TORJE;GUVEN;NDIAYE;UMAR;DELIKTAS;KILICASLAN
Kasimpasa vs. Bursaspor - Saturday October 24 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;TASDEMIR;AZIZ;SIVOK;ADVINCULA;FATY;YILMAZ;STOCH;JOSUE;DZSUDZSAK;NECID
Kasimpasa vs. Bursaspor - Saturday October 24 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;VEIGNEAU;BOZHIKOV;TITI;SARI;DONK;CASTRO;DEL VALLE;SCARIONE;TORUN;DERDIYOK
Sivasspor vs. Trabzonspor - Saturday October 24 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;BOYE;OZTURK;CICINHO;KONE;KOCAK;ABALO;CHAHECHOUHE;ESER;ENERAMO
Sivasspor vs. Trabzonspor - Saturday October 24 - 2015,Trabzonspor,easy,3-4-2-1,ALVARADO;DOUGLAS;DEMIR;MEDJANI;ERDOGAN;MBIA;YOKUSLU;CAVANDA;ZENGIN;MARIN;YILMAZ
Basaksehir vs. Konyaspor - Sunday October 25 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;ALKILIC;BADJI;TEKDEMIR;SAHIN;MARCIO MOSSORO;VISCA;BATDAL
Basaksehir vs. Konyaspor - Sunday October 25 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;TRAORE;RANGELOV;BAJIC
Fenerbahce vs. Galatasaray - Sunday October 25 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;ERKIN;BA;KJAER;GONUL;TOPAL;SOUZA;NANI;DIEGO;MARKOVIC;VAN PERSIE
Fenerbahce vs. Galatasaray - Sunday October 25 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;CAROLE;BALTA;CHEDJOU;SARIOGLU;INAN;KISA;OZTEKIN;SNEIJDER;PODOLSKI;BULUT
Antalyaspor vs. Besiktas - Monday October 26 - 2015,Antalyaspor,hard,4-4-2,M'BOLHI;AYTAC;DIEGO ANGELO;GOR;KANDEMIR;LAZAREVIC;MAKOUN;YILDIRIM;BASSAN;ETO'O;GUILHERME
Antalyaspor vs. Besiktas - Monday October 26 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;GULUM;RHODOLFO;BECK;UYSAL;HUTCHINSON;SAHAN;OZYAKUP;QUARESMA;GOMEZ
Bursaspor vs. Sivasspor - Wednesday October 28 - 2015,Bursaspor,hard,4-4-2,GUNOK;TASDEMIR;AZIZ;SIVOK;OZGENC;CUENCA;FATY;YILMAZ;DZSUDZSAK;NECID;YILDIRIM
Bursaspor vs. Sivasspor - Wednesday October 28 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;OZTURK;INCEDEMIR;CICINHO;KONE;KOCAK;SIMSEK;CHAHECHOUHE;ESER;ENERAMO
Kayserispor vs. Rizespor - Wednesday October 28 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;EMIR;AKBAS;MABIALA;YAVRU;MIJAILOVIC;OZCAL;BAYRAM;BISESWAR;TURUC;DERLEY
Kayserispor vs. Rizespor - Wednesday October 28 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;OVACIKLI;TUSZYNSKI;YALCIN;MAKIADI;AKYUZ;KWEUKE;KADAH
Trabzonspor vs. Gaziantepspor - Wednesday October 28 - 2015,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;MARCAL;AROKOYO;SUME;YARDIMCI;SEN;ABUDA;LARSSON;PUTILO;CINAR;DEMIR
Trabzonspor vs. Gaziantepspor - Wednesday October 28 - 2015,Trabzonspor,easy,4-2-3-1,ALVARADO;CONSTANT;DEMIR;DOUGLAS;DURSUN;MBIA;YOKUSLU;ZENGIN;MARIN;HURMACI;YILMAZ
Galatasaray vs. Eskisehirspor - Thursday October 29 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;CEK;KARAER;COSKUN;COREKCI;CAUSIC;TOKO;BEKDEMIR;BEN KHALIFA;KANAK;GEKAS
Galatasaray vs. Eskisehirspor - Thursday October 29 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;ADIN;DENAYER;KAYA;SARIOGLU;KARACAN;INAN;OZTEKIN;COLAK;PODOLSKI;YILMAZ
Mersin Idmanyurdu vs. Basaksehir - Thursday October 29 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;ALKILIC;BADJI;ROTMAN;VISCA;MARCIO MOSSORO;SAHIN;BATDAL
Mersin Idmanyurdu vs. Basaksehir - Thursday October 29 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;CETIN;SADIKU;BALCI;CEYLAN;KHALILI;NAKOULMA;DELIBALTA;PEDRIEL;WELLITON
Osmanlispor Fk vs. Fenerbahce - Thursday October 29 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;SOUZA;TOPAL;POTUK;DIEGO;MARKOVIC;VAN PERSIE
Osmanlispor Fk vs. Fenerbahce - Thursday October 29 - 2015,Osmanlispor Fk,hard,4-2-3-1,MORAES;PINTO;DEMIROK;SZUKALA;ASLANTAS;GUVEN;CAGIRAN;KILICASLAN;NDIAYE;TORJE;UMAR
Akhisar Belediyespor vs. Antalyaspor - Friday October 30 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;UNLU;N'GUEMO;YUCE;CUSTODIO;SAMI;RODALLEGA;VURAL
Akhisar Belediyespor vs. Antalyaspor - Friday October 30 - 2015,Antalyaspor,hard,4-4-2,M'BOLHI;AYTAC;GOR;CELUSTKA;SIMSEK;GUILHERME;BEKMEZCI;YILDIRIM;LAZAREVIC;DIARRA;ETO'O
Besiktas vs. Kasimpasa - Friday October 30 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;MILOSEVIC;RHODOLFO;BECK;UYSAL;HUTCHINSON;SAHAN;OZYAKUP;QUARESMA;GOMEZ
Besiktas vs. Kasimpasa - Friday October 30 - 2015,Kasimpasa,hard,4-3-3,ISAKSSON;VEIGNEAU;TITI;OMERUO;SARI;ARSLAN;DONK;CASTRO;BUYUK;DERDIYOK;TORUN
Konyaspor vs. Genclerbirligi - Friday October 30 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;LATOVLEVICI;CALIK;KULUSIC;CIFTCI;SKULASON;LANDEL;STANCU;KAHVECI;DJALMA;EL KABIR
Konyaspor vs. Genclerbirligi - Friday October 30 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;TRAORE;RANGELOV;SISMANOGLU
Eskisehirspor vs. Osmanlispor Fk - Friday November 6 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;CEK;KARAER;COSKUN;COREKCI;LAWAL;DEFEDERICO;BEKDEMIR;BEN KHALIFA;KANAK;GEKAS
Eskisehirspor vs. Osmanlispor Fk - Friday November 6 - 2015,Osmanlispor Fk,hard,4-2-3-1,MORAES;PINTO;DEMIROK;SZUKALA;VRSAJEVIC;GUVEN;CAGIRAN;KILICASLAN;NDIAYE;UMAR;DELIKTAS
Genclerbirligi vs. Mersin Idmanyurdu - Friday November 6 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;LATOVLEVICI;CALIK;KULUSIC;OGUZ;SKULASON;LANDEL;STANCU;KAHVECI;DJALMA;EL KABIR
Genclerbirligi vs. Mersin Idmanyurdu - Friday November 6 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;KAYA;CETIN;SADIKU;BALCI;CEYLAN;KHALILI;NAKOULMA;DELIBALTA;PEDRIEL;WELLITON
Antalyaspor vs. Kayserispor - Saturday November 7 - 2015,Antalyaspor,hard,4-3-3,M'BOLHI;AYTAC;DIEGO ANGELO;CELUSTKA;KANDEMIR;BADUR;MAKOUN;YILDIRIM;IPEK;ETO'O;DIARRA
Antalyaspor vs. Kayserispor - Saturday November 7 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;EMIR;AKBAS;MABIALA;YAVRU;SOW;OZCAL;BAYRAM;BISESWAR;TURUC;DERLEY
Basaksehir vs. Trabzonspor - Saturday November 7 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;BADJI;TEKDEMIR;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Basaksehir vs. Trabzonspor - Saturday November 7 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;CONSTANT;DEMIR;DOUGLAS;CAVANDA;MBIA;YOKUSLU;ZENGIN;EKICI;HURMACI;CARDOZO
Kasimpasa vs. Akhisar Belediyespor - Saturday November 7 - 2015,Akhisar Belediyespor,hard,4-4-2,LUKAC;KELES;KONUK;OSMANPASA;CEBE;SAMI;YUCE;N'GUEMO;VURAL;RODALLEGA;BRUNO MEZENGA
Kasimpasa vs. Akhisar Belediyespor - Saturday November 7 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;BOZHIKOV;TITI;KARTAL;DONK;CASTRO;BUYUK;SCARIONE;TORUN;DERDIYOK
Rizespor vs. Galatasaray - Saturday November 7 - 2015,Galatasaray,easy,4-4-2,MUSLERA;ADIN;BALTA;CHEDJOU;SARIOGLU;OZTEKIN;INAN;SNEIJDER;PODOLSKI;YILMAZ;BULUT
Rizespor vs. Galatasaray - Saturday November 7 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;OVACIKLI;OZEK;ALTINAY;YALCIN;AKYUZ;KWEUKE;CHEVALIER
Bursaspor vs. Besiktas - Sunday November 8 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;QUARESMA;SOSA;TORE;GOMEZ
Bursaspor vs. Besiktas - Sunday November 8 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;TASDEMIR;AZIZ;NOUNKEU;ADVINCULA;HOSOGAI;YILMAZ;CUENCA;JOSUE;DZSUDZSAK;NECID
Fenerbahce vs. Konyaspor - Sunday November 8 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;SOUZA;TOPAL;POTUK;DIEGO;VAN PERSIE;FERNANDAO
Fenerbahce vs. Konyaspor - Sunday November 8 - 2015,Konyaspor,hard,4-2-3-1,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;CAMDALI;INCEMAN;MEHA;HOLMEN;TRAORE;SISMANOGLU
Sivasspor vs. Gaziantepspor - Sunday November 8 - 2015,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;MARCAL;SUME;VRANJES;YARDIMCI;SEN;ABUDA;CINAR;PUTILO;LARSSON;DEMIR
Sivasspor vs. Gaziantepspor - Sunday November 8 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;BOYE;OZTURK;CICINHO;KONE;KOCAK;SIMSEK;CHAHECHOUHE;ESER;ENERAMO
Akhisar Belediyespor vs. Bursaspor - Saturday November 21 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;CUSTODIO;YUCE;N'GUEMO;SAMI;RODALLEGA;VURAL
Akhisar Belediyespor vs. Bursaspor - Saturday November 21 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;TASDEMIR;SIVOK;CINAZ;OZGENC;HOSOGAI;YILMAZ;CUENCA;JOSUE;DZSUDZSAK;NECID
Galatasaray vs. Antalyaspor - Saturday November 21 - 2015,Antalyaspor,hard,4-4-2,FORNEZZI;AYTAC;DIEGO ANGELO;CELUSTKA;KANDEMIR;OZKAN;BADUR;YILDIRIM;DIARRA;ETO'O;GUILHERME
Galatasaray vs. Antalyaspor - Saturday November 21 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;ADIN;BALTA;KAYA;DENAYER;RODRIGUEZ;INAN;OZTEKIN;SNEIJDER;PODOLSKI;YILMAZ
Kayserispor vs. Kasimpasa - Saturday November 21 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;BOZHIKOV;TITI;KARTAL;DONK;CASTRO;BUYUK;SCARIONE;TORUN;DERDIYOK
Kayserispor vs. Kasimpasa - Saturday November 21 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;EMIR;AKBAS;MABIALA;YAVRU;SOW;MIJAILOVIC;BAYRAM;OZCAL;BISESWAR;DERLEY
Mersin Idmanyurdu vs. Fenerbahce - Saturday November 21 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;TOPAL;SOUZA;POTUK;DIEGO;NANI;VAN PERSIE
Mersin Idmanyurdu vs. Fenerbahce - Saturday November 21 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;KAYA;MITROVIC;CETIN;BALCI;SADIKU;KHALILI;TOZLU;DELIBALTA;VAROL;PEDRIEL
Besiktas vs. Sivasspor - Sunday November 22 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;QUARESMA;GOMEZ
Besiktas vs. Sivasspor - Sunday November 22 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;OZTURK;INCEDEMIR;CICINHO;OZMERT;KOCAK;CHAHECHOUHE;TAOUIL;ESER;ENERAMO
Konyaspor vs. Eskisehirspor - Sunday November 22 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;PARLAK;AKAMINKO;TOKO;COREKCI;COSKUN;BEKDEMIR;CAUSIC;DEFEDERICO;GURAL
Konyaspor vs. Eskisehirspor - Sunday November 22 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;BARDAKCI;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;SISSOKO;SISMANOGLU;TRAORE
Osmanlispor Fk vs. Rizespor - Sunday November 22 - 2015,Osmanlispor Fk,hard,4-2-3-1,MORAES;PINTO;DEMIROK;SZUKALA;VRSAJEVIC;GUVEN;CAGIRAN;KILICASLAN;NDIAYE;UMAR;DELIKTAS
Osmanlispor Fk vs. Rizespor - Sunday November 22 - 2015,Rizespor,hard,4-4-2,ITANDJE;DURUER;ERSOY;YALCIN;OVACIKLI;OZEK;ALTINAY;MAKIADI;AKYUZ;KWEUKE;CHEVALIER
Trabzonspor vs. Genclerbirligi - Sunday November 22 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;LATOVLEVICI;CALIK;KULUSIC;OGUZ;SKULASON;LANDEL;STANCU;KAHVECI;TOMIC;TOSUN
Trabzonspor vs. Genclerbirligi - Sunday November 22 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;ULUDAG;DEMIR;YUMLU;CAVANDA;MBIA;YOKUSLU;HURMACI;MARIN;YILMAZ;N'DOYE
Gaziantepspor vs. Basaksehir - Monday November 23 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;TEKDEMIR;BELOZOGLU;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;CIKALLESHI
Gaziantepspor vs. Basaksehir - Monday November 23 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;SUME;VRANJES;YARDIMCI;LARSSON;ABUDA;KAYALI;DURAK;DEMIR;CHIBUIKE
Antalyaspor vs. Osmanlispor Fk - Friday November 27 - 2015,Antalyaspor,hard,4-4-2,FORNEZZI;AYTAC;DIEGO ANGELO;CELUSTKA;SIMSEK;LAZAREVIC;BADUR;YILDIRIM;ETAME;DIARRA;ETO'O
Antalyaspor vs. Osmanlispor Fk - Friday November 27 - 2015,Osmanlispor Fk,hard,4-2-3-1,CANBAZOGLU;PINTO;CURUKSU;DEMIROK;VRSAJEVIC;GUVEN;CAGIRAN;TORJE;NDIAYE;UMAR;DELIKTAS
Bursaspor vs. Kayserispor - Friday November 27 - 2015,Bursaspor,hard,4-2-3-1,TEKIN;TASDEMIR;AZIZ;NOUNKEU;ADVINCULA;HOSOGAI;YILMAZ;STOCH;JOSUE;DZSUDZSAK;NECID
Bursaspor vs. Kayserispor - Friday November 27 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;BAYRAM;AKBAS;MABIALA;YAVRU;SOW;MIJAILOVIC;BISESWAR;OZCAL;CAGLAYAN;DERLEY
Rizespor vs. Konyaspor - Friday November 27 - 2015,Konyaspor,hard,4-2-3-1,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;CAMDALI;INCEMAN;TRAORE;HOLMEN;SISSOKO;RANGELOV
Rizespor vs. Konyaspor - Friday November 27 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;ERSOY;OBOABONA;OVACIKLI;OZEK;ALTINAY;MAKIADI;AKYUZ;KWEUKE;CHEVALIER
Eskisehirspor vs. Mersin Idmanyurdu - Saturday November 28 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;COSKUN;PARLAK;TOKO;COREKCI;LAWAL;BEKDEMIR;CAUSIC;GURAL;PINTO
Eskisehirspor vs. Mersin Idmanyurdu - Saturday November 28 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;MITROVIC;CETIN;BALCI;CEYLAN;KHALILI;NAKOULMA;DELIBALTA;PEDRIEL;KALOGLU
Sivasspor vs. Basaksehir - Saturday November 28 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;BADJI;TEKDEMIR;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Sivasspor vs. Basaksehir - Saturday November 28 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;BOYE;OZTURK;CICINHO;KURTULUS;KOCAK;SIMSEK;CHAHECHOUHE;ESER;ENERAMO
Besiktas vs. Akhisar Belediyespor - Sunday November 29 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;N'GUEMO;YUCE;CUSTODIO;SAMI;RODALLEGA;VURAL
Besiktas vs. Akhisar Belediyespor - Sunday November 29 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;TOSIC;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;QUARESMA;GOMEZ
