game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Ankaraspor vs. Galatasaray - Friday August 4 - 2006,Ankaraspor,hard,4-2-3-1,ARIKAN;WEDERSON;PETROUS;TUNC;YOLDAS;AYHAN;GUCER;KISA;KOCAK;HURMACI;JABA,84;6;2;5;4;72;50;19;66;20;10,0;0;1;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;1;0;0;0,61729
Ankaraspor vs. Galatasaray - Friday August 4 - 2006,Galatasaray,easy,4-4-2,MONDRAGON;OZTORUN;SONG;TOMAS;HASPOLATLI;CARRUSCA;GUVEN;ILIC;SAS;SUKUR;ATES,1;25;4;2;19;16;24;22;11;9;10,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;1;0;0;1;0;1,61729
Fenerbahce vs. Kayseri Erciyesspor - Saturday August 5 - 2006,Fenerbahce,easy,4-2-3-1,RECBER;OZAT;ARAT;TURACI;BALCI;MEHMET AURELIO;APPIAH;METIN;ALEX;SANLI;SENTURK,34;5;17;19;30;15;4;11;20;10;23,0;0;0;0;0;0;0;1;3;1;0,0;1;0;0;1;0;0;1;1;1;1,1;0;0;0;0;0;1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,61731
Fenerbahce vs. Kayseri Erciyesspor - Saturday August 5 - 2006,Kayseri Erciyesspor,hard,4-4-2,FADHEL;OZKAYNAK;KOK;BOUAZIZI;OZBAY;BAYAZIT;TORAMAN;KOCABAL;LAZAROV;DJALOVIC;ISLER,1;39;19;13;66;10;5;70;11;9;21,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,61731
Kayserispor vs. Trabzonspor - Saturday August 5 - 2006,Kayserispor,hard,4-4-2,IVANKOV;TOLEDO;TOSCALI;JOHNSON;SADYQOV;CEYLAN;BASDAG;BOLUKBASI;TOPUZ;UNAL;IGLESIAS,27;12;25;15;14;81;8;3;66;9;7,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;1,61730
Kayserispor vs. Trabzonspor - Saturday August 5 - 2006,Trabzonspor,easy,4-2-3-1,JEFFERSON;OCAK;ATAN;STEPANOV;BAYRAKTAR;CIMSIR;SZYMKOWIAK;KARADENIZ;MARCELINHO;BUYUK;DEMIR,1;22;4;55;13;5;7;61;30;16;21,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;1;0,0;0;0;1;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,61730
Antalyaspor vs. Rizespor - Sunday August 6 - 2006,Antalyaspor,hard,4-4-2,CORDOBA;YAMAN;BIENIUK;DZIEWICKI;KAVUK;KAHRAMAN;SUAZO;KARTOP;GURSEL;STRAKA;BIRDAL,1;74;7;5;67;10;12;6;39;25;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;0,61737
Antalyaspor vs. Rizespor - Sunday August 6 - 2006,Rizespor,hard,4-4-2,ZDRAVKOV;VICTORIA;CAKMAK;EL TABEI;EREN;ELMAS;UGUR;YUCETAS;BAKI;DIA;AKSOY,1;17;5;15;34;53;7;6;22;18;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;1,0;1;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,61737
Bursaspor vs. Ankaragucu - Sunday August 6 - 2006,Ankaragucu,hard,4-2-3-1,USAK;DERELI;GUNGOR;BAYRAK;EVREN;ACAR;VIDUSLU;OLMEZ;ERIS;TITA;BEBBE,34;61;2;3;14;21;28;35;10;16;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,61736
Bursaspor vs. Ankaragucu - Sunday August 6 - 2006,Bursaspor,hard,4-4-2,ERAYDIN;BEKIROGLU;ERDOGAN;GULDUREN;YIGIT;FRASINEANU;SUMULIKOSKI;BOZACI;ACAR;AKDIS;KALOGLU,61;47;4;3;22;10;18;5;8;54;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;1;0;0;0,0;1;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,61736
